"Genus","Species","Variety","Name","CBS","SporeType","SporeName","SporeDim1_min2","SporeDim1_min","SporeDim1_max","SporeDim1_max2","SporeDim2_min2","SporeDim2_min","SporeDim2_max","SporeDim2_max2","Spore_units","SporeArea","Diameter1","Diameter2","Diam_units","ColonyArea","Comments","Growing_days","Temperature","Media","ColonyComments","Phylum"
"Fusarium","dimerum","","Fusarium dimerum","187.79","asexual","chlamydospore",NA,8,12,NA,NA,8,12,NA,"um",78.5398163397448,2.7,2.7,"cm",5.7255526111674,"",4,25,"PSA/OA","",NA
"Fusarium","dimerum","","Fusarium dimerum","187.79","asexual","conidia",NA,15,25,NA,NA,2.5,4,NA,"um",51.0508806208341,2.7,2.7,"cm",5.7255526111674,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","equiseti","","Fusarium equiseti","","asexual","chlamydospore",NA,7,9,NA,NA,7,9,NA,"um",50.2654824574367,5.8,5.8,"cm",26.4207942166902,"",4,25,"PSA/OA","",NA
"Fusarium","equiseti","","Fusarium equiseti","","asexual","conidia",NA,31,47,NA,NA,4,5,NA,"um",137.837377676252,5.8,5.8,"cm",26.4207942166902,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","flocciferum","","Fusarium flocciferum","297.7","asexual","chlamydospore",NA,8,11,NA,NA,8,11,NA,"um",70.8821842466197,4,4,"cm",12.5663706143592,"",4,25,"PDA/MEA","",NA
"Fusarium","flocciferum","","Fusarium flocciferum","297.7","asexual","conidia",NA,22,35,48,NA,3.5,5,NA,"um",95.1313525415159,4,4,"cm",12.5663706143592,"",4,25,"PDA/MEA","","Ascomycota"
"Fusarium","fujikuroi","","Fusarium fujikuroi","","asexual","macroconidia",NA,33,60,NA,NA,3,4,NA,"um",127.823551092935,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","fujikuroi","","Fusarium fujikuroi","","asexual","microconidia",NA,8,10,NA,NA,2.5,3.3,NA,"um",20.4988920646734,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","graminearum","","Fusarium graminearum","389.62","asexual","chlamydospore",NA,10,12,NA,NA,10,12,NA,"um",95.0331777710912,9,9,"cm",63.6172512351933,"",4,25,NA,"",NA
"Fusarium","graminearum","","Fusarium graminearum","389.62","sexual","ascospores",NA,18,27,NA,NA,3,4,5,"um",61.8501053675491,9,9,"cm",63.6172512351933,"",4,25,NA,"","Ascomycota"
"Fusarium","graminearum","","Fusarium graminearum","389.62","asexual","conidia",NA,41,60,80,NA,4,5.5,NA,"um",188.397384444963,9,9,"cm",63.6172512351933,"",4,25,NA,"","Ascomycota"
"Fusarium","incarnatum","","Fusarium incarnatum","","asexual","chlamydospore",NA,5,10,NA,NA,5,10,NA,"um",44.1786466911065,6,6,"cm",28.2743338823081,"",4,25,"PSA/OA","",NA
"Fusarium","incarnatum","","Fusarium incarnatum","","asexual","conidia",NA,17,40,50,NA,3,4.5,NA,"um",83.9394287131023,6,6,"cm",28.2743338823081,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","lateritium","","Fusarium lateritium","737.74","asexual","chlamydospore",NA,7,8,NA,NA,7,8,NA,"um",44.1786466911065,2.8,2.8,"cm",6.15752160103599,"",4,25,"PSA","",NA
"Fusarium","lateritium","","Fusarium lateritium","737.74","sexual","ascospores",NA,13,18,NA,NA,5,8,NA,"um",79.1288649622929,2.8,2.8,"cm",6.15752160103599,"",4,25,"PSA","","Ascomycota"
"Fusarium","lateritium","","Fusarium lateritium","737.74","asexual","conidia",NA,22,50,57,NA,3,4.5,5,"um",106.028752058656,2.8,2.8,"cm",6.15752160103599,"",4,25,"PSA","","Ascomycota"
"Fusarium","merismoides","var. merismoides","Fusarium merismoides var. merismoides","186.34/179.31","asexual","chlamydospore",NA,8,12,NA,NA,8,12,NA,"um",78.5398163397448,0.9,0.9,"cm",0.636172512351933,"",4,25,NA,"",NA
"Fusarium","merismoides","var. merismoides","Fusarium merismoides var. merismoides","186.34/179.31","asexual","conidia",NA,30,45,NA,NA,3.5,5,NA,"um",125.172832291468,0.9,0.9,"cm",0.636172512351933,"",4,25,NA,"","Ascomycota"
"Fusarium","oxysporum","","Fusarium oxysporum","242.59","asexual","chlamydospore",NA,5,15,NA,NA,5,15,NA,"um",78.5398163397448,4.5,6.5,"cm",22.9728962793754,"",4,25,NA,"",NA
"Fusarium","oxysporum","","Fusarium oxysporum","242.59","asexual","macroconidia",20,27,46,60,NA,3,4.5,5,"um",107.501373615026,4.5,6.5,"cm",22.9728962793754,"",4,25,NA,"","Ascomycota"
"Fusarium","oxysporum","","Fusarium oxysporum","242.59","asexual","conidia",NA,5,12,NA,NA,2.3,3.5,NA,"um",19.3600647277471,4.5,6.5,"cm",22.9728962793754,"",4,25,NA,"","Ascomycota"
"Fusarium","poae","","Fusarium poae","446.67","asexual","macroconidia",NA,18,38,NA,NA,3.8,7,NA,"um",118.752202305694,5.6,8.8,"cm",38.7044214922263,"",4,23.5,"MEA/OA","","Ascomycota"
"Fusarium","poae","","Fusarium poae","446.67","asexual","conidia",NA,6,10,NA,NA,5.5,7.7,NA,"um",41.4690230273853,5.6,8.8,"cm",38.7044214922263,"",4,23.5,"MEA/OA","","Ascomycota"
"Fusarium","proliferatum","","Fusarium proliferatum","","asexual","macroconidia",NA,27,58,NA,NA,3.3,4.5,NA,"um",130.179745583127,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","proliferatum","","Fusarium proliferatum","","asexual","microconidia",NA,7,9,11,NA,2.2,3.2,7.5,"um",16.9646003293849,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","redolens","","Fusarium redolens","128.73","asexual","chlamydospore",NA,6,14,NA,NA,6,14,NA,"um",78.5398163397448,4.5,4.5,"cm",15.9043128087983,"",4,25,"PSA/OA","",NA
"Fusarium","redolens","","Fusarium redolens","128.73","asexual","macroconidia",NA,25,38,50,NA,4,5.5,NA,"um",117.515200198343,4.5,4.5,"cm",15.9043128087983,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","redolens","","Fusarium redolens","128.73","asexual","conidia",NA,7.5,15,NA,NA,2.5,4.2,NA,"um",29.5996932830413,4.5,4.5,"cm",15.9043128087983,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","sacchari","","Fusarium sacchari","","asexual","conidia",NA,7,11,NA,NA,2.5,3,NA,"um",19.4386045440868,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","sambucinum","var. sambucinum","Fusarium sambucinum var. sambucinum","136.24","asexual","chlamydospore",NA,6,11,NA,NA,6,11,NA,"um",56.7450173054656,5.2,5.2,"cm",21.237166338267,"",4,25,"PSA/OA","",NA
"Fusarium","sambucinum","var. sambucinum","Fusarium sambucinum var. sambucinum","136.24","sexual","ascospores",NA,20,28,38,NA,6,9,10,"um",141.371669411541,5.2,5.2,"cm",21.237166338267,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","sambucinum","var. sambucinum","Fusarium sambucinum var. sambucinum","136.24","asexual","conidia",NA,30,45,NA,NA,4,5.5,NA,"um",139.89904785517,5.2,5.2,"cm",21.237166338267,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","solani","","Fusarium solani","","asexual","chlamydospore",NA,6,10,NA,NA,6,10,NA,"um",50.2654824574367,3.2,3.2,"cm",8.04247719318987,"",4,25,"PSA/OA","",NA
"Fusarium","solani","","Fusarium solani","","asexual","macroconidia",NA,28,42,NA,NA,4,6,NA,"um",137.444678594553,3.2,3.2,"cm",8.04247719318987,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","solani","","Fusarium solani","","asexual","conidia",NA,8,16,NA,NA,2,4,5,"um",28.2743338823081,3.2,3.2,"cm",8.04247719318987,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","sporotriochiodes","var. sporotrichiodes","Fusarium sporotriochiodes var. sporotrichiodes","","asexual","chlamydospore",NA,7,15,NA,NA,7,15,NA,"um",95.0331777710912,8,8.8,"cm",55.2920307031804,"",4,27.5,"MEA/OA","",NA
"Fusarium","sporotriochiodes","var. sporotrichiodes","Fusarium sporotriochiodes var. sporotrichiodes","","asexual","macroconidia",NA,29,46,NA,NA,3.7,5.3,NA,"um",132.535940073319,8,8.8,"cm",55.2920307031804,"",4,27.5,"MEA/OA","","Ascomycota"
"Fusarium","sporotriochiodes","var. sporotrichiodes","Fusarium sporotriochiodes var. sporotrichiodes","","asexual","conidia",NA,6,11,16,NA,3,4,NA,"um",23.3655953610741,8,8.8,"cm",55.2920307031804,"",4,27.5,"MEA/OA","","Ascomycota"
"Fusarium","subglutinans","","Fusarium subglutinans","","asexual","macroconidia",NA,27,54,NA,NA,3.5,4.5,NA,"um",127.234502470387,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","subglutinans","","Fusarium subglutinans","","asexual","conidia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","tricinctum","","Fusarium tricinctum","253.5","asexual","chlamydospore",NA,7,18,NA,NA,7,18,NA,"um",122.718463030851,3.2,4,"cm",10.0530964914873,"",4,22.5,"MEA/OA","",NA
"Fusarium","tricinctum","","Fusarium tricinctum","253.5","asexual","macroconidia",NA,24,50,NA,NA,3.2,4.5,NA,"um",111.879968375967,3.2,4,"cm",10.0530964914873,"",4,22.5,"MEA/OA","","Ascomycota"
"Fusarium","tricinctum","","Fusarium tricinctum","253.5","asexual","conidia",NA,8,11,14,2,4.5,7.5,NA,"um",44.7676953136545,3.2,4,"cm",10.0530964914873,"",4,22.5,"MEA/OA","","Ascomycota"
"Fusarium","ventricosum","","Fusarium ventricosum","","asexual","chlamydospore",NA,8,12,NA,NA,8,12,NA,"um",78.5398163397448,3,3,"cm",7.06858347057703,"",4,25,"PSA/OA","",NA
"Fusarium","ventricosum","","Fusarium ventricosum","","sexual","ascospores",NA,14,20,NA,NA,7,10,NA,"um",113.490034610931,3,3,"cm",7.06858347057703,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","ventricosum","","Fusarium ventricosum","","asexual","conidia",NA,24,48,NA,NA,5,8,NA,"um",183.783170235003,3,3,"cm",7.06858347057703,"",4,25,"PSA/OA","","Ascomycota"
"Fusarium","verticillioides","","Fusarium verticillioides","","asexual","macroconidia",NA,31,58,NA,NA,2.7,3.6,NA,"um",110.093187554237,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
"Fusarium","verticillioides","","Fusarium verticillioides","","asexual","microconidia",NA,7,10,NA,NA,2.5,3.2,NA,"um",19.0262705083032,NA,NA,"cm",NA,NA,NA,NA,NA,"","Ascomycota"
