"Species_names","spore_length","spore_width","SporeArea","SporeName","Phylum","Source"
"Ambispora_granatensis",55,55,2375.82944427728,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Ambispora_granatensis",118.5,118.5,11028.7573599678,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Ambispora_jimgerdemannii",225,225,39760.7820219958,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Ambispora_leptoticha",155,155,18869.1908756237,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Ambispora_leptoticha",181,181,25730.4292310638,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Ambispora_reticulata",137.5,109,11771.1549739193,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Archaeospora_schenckii",55,55,2375.82944427728,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Archaeospora_trappei",58,58,2642.07942166902,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Bulbospora_minima",78.5,72.5,4469.89729743573,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Cetraspora_auronigra",301,291.5,68912.0129537372,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Cetraspora_helvetica",240,240,45238.934211693,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_candidum",125,125,12271.8463030851,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_claroideum",148,134.5,15634.1358405896,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_drummondii",71,71,3959.19214168654,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_etunicatum",106,106,8824.73376393373,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_hanlinii",71,71,3959.19214168654,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_lamellosum",142,124,13829.2908611023,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_luteum",120,120,11309.7335529233,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Claroideoglomus_walkeri",81,81,5152.99735005066,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Corymbiglomus_corymbiforme",142,142,15836.7685667461,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Corymbiglomus_globiferum",210,205,33811.3909342601,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Corymbiglomus_pacificum",112.5,105,9277.51580513236,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Corymbiglomus_tortuosum",137,121,13019.5453546395,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dentiscutata_colliculosa",450,450,159043.128087983,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dentiscutata_erythropus",292.5,259.5,59614.6658449791,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dentiscutata_heterogama",159,159,19855.6509688509,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dentiscutata_nigerita",487.5,475,181868.762211722,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_arenaria",97,97,7389.81131940659,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_aurantia",98,98,7542.96396126909,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_celata",120,106.5,10037.3885282194,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_clara",95,95,7088.21842466197,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_eburnea",150,50,5890.48622548086,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_epigaea",117.5,107.5,9920.56055141402,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_gibbosa",104,104,8494.8665353068,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_insculpta",71,71,3959.19214168654,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_jakucsiae",110,110,9503.31777710913,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_omaniana",136,136,14526.7244301992,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_peridiata",74,74,4300.84034276443,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_przelewicensis",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_slowinskiensis",138,138,14957.122623741,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_spurca",92.5,92.5,6720.06303556942,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_trimurales",121,118,11213.9149769888,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Diversispora_varaderana",75,75,4417.86466911065,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_achra",43,43,1452.20120412188,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_aurea",60,48.5,2285.50865548657,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_bernensis",34,33.5,894.568508109694,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_compressa",81,81,5152.99735005066,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_difficilevidera",36,36,1017.87601976309,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_disticha",40,40,1256.63706143592,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_duoreactiva",52,52,2123.7166338267,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_indica",32,32,804.247719318987,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_iranica",40,40,1256.63706143592,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Dominikia_minuta",39,39,1194.59060652752,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Endogone_arenacea",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Endogone_lignicola",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Endogone_moelleri",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Endogone_nuda",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Endogone_pampaloniana",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Entrophospora_baltica",177,177,24605.7390610787,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Entrophospora_infrequens",126,116.5,11528.8596405111,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Entrophospora_nevadensis",102.5,102.5,8251.58945419444,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_africanum",87,87,5944.67869875529,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_badium",97.5,70.5,5398.63062565321,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_caledonium",204.5,196,31480.3291852965,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_coronatum",254.5,254.5,50870.4353927936,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_fragilistratum",146,146,16741.54725098,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_geosporum",200,200,31415.9265358979,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_mosseae",207.5,207.5,33816.2996727814,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_verruculosum",189,189,28055.2077947202,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Funneliformis_xanthium",50,50,1963.49540849362,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Fuscutata_aurea",205,205,33006.3578167778,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Geosiphon_pyriformis",250,250,49087.3852123405,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_albida",236.5,236.5,43929.0864246869,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_candida",250,250,49087.3852123405,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_decipiens",405,405,128824.933751266,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_gigantea",371.5,360.5,105185.038081626,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_lazzarii",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_margarita",370,370,107521.008569111,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_ramisporophora",325,325,82957.6810088555,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Gigaspora_rosea",267.5,267.5,56200.1473296087,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_albidum",131.5,131.5,13581.3013910095,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_ambisporum",121,121,11499.014510302,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_antarcticum",60,60,2827.43338823081,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_arborense",50,39.5,1551.16137270996,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_atrouva",140,140,15393.80400259,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_australe",160,160,20106.1929829747,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_avelingiae",72,72,4071.50407905237,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_bagyarajii",100.8,100.8,7980.14799494265,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_bistratum",29,29,660.519855417254,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_boreale",135,105,11133.0189661588,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_botryoides",250,145,28470.6834231575,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_brohultii",112.5,87.5,7731.26317094363,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_caesaris",184,184,26590.440219984,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_canadense",100,100,7853.98163397448,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_canum",40,40,1256.63706143592,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_cerebriforme",80,45,2827.43338823081,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_citricola",75,50,2945.24311274043,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_convolutum",137,130,13987.9412901086,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_crenatum",154,154,18626.5028431339,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_cubense",68,34,1815.8405537749,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_cuneatum",180,95,13430.3085940964,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_delhiense",112.5,112.5,9940.19550549895,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Septoglomus_deserticola",84.5,77,5110.1931501455,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_dimorphicum",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_dolichosporum",150,82.5,9719.30227204342,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_flavisporum",175.5,123.5,17022.9161430171,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_formosanum",91,91,6503.88219109427,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_fragile",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_fuegianum",67.5,67.5,3578.47038197962,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_glomerulatum",55,55,2375.82944427728,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_goaensis",95,95,7088.21842466197,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_halonatum",240,240,45238.934211693,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_heterosporum",152.5,131,15690.2918092725,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_hoi",100,97.5,7657.63209312512,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_hyderabadensis",116.5,116.5,10659.620223171,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_kerguelense",184.5,184.5,26735.14983159,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_lacteum",185,185,26880.2521422777,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_macrocarpum",120,110,10367.2557568463,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_magnicaule",150,150,17671.4586764426,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_melanosporum",221.5,186.5,32444.6017804077,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_microaggregatum",30,30,706.858347057703,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_microcarpum",40,35,1099.55742875643,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_monosporum",235,235,43373.6135736241,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_mortonii",149,125,14628.0407932775,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_multicaule",199,143,22350.0755358012,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_multiforum",215,215,36305.030103047,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_multisubstensum",125,125,12271.8463030851,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_nanolumen",34,30,801.106126665397,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_pallidum",55,48,2073.45115136926,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_pansihalos",142.5,125,13989.904785517,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_pellucidum",85,85,5674.50173054656,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_perpusillum",24,24,452.38934211693,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_pustulatum",113,113,10028.749148422,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_radiatum",85,61.5,4105.66889916016,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_reticulatum",150,150,17671.4586764426,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_segmentatum",76,63,3760.48640634698,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_spinosum",60,60,2827.43338823081,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_spinuliferum",130,130,13273.2289614169,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_sterilum",136.8,136.8,14698.1297253791,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_tenebrosum",240,230,43353.9786195391,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_tenerum",87,87,5944.67869875529,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_tenue",11,11,95.0331777710912,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_tetrastratosum",136,136,14526.7244301992,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_trufemii",92,82,5925.04374467035,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_versiforme",160,140,17592.9188601028,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_warcupii",260,260,53092.9158456675,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Glomus_zaozhuangianus",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Intraornatospora_intraornata",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
"Kamienskia_bistrata",NA,NA,NA,"Azygospores","Glomeromycota","Aguilar_etal_2018"
