"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4","Dim5"
"Ascospores distichously arranged in the asci, elongate-ellipsoid, 1-septate, constricted at the septum, the apices tending to be attenuated, pale brown, almost smooth but sometimes with a very sparse verruculose ornamentation, lacking a distinct gelatinous sheath, (13.5-)15-19(-21) x 5-6(-7.5) µm.","Kirschsteiniothelia maritima_47077_46883","Ascospores","(13.5-)15-19(-21) x 5-6(-7.5)",17,6,NA,NA,NA
"Ascospores distichously arranged in the asci, elongate-ellipsoid, rounded at the apices, 1-septate, cells equal in size or the lower slightly smaller, slightly constricted at the septum, pale brown, almost smooth or with a very weak verruculose ornamentation, not guttulate, lacking a distinct gelatinous sheath, (14-)15-17.5 x 5-6.5(-7) µm.","Kirschsteiniothelia recessa_165851_46884","Ascospores","(14-)15-17.5 x 5-6.5(-7)",15,6.5,NA,NA,NA
"Ascospores overlappinguniseriately arranged in the asci, ellipsoid to somewhat soleiform, 1-septate, constricted at the septum or scarcely so, the cells equal in size or the lower slightly smaller, apices rounded, reddish-brown, slightly granular at first but finally with up to five longitudinal or sinuate furrows visible in face view at high magnifications using light microscopy, lacking a distinct gelatinous sheath, (14-)l5-18(-19) x 5.0-6.5 µm.","Kirschsteiniothelia striatispora_186098_46885","Ascospores","5-18(-19) x 5.0-6.5",18,5.75,NA,NA,NA
"Ascospores irregularly to distichously arranged in the asci, elongate-ellipsoid, slightly attenuated towards the apices, 1-septate, the cells mainly equal in size, the lower cell sometimes somewhat smaller, dark brown, apparently smooth walled, often guttulate, without a distinct gelatinuous sheath, (29-)36-50(-55) x (12-)15-17(-19) µm.","Kirschsteiniothelia thujina_193914_46886","Ascospores","(29-)36-50(-55) x (12-)15-17(-19)",43,16,NA,NA,NA
"ascospores are fusoid to clavate or subellipsoid, inequilateral, early 3-transeptate (4-segmented), at which stage an initial longiseptum is laid down in each of the 2 central segments; 1 transeptum is added in each central segment, yielding a basically 5-transeptate spore with 1 series of longisepta in central segments. A high percentage of spores remain with this septation, but others add a single longitudinal or oblique septum in one or both of the end segments, rarely a 6th transeptum in the bottom segment of the spore, and sometimes a second longitudinal series in the widest central segment(s). At full development ascospores are 19-21 x 8-9.5 µm,","Lewia ethzedia_30349_27618","ascospores","19-21 x 8-9.5",20,8.75,NA,NA,NA
"ascospores are 19-21 x 8-9.5 µm,","Lewia ethzedia_30349_27618","ascospores","19-21 x 8-9.5",20,8.75,NA,NA,NA
"ascospores are sharply fusoid, sometimes sigmoid, becoming short-clavate, slightly flattened on one side, early 3-transeptate (4-segmented) when longitudinal septa are formed, then 5-transeptate and remaining so for practically all spores seen; forming a single longitudinal septum through each of the 2 original central segments and rarely but definitely a second one longitudinally through either the upper central segment or the lower one (not seen in both concurrently); sometimes (uncommonly) forming a single vertical or oblique septum in the distal quarter of the mature ascospore; at full development, yellow-brown becoming gold-brown, with darker walls and septa (initial median septum often appearing weak and almost hyaline), 19-22 x 7-8 µm,","Lewia infectoria_30360_27990","ascospores",")19-22 x 7-8",20.5,7.5,NA,NA,NA
"ascospores are ellipsoid to clavate, inequilateral, slightly pigmented at 1-cell stage and markedly yellow-tan by the time the initial median septum is formed. The locus of the first (median) septum is hyaline, contrasting with the developing pigment of the spore. The fragile appearance of the median septum is in strong contrast to the two transverse septa formed next, which already are dark at the 3-septate (4 segment) stage, as is the spore outer wall. Ascospores become 6-7 transeptate, with 1 or frequently 2 series of longisepta through both central segments, usually with oblique or Y-form septa in the top segment, and commonly the same pattern in the bottom segment of the spore. Fully developed ascospores are strong golden brown with darker septa and outer wall, 21-22.5 x 11-13 µm,","Lewia photistica_30366_28059","ascospores","21-22.5 x 11-13",21.75,12,NA,NA,NA
"Ascospores become 6-7 transeptate, with 1 or frequently 2 series of longisepta through both central segments, usually with oblique or Y-form septa in the top segment, and commonly the same pattern in the bottom segment of the spore. Fully developed ascospores are strong golden brown with darker septa and outer wall, 21-22.5 x 11-13 µm,","Lewia photistica_30366_28059","Ascospores","21-22.5 x 11-13",21.75,12,NA,NA,NA
"ascospores are strong golden brown with darker septa and outer wall, 21-22.5 x 11-13 µm,","Lewia photistica_30366_28059","ascospores","21-22.5 x 11-13",21.75,12,NA,NA,NA
