"good.names","Synonyms","Family","Order","dim1.min2","dim1.min","dim1.max","dim1.max2","dim2.min2","dim2.min","dim2.max","dim2.max2","shape","EquatorialAxis","PolarAxis","EquatorialAxis_2","PolarAxis_2","SporeVolume","SporeVolume_2","Dimension_units","Volume_units","Phylum","SporeArea","spore_type"
"Acaulospora_mellea",NA,"Acaulosporaceae","Diversisporales",72,95,105,126,72,95,105,126,"globose to subglobose",100,100,99,99,523598.775598299,508047.368364254,"Micrometers","Cubic micrometers","Glomeromycota",7853.98163397448,"Azygospores"
"Acaulospora_minuta",NA,"Acaulosporaceae","Diversisporales",150,175,230,230,150,175,230,230,"globose to subglobose",202.5,202.5,190,190,4347841.51410524,3591364.00182873,"Micrometers","Cubic micrometers","Glomeromycota",32206.2334378166,"Azygospores"
"Acaulospora_morrowiae",NA,"Acaulosporaceae","Diversisporales",63,79,92,120,63,79,92,120,"globose to subglobose",85.5,85.5,91.5,91.5,327263.044666643,401108.536183761,"Micrometers","Cubic micrometers","Glomeromycota",5741.4569239762,"Azygospores"
"Acaulospora_myriocarpa",NA,"","",22,32,90,90,22,32,90,90,"globose to subglobose",61,61,56,56,118846.973684077,91952.3225754708,"Micrometers","Cubic micrometers","Glomeromycota",2922.4665660019,"Azygospores"
"Acaulospora_nicolsonii",NA,"","",99,99,198,198,99,99,198,198,"globose to subglobose",148.5,148.5,148.5,148.5,1714659.86822936,1714659.86822936,"Micrometers","Cubic micrometers","Glomeromycota",17319.7966487814,"Azygospores"
"Acaulospora_nivalis",NA,"Acaulosporaceae","Diversisporales",75,80,88,97,75,80,88,97,"globose to subglobose",84,84,86,86,310339.088692214,333038.142811952,"Micrometers","Cubic micrometers","Glomeromycota",5541.76944093239,"Azygospores"
"Acaulospora_paulinae",NA,"Acaulosporaceae","Diversisporales",60,72,72,95,60,72,72,95,"globose to subglobose",72,72,77.5,77.5,195432.195794514,243727.048810139,"Micrometers","Cubic micrometers","Glomeromycota",4071.50407905237,"Azygospores"
"Acaulospora_polonica",NA,"","",80,94,94,115,80,94,94,115,"globose to subglobose",94,94,97.5,97.5,434892.765431537,485302.433901804,"Micrometers","Cubic micrometers","Glomeromycota",6939.77817177985,"Azygospores"
"Acaulospora_punctata",NA,"Acaulosporaceae","Diversisporales",105,105,129,129,105,105,129,129,"globose to subglobose",117,117,117,117,838602.605782318,838602.605782318,"Micrometers","Cubic micrometers","Glomeromycota",10751.3154587477,"Azygospores"
"Acaulospora_punctata",NA,"","",105,105,129,129,105,105,129,129,"globose to subglobose",117,117,117,117,838602.605782318,838602.605782318,"Micrometers","Cubic micrometers","Glomeromycota",10751.3154587477,"Azygospores"
"Acaulospora_pustulata",NA,"Acaulosporaceae","Diversisporales",45,45,65,72,44,44,62,68,"globose to subglobose",53,55,56,58.5,80893.3928360592,96057.3369761615,"Micrometers","Cubic micrometers","Glomeromycota",2289.43564630356,"Azygospores"
"Acaulospora_rehmii",NA,"","",100,141,141,160,100,141,141,160,"globose to subglobose",141,141,130,130,1467763.08333144,1150346.50998946,"Micrometers","Cubic micrometers","Glomeromycota",15614.5008865047,"Azygospores"
"Acaulospora_rugosa",NA,"","",49,92,92,118,49,92,92,118,"globose to subglobose",92,92,83.5,83.5,407720.083373088,304830.240524297,"Micrometers","Cubic micrometers","Glomeromycota",6647.610054996,"Azygospores"
"Acaulospora_scrobiculata",NA,"Acaulosporaceae","Diversisporales",100,100,240,240,100,100,220,220,"globose to broadly ellipsoid",160,170,160,170,2278701.8714038,2278701.8714038,"Micrometers","Cubic micrometers","Glomeromycota",21362.8300444106,"Azygospores"
"Acaulospora_sieverdingii",NA,"Acaulosporaceae","Diversisporales",60,60,80,80,60,60,80,80,"globose",70,70,70,70,179594.380030217,179594.380030217,"Micrometers","Cubic micrometers","Glomeromycota",3848.4510006475,"Azygospores"
"Acaulospora_spinosa",NA,"Acaulosporaceae","Diversisporales",100,100,298,298,100,100,335,335,"globose to subglobose",199,217.5,199,217.5,4509870.13696184,4509870.13696184,"Micrometers","Cubic micrometers","Glomeromycota",33993.9960072501,"Azygospores"
"Acaulospora_spinosissima",NA,"Acaulosporaceae","Diversisporales",120,120,187,187,116,116,180,180,"globose to subglobose",148,153.5,148,153.5,1760477.31363824,1760477.31363824,"Micrometers","Cubic micrometers","Glomeromycota",17842.6754760632,"Azygospores"
"Acaulospora_splendida",NA,"","",190,190,250,250,190,190,250,250,"globose to subglobose",220,220,220,220,5575279.76257069,5575279.76257069,"Micrometers","Cubic micrometers","Glomeromycota",38013.2711084365,"Azygospores"
"Acaulospora_sporocarpia",NA,"","",140,160,200,240,125,150,175,200,"globose to subglobose",162.5,180,162.5,190,2488730.43026566,2626993.23194709,"Micrometers","Cubic micrometers","Glomeromycota",22972.8962793754,"Azygospores"
"Acaulospora_taiwania",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micrometers","Cubic micrometers","Glomeromycota",NA,"Azygospores"
"Acaulospora_thomii",NA,"","",150,185,185,240,150,185,185,240,"globose to subglobose",185,185,195,195,3315231.09754758,3882419.47121444,"Micrometers","Cubic micrometers","Glomeromycota",26880.2521422777,"Azygospores"
"Acaulospora_tortuosa",NA,"Acaulosporaceae","Diversisporales",61,61,84,94,61,61,80,91,"globose to subglobose",70.5,72.5,76,77.5,188675.219045265,234383.755908822,"Micrometers","Cubic micrometers","Glomeromycota",4014.36636266521,"Azygospores"
"Acaulospora_tuberculata",NA,"Acaulosporaceae","Diversisporales",255,255,327,327,255,255,340,340,"globose to subglobose",291,297.5,291,297.5,13190813.2051408,13190813.2051408,"Micrometers","Cubic micrometers","Glomeromycota",67993.8825007256,"Azygospores"
"Acaulospora_undulata",NA,"","",55,55,85,85,55,55,85,85,"globose to subglobose",70,70,70,70,179594.380030217,179594.380030217,"Micrometers","Cubic micrometers","Glomeromycota",3848.4510006475,"Azygospores"
"Acaulospora_viridis",NA,"Acaulosporaceae","Diversisporales",140,140,205,205,140,140,193,193,"globose to subglobose",166.5,172.5,166.5,172.5,2503895.48705316,2503895.48705316,"Micrometers","Cubic micrometers","Glomeromycota",22557.617000479,"Azygospores"
"Acaulospora_walkeri",NA,"","",140,140,200,200,140,140,200,200,"globose to subglobose",170,170,170,170,2572440.78451444,2572440.78451444,"Micrometers","Cubic micrometers","Glomeromycota",22698.0069221863,"Azygospores"
