names_to_use,simpleFunct,taxon,disease,simpleFunct,citationSource,,,,notes,,,
Cephalotrichum stemonitis,Plant Pathogen undefined,Stysanus stemonitis var. stemonitis,rots,Plant necrotroph,NA,,,,,,,
Cephalotrichum stemonitis,Plant Pathogen undefined,Isaria stemonitis,rots,Plant necrotroph,NA,,,,,,,
Cercospora cannabis,Plant Pathogen undefined,Cercospora cannabis,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Hemp.aspx,,,,,,,
Cercospora chrysanthemi,Plant Pathogen undefined,Cercospora chrysanthemi,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Chrysanthemum.aspx,,,,,,,
Cercospora coryli,Plant Pathogen undefined,Cercospora coryli,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Hazelnut.aspx,,,,,,,
Cercospora corylina,Plant Pathogen undefined,Cercospora corylina,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Hazelnut.aspx,,,,,,,
Cercospora fragariae,Plant Pathogen undefined,Cercospora fragariae,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Strawberry.aspx,,,,,,,
Cercospora medicaginis,Plant Pathogen undefined,Cercospora medicaginis,leaf_spots summer_black_stem,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Alfalfa.aspx,,,,summer black stem,,,
Cercospora puderi,Plant Pathogen undefined,Cercospora puderi,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Rose.aspx,,,,,,,
Cercospora regalis,Plant Pathogen undefined,Cercospora regalis,spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Passionfruit.aspx,,,,This is a synonym of Cercosporina regalis,,,
Cercospora truncatella,Plant Pathogen undefined,Cercospora truncatella,spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Passionfruit.aspx,,,,,,,
Cercospora vicosae,Plant Pathogen undefined,Cercospora vicosae,blight_leaf_spot,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Cassava.aspx,,,,,,,
Cercosporina regalis,Plant Pathogen undefined,Cercosporina regalis,spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Passionfruit.aspx,,,,,,,
Chaetoseptoria wellmanii,Plant Pathogen undefined,Chaetoseptoria wellmanii,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Bean.aspx,,,,,,,
Chloridium phaeosporum,Plant Pathogen undefined,Chloridium phaeosporum,saprotroph,Saprotroph,"Gams, W.; Holubová-Jechová, V. 1976. Chloridium and some other Dematiaceous Hyphomycetes growing on decaying wood. Studies in Mycology. 13:1-99",,,,,,,
Coleosporium ipomoeae,Plant Pathogen undefined,Coleosporium ipomoeae,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Sweetpotato.aspx,,,,,,,
Coleosporium ipomoeae,Plant Pathogen undefined,Uredo ipomoeae,rusts,Rust,NA,,,,,,,
Coleosporium ipomoeae,Plant Pathogen undefined,Caeoma ipomoeae,rusts,Rust,NA,,,,,,,
Coleosporium tussilaginis,Plant Pathogen undefined,Uredo tremellosa var. campanulae,rusts,Rust,"De Nooij, M. P., Paul, N. D., & Ayres, P. G. (1995). Variation in susceptibility and tolerance within and between populations of Tussilago farfara L. infected by Coleosporium tussilaginis (Pers.) Berk. New phytologist, 129(1), 117-123.",,,,,,,
Curvularia senegalensis,Plant Pathogen undefined,Curvularia senegalensis,blights,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Sugarcane.aspx,,,,,,,
Curvularia senegalensis,Plant Pathogen undefined,Brachysporium senegalense,blights,Plant necrotroph,NA,,,,,,,
Cylindrocarpon musae,Plant Pathogen undefined,Cylindrocarpon musae,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/BananaandPlantain.aspx,,,,,,,
Cytospora sacchari,Plant Pathogen undefined,Cytospora sacchari,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Sugarcane.aspx,,,,,,,
Dactylaria humicola,Plant Pathogen undefined,Dactylaria humicola,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/FoliagePlants.aspx,,,,,,,
Dactylaria humicola,Plant Pathogen undefined,Dactylaria pseudoampulliformis,leaf_spots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Daedaleopsis confragosa,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Cherry.aspx,,,,Wood rots (Pathogenicity has not been proven for these fungi),,,
Daedaleopsis confragosa,Plant Pathogen undefined,Agaricus confragosus,rots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Daedalea confragosa,rots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Trametes confragosa,rots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Boletus confragosus,rots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Striglia confragosa,rots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Lenzites confragosa,rots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Ischnoderma confragosum,rots,Plant necrotroph,NA,,,,,,,
Daedaleopsis confragosa,Plant Pathogen undefined,Polyporus confragosus,rots,Plant necrotroph,NA,,,,,,,
Dendrophora erumpens,Plant Pathogen undefined,Dendrophora erumpens,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Cherry.aspx,,,,Wood rots (Pathogenicity has not been proven for these fungi),,,
Dendrophora erumpens,Plant Pathogen undefined,Peniophora erumpens,rots,Plant necrotroph,NA,,,,,,,
Dendrophora erumpens,Plant Pathogen undefined,Stereum erumpens,rots,Plant necrotroph,NA,,,,,,,
Dendrophora erumpens,Plant Pathogen undefined,Stereum versiforme f. erumpens,rots,Plant necrotroph,NA,,,,,,,
Dictyochaeta triseptata,Plant Pathogen undefined,Dictyochaeta triseptata,saprotroph endophyt,Endophyte,"CRUZ, A. C. R. D., et al. Conidial fungi from semi-arid Caatinga biome of Brazil. New and interesting Dictyochaeta species. Mycotaxon, 2009, 106: 15-27.                 PEREIRA, ISABELLA, et al. Checklist of endophytic fungi from tropical regions. 2012",,,,2 paper,,,
Dictyochaeta triseptata,Plant Pathogen undefined,Codinaea triseptata,saprotroph endophyt,Endophyte,NA,,,,,,,
Dilophospora alopecuri,Plant Pathogen undefined,Dilophospora alopecuri,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Wheat.aspx,,,,,,,
Dilophospora alopecuri,Plant Pathogen undefined,Sphaeria alopecuri,leaf_spots,Plant necrotroph,NA,,,,,,,
Dimeriella sacchari,Plant Pathogen undefined,Dimeriella sacchari,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Sugarcane.aspx,,,,,,,
Dimeriella sacchari,Plant Pathogen undefined,Coleroa sacchari,leaf_spots,Plant necrotroph,NA,,,,,,,
Diplocarpon mespili,Plant Pathogen undefined,Fabraea maculata,leaf_spots fruit_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Pear.aspx,,,,,,,
Diplocarpon mespili,Plant Pathogen undefined,Diplocarpon maculatum,leaf_spots fruit_spots,Plant necrotroph,NA,,,,,,,
Dothidella ulmi,Plant Pathogen undefined,Platychora ulmi,spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Elm.aspx,,,,,,,
Dothidella ulmi,Plant Pathogen undefined,Systremma ulmi,spots,Plant necrotroph,NA,,,,,,,
Dothidella ulmi,Plant Pathogen undefined,Euryachora ulmi,spots,Plant necrotroph,NA,,,,,,,
Dothidella ulmi,Plant Pathogen undefined,Sphaeria ulmi,spots,Plant necrotroph,NA,,,,,,,
Elsinoe fawcettii,Plant Pathogen undefined,Kurosawaia fawcettii,scab,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Citrus.aspx,,,,,,,
Elsinoe fawcettii,Plant Pathogen undefined,Sphaceloma citri var. scabiosae,scab,Plant necrotroph,NA,,,,,,,
Epichloe typhina,Plant Pathogen undefined,Nemania typhina,sterilizing,NA,"SCHARDL, Christopher L., et al. Origin of a fungal symbiont of perennial ryegrass by interspecific hybridization of a mutualist with the ryegrass choke pathogen, Epichloe typhina. Genetics, 1994, 136. Jg., Nr. 4, S. 1307-1317.",,,,,,,
Fusarium polyphialidicum,Plant Pathogen undefined,Fusarium polyphialidicum,saprotroph rots,Plant necrotroph,"MARASAS, W. F. O., et al. Fusarium polyphialidicum, a new species from South Africa. Mycologia, 1986, 78.4: 678-682.                           OCAMB, C. M.; JUZWIK, Jennifer; MARTIN, F. B. Fusarium spp. and Pinus strobus seedlings: root disease pathogens and taxa associated with seed. New forests, 2002, 24.1: 67-79.",,,,2 paper,,,
Fusicladium britannicum,Plant Pathogen undefined,Fusicladium britannicum,endophyte,Endophyte,NA,,,,,,,
Fusicladium britannicum,Plant Pathogen undefined,Cladosporium britannicum,endophyte,Endophyte,"PEREIRA, ISABELLA, et al. Checklist of endophytic fungi from tropical regions. 2012",,,,,,,
