names_to_use,simpleFunct,taxon,disease,simpleFunct,citationSource,,,,notes,,,
Puccinia schedonnardi,Plant Pathogen undefined,Puccinia schedonnardi,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Cotton.aspx,,,,,,,
Puccinia schedonnardi,Plant Pathogen undefined,Dicaeoma schedonnardi,rusts,Rust,NA,,,,,,,
Resinicium bicolor,Plant Pathogen undefined,Resinicium bicolor,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Douglas-fir.aspx,,,,,,,
Resinicium bicolor,Plant Pathogen undefined,Odontia bicolor,rots,Plant necrotroph,NA,,,,,,,
Resinicium bicolor,Plant Pathogen undefined,Acia bicolor,rots,Plant necrotroph,NA,,,,,,,
Resinicium bicolor,Plant Pathogen undefined,Mycoacia bicolor,rots,Plant necrotroph,NA,,,,,,,
Resinicium bicolor,Plant Pathogen undefined,Odontia subgelatinosa,rots,Plant necrotroph,NA,,,,,,,
Rickenella fibula,Plant Pathogen undefined,Mycena alba,bryophilous,NA,"Korotkin et al., 2018, American Journal of Botany 105(11): 1869–1887",,,,,,,
Rosellinia arcuata,Plant Pathogen undefined,Rosellinia arcuata,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Tea.aspx,,,,,,,
Scopulariopsis brumptii,Plant Pathogen undefined,Scopulariopsis brumptii,rots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Documents/Archive/CornorMaize.aspx,,,,,,,
Septoria humuli,Plant Pathogen undefined,Septoria humuli,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofHop.aspx,,,,,,,
Septoria lupulina,Plant Pathogen undefined,Septoria lupulina,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofHop.aspx,,,,,,,
Septoria tenella,Plant Pathogen undefined,Septoria tenella,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Turfgrasses.aspx,,,,,,,
Stagonospora sacchari,Plant Pathogen undefined,Stagonospora sacchari,leaf_scorch,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Sugarcane.aspx,,,,,,,
Stemphylium sarciniforme,Plant Pathogen undefined,Stemphylium sarciniforme,blights,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/DiseasesofLentil.aspx,,,,,,,
Stemphylium sarciniforme,Plant Pathogen undefined,Macrosporium sarciniforme,blights,Plant necrotroph,NA,,,,,,,
Stemphylium sarciniforme,Plant Pathogen undefined,Thyrospora sarciniforme,blights,Plant necrotroph,NA,,,,,,,
Stemphylium vesicarium,Plant Pathogen undefined,Ampullina herbarum,leaf_spots,Plant necrotroph,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Alfalfa.aspx,,,,,,,
Stemphylium vesicarium,Plant Pathogen undefined,Exormatostoma herbarum,leaf_spots,Plant necrotroph,NA,,,,,,,
Stemphylium vesicarium,Plant Pathogen undefined,Sporidesmium putrefaciens,leaf_spots,Plant necrotroph,NA,,,,,,,
Thermomyces lanuginosus,Plant Pathogen undefined,Thermomyces lanuginosus,endophyte,Endophyte,"Ali, A.H., Radwan, U., El-Zayat, S. et al. The role of the endophytic fungus, Thermomyces lanuginosus, on mitigation of heat stress to its host desert plant Cullen plicata. BIOLOGIA FUTURA 70, 1–7 (2019)",,,,,,,
Thermomyces lanuginosus,Plant Pathogen undefined,Sepedonium lanuginosum,endophyte,Endophyte,NA,,,,,,,
Thermomyces lanuginosus,Plant Pathogen undefined,Monotospora lanuginosa,endophyte,Endophyte,NA,,,,,,,
Tilletiaria anomala,Plant Pathogen undefined,Tilletiaria anomala,saprotroph,Saprotroph,"Bandoni, R. J., & Johri, B. N. (1972). Tilletiaria: a new genus in the Ustilaginales. Canadian Journal of Botany, 50(1), 39-43.",,,,,,,
Tranzschelia pruni-spinosae,Plant Pathogen undefined,Tranzschelia pruni-spinosae var. pruni-spinosae,rusts,Rust,"LAUNDON, G. F., et al. Tranzschelia pruni-spinosae var. prunispinosae. CMI Descriptions of pathogenic fungi and bacteria, 1971.",,,,,,,
Uromyces appendiculatus,Plant Pathogen undefined,Uromyces appendiculatus,rusts,Rust,https://www.apsnet.org/edcenter/resources/commonnames/Pages/Bean.aspx,,,,,,,
Uromyces appendiculatus,Plant Pathogen undefined,Uredo appendiculata,rusts,Rust,NA,,,,,,,
Uromyces appendiculatus,Plant Pathogen undefined,Erysibe appendiculata,rusts,Rust,NA,,,,,,,
Uromyces appendiculatus,Plant Pathogen undefined,Nigredo appendiculata,rusts,Rust,NA,,,,,,,
Uromyces appendiculatus,Plant Pathogen undefined,Puccinia phaseoli,rusts,Rust,NA,,,,,,,
Zygosporium gibbum,Plant Pathogen undefined,Zygosporium gibbum,hyperparasite,Hyperpasite,"Manimohan, P., & Mannethody, S. (2011). Zygosporium gibbum: a new and remarkable rust hyperparasite. Mycosphere, 2(3), 219-222.",,,,,,,
Zygosporium gibbum,Plant Pathogen undefined,Clasterosporium gibbum,hyperparasite,Hyperpasite,NA,,,,,,,
Zygosporium gibbum,Plant Pathogen undefined,Pimina parasitica,hyperparasite,Hyperpasite,NA,,,,,,,
Zygosporium gibbum,Plant Pathogen undefined,Zygosporium parasiticum,hyperparasite,Hyperpasite,NA,,,,,,,
Zygosporium gibbum,Plant Pathogen undefined,Urophiala parasitica,hyperparasite,Hyperpasite,NA,,,,,,,
