"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","V4"
"sporangiospores rather irregular in size and shape, ellipsoidal, broadly ellipsoidal, a few globose, 4.4-6.1 (8) x 3.8-4.4 µm,","Circinomucor griseocyanus_193504_14983","sporangiospores","4.4-6.1 (8) x 3.8-4.4 µ","6.1","4.1",NA,NA
"sporangiospores sub-globose, (3) 3.5-5.5 (6) µm","Circinomucor janssenii_166043_14984","sporangiospores","(3) 3.5-5.5 (6) µ","4.5",NA,NA,NA
"sporangiospores globose, a few el­lipsoidal or irregularly shaped, (5) 7-8 (10) µm","Circinomucor plumbeus_165015_14987","sporangiospores","(5) 7-8 (10) µ","7.5",NA,NA,NA
"sporangiospores and columella; columella up to 50 x 25 µm,","Circinomucor plumbeus_165015_18593","sporangiospores","50 x 25 µ","50","25",NA,NA
"Sporangiospores (5-) 7-9 (-10) µm","Circinomucor plumbeus_165015_18593","Sporangiospores","(5-) 7-9 (-10) µ","8",NA,NA,NA
"sporangiospores (sub)globose, 4-8 µm","Circinomucor sphaerosporus_35219_14989","sporangiospores","4-8 µ","6",NA,NA,NA
"sporangiospores ellipsoidal to cylindrical-ellipsoidal, 4.7-7 x 2.4-3 µm,","Circinomucor zonatus_184290_14985","sporangiospores","4.7-7 x 2.4-3 µ","5.85","2.7",NA,NA
"Sporangiospores globose, 4.5-7.5 µm","Umbelopsis nana_28349_71232","Sporangiospores","4.5-7.5 µ","6",NA,NA,NA
"sporangiospores globose, 3.4-5.4 µm","Zygorhynchus amphibiorum_180616_15783","sporangiospores","3.4-5.4 µ","4.4",NA,NA,NA
"sporangiospores rarely over 4.5 µm","Zygorhynchus amphibiorum_180616_15783","sporangiospores","4.5 µ","4.5",NA,NA,NA
"Sporangiospores 3-5,5 µm","Zygorhynchus amphibiorum_180616_18591","Sporangiospores","3-5,5 µ","4.25",NA,NA,NA
"sporangiospores bacilliform, usually slightly recurved to reniform, 4-4.7 x 1-1.3 (6.5 x 1.6) µm,","Zygorhynchus bacilliformis_177005_15766","sporangiospores","4-4.7 x 1-1.3 (6.5 x 1.6) µ","4.35","1.3",1.6,NA
"sporangiospores uniform in size and shape, very small, bacterium-1ike, elliptical, fusiform, reniform or flat-tened on one side, regularly with a dark granule at each end, 3-5.5 x 1.25 µm;","Zygorhynchus bacilliformis_177005_47548","sporangiospores","3-5.5 x 1.25 µ","4.25","1.25",NA,NA
"sporangiospores subglobose to cylindrical-ellipsoidal, 5.4-5.7 x 4.4. µm,","Zygorhynchus indicus_170207_15769","sporangiospores","5.4-5.7 x 4.4. µ","5.55","4.4",NA,NA
"sporangiospores are ellipsoidal to cylindrical-ellipsoidal, 5.4-6.4 x 3.8-4.8 µm,","Zygorhynchus indicus_170207_15769","sporangiospores","5.4-6.4 x 3.8-4.8 µ","5.9","4.3",NA,NA
"sporangiospores. Multisporous sporangia and sporangiola absent. Homothallic. Zygospores formed in great numbers between opposed progametangia arising from aerial hyphae near the surface of the substrate; zygospores globose, black, coarsely roughened with conical, blunt, rounded, or pointed projections 5-10 µm","Benjaminiella poitrasii_5850_213","sporangiospores.","5-10 µ","7.5",NA,NA,NA
"Sporangiospores.-Elliptical or polygonal; striated; 5-13 µm","Rhizopus arrhizus var. delemar_153159_221","Sporangiospores.-Elliptical","; 5-13 µ","9",NA,NA,NA
"sporangiospores, some collapsing dorsiventrally; oval to irregular spore-1ike bodies formed in some sporangia as a layer in the upper half to two-thirds of the sporangium, as many as 100 or more sometimes formed per sporangium; sporelike bodies gray, smooth with thin to thick walls, 10-40 x 9-10 µm,","Rhizopus arrhizus var. rouxii_416529_249","sporangiospores,","10-40 x 9-10 µ","25","9.5",NA,NA
"Sporangiospores (sub-)globose, up to 9 µm","Rhizopus microsporus var. oligosporus_24372_7666","Sporangiospores","9 µ","9",NA,NA,NA
"Sporangiospores.-Mostly globose or subglobose; faintly striated; 4-7 µm","Rhizopus microsporus var. chinensis_24361_220","Sporangiospores.-Mostly","; 4-7 µ","5.5",NA,NA,NA
"Sporangiospores globose-ellipsoidal, some slightly angular, some ""collapsed"", up to 7.5 µm","Rhizopus microsporus var. chinensis_24361_7667","Sporangiospores","7.5 µ","7.5",NA,NA,NA
"Sporangiospores (sub-)globose, up to 5(-6) µm","Rhizopus microsporus var. rhizopodiformis_24376_7665","Sporangiospores","5(-6) µ","5.5",NA,NA,NA
"Sporangiospores (3,5-) 4-6 (-8) µm,","Rhizopus microsporus var. rhizopodiformis_24376_14821","Sporangiospores","(3,5-) 4-6 (-8) µ","5",NA,NA,NA
"Sporangiospores (sub-)globose, up to 5(-6) µm","Rhizopus rhizopodiformis_39979_7665","Sporangiospores","5(-6) µ","5.5",NA,NA,NA
"Sporangiospores (3,5-) 4-6 (-8) µm,","Rhizopus rhizopodiformis_39979_14821","Sporangiospores","(3,5-) 4-6 (-8) µ","5",NA,NA,NA
"Sporangiospores unequal, irregular, globose or oval, angular, streaked, 10-20  x 7,5-8 µm,","Rhizopus stolonifer_58300_13944","Sporangiospores","10-20 x 7,5-8 µ","15","7.75",NA,NA
"Sporangiospores (5-) 8-20 (-26) µm","Rhizopus stolonifer_58300_14825","Sporangiospores","(5-) 8-20 (-26) µ","14",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, 12-24 µm","Choanephora cunninghamiana_133910_407","Sporangiospores","12-24 µ","18",NA,NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, 3-7 x 2-4 µm","Thamnostylum lucknowense_26987_34493","Sporangiospores","3-7 x 2-4 µ","5","3",NA,NA
"sporangiospores agglutinate tightly even after the sporangial wall dissolved, detaching as a whole from the columella, dispersable in a water mount only when pressure is exerted onto the cover glass, hyaline when solitary, grayish in mass, smooth or verrucose, mostly elliptic or oval-elliptic, somewhat pointed at both ends , sometimes oval to subglobose, generally asymmetrical, 11.4-30.6 x 9.9-15.3 µm,","Mucor gigasporus_44360_186","sporangiospores","11.4-30.6 x 9.9-15.3 µ","21","12.6",NA,NA
"sporangiospores irregular, from bacilliform to ovoid, smooth-walled, hyaline, 5-12.5 x 3.8-6.3 µm,","Absidia idahoensis_42734_128","sporangiospores","5-12.5 x 3.8-6.3 µ","8.75","5.05",NA,NA
"sporangiospores of the sporangia mostly elliptic to oval-elliptic, sometimes very irregular in shape, symmetrical or asymmetrical , 5.4-17.9 x 4.3-7.1 µm,","Blakeslea sinensis_44356_240","sporangiospores","5.4-17.9 x 4.3-7.1 µ","11.65","5.7",NA,NA
"sporangiospores, 5-10 (-13) µm","Absidia blakesleeana var. atrospora_42973_130","sporangiospores,","5-10 (-13) µ","10",NA,NA,NA
"Sporangiospores oval to elliptical, (5-) 5,5-7,5 x 4,5-5 (-9) µm,","Mucor oudemansii_167463_13941","Sporangiospores","(5-) 5,5-7,5 x 4,5-5 (-9) µ","5.5","5",NA,NA
"Sporangiospores smooth, broadly ellipsoidal and 6-9,5 x 5-6,5 µm","Mucor oudemansii_167463_14828","Sporangiospores","6-9,5 x 5-6,5 µ","7.75","5.75",NA,NA
"sporangiospores broadly ellipsoidal to subglobose, 5.5-8.5 (10) x 4-7 µm,","Mucor oudemansii_167463_14990","sporangiospores","5.5-8.5 (10) x 4-7 µ","8.5","5.5",NA,NA
"sporangiospores 3-6.5(11) x 2.5-5 µm,","Mycocladus corymbifer_162923_423","sporangiospores","3-6.5(11) x 2.5-5 µ","6.5","3.75",NA,NA
"Sporangiospores numerous, irregular in size and shape, smooth, mostly small, ovoid to subglobose, 2-3 (rarely 3,5-6,5) µm","Mycocladus corymbifer_162923_13935","Sporangiospores","3,5-6,5) µ","5",NA,NA,NA
"Sporangiospores irregular in shape and size in different isolates, ranging from globose and sub-globose through ovoid and elliptical to oblong elliptical, 3-6,5 (-12,5) x 2,5-5 µm,","Mycocladus corymbifer_162923_14820","Sporangiospores","3-6,5 (-12,5) x 2,5-5 µ","6.5","3.75",NA,NA
"sporangiospores 3.5-6(7) x 2.5-4.5 µm,","Mycocladus ramosus_193849_422","sporangiospores","3.5-6(7) x 2.5-4.5 µ","6","3.5",NA,NA
"Sporangiospores oblong to elliptical, smooth, grey in mass. Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Mycocladus ramosus_193849_13936","Sporangiospores",". 30-38 µ","34",NA,NA,NA
"sporangiospores (sub)globose, 4-8 µm","Mucor dimorphosporus f. sphaerosporus_151435_14989","sporangiospores","4-8 µ","6",NA,NA,NA
"Sporangiospores oval, broadly elliptical or elliptical with the narrower end usually tapering abruptly and drawn out to a straight or obliquely held `tail' which gives the spore a tear-drop appearance, excluding tail 4-5(-6) X (2-)2.5-3 µm,","Umbelopsis swartii_30745_200","Sporangiospores","4-5(-6) x (2-)2.5-3 µ","5","2.5",NA,NA
"Sporangiospores oval to clavate with wall at the narrower end distinctively thickened to 0.2-0.3 µm,","Umbelopsis westeae_30748_202","Sporangiospores","0.2-0.3 µ","0.25",NA,NA,NA
