"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","V4"
"Sporangiospores within sporangiola broadly fusiform, ellipsoid (typically) to broadly ellipsoid, more or less distinctly longitudinally striate and hence giving the intact sporangiolum a striate appearance, remaining inside the wall of the sporangiolum at maturity. Zygospores formed from tongs-1ike often slightly unequal, apposed suspensors, brown to reddish-brown, translucent, with a smooth, thin outer layer and a striate, thick inner layer, 30-105 µm","Rhopalomyces cucurbitarum_155770_406","Sporangiospores","30-105 µ","67.5",NA,NA,NA
"sporangiospores globose, mostly 6-8 µm","Mucor elegans_58412_23375","sporangiospores","6-8 µ","7",NA,NA,NA
"sporangiospore only at the extreme apex (Pl. 7 n), borne singly on numerous ovoid pseudophialides, 6-6.5 µm,","Coemansiella alabastrina_117619_34446","sporangiospore","6-6.5 µ","6.25",NA,NA,NA
"sporangiospores, some collapsing dorsiventrally; oval to irregular spore-1ike bodies formed in some sporangia as a layer in the upper half to two-thirds of the sporangium, as many as 100 or more sometimes formed per sporangium; sporelike bodies gray, smooth with thin to thick walls, 10-40 x 9-10 µm,","Amylomyces rouxii_1258_249","sporangiospores,","10-40 x 9-10 µ","25","9.5",NA,NA
"sporangiospores thin and smooth-walled, globose to globose-angled or short oval, contents granular, singly hyaline to light brown, 10-25 µm","Syzygites megalocarpus_26746_23169","sporangiospores","10-25 µ","17.5",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, brown or reddish-brown to pale brown, distinctly or indistinctly longitudinally striate, 12-24 µm","Cunninghamia infundibulifera_416548_407","Sporangiospores","12-24 µ","18",NA,NA,NA
"sporangiospores 5-11.5 x 2.5-5 µm.","Pilobolus crystallinus_21792_23383","sporangiospores","5-11.5 x 2.5-5 µ","8.25","3.75",NA,NA
"sporangiospores 3.5-6(7) x 2.5-4.5 µm,","Absidia ramosa_97_422","sporangiospores","3.5-6(7) x 2.5-4.5 µ","6","3.5",NA,NA
"Sporangiospores oblong to elliptical, smooth, grey in mass. Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Absidia ramosa_97_13936","Sporangiospores",". 30-38 µ","34",NA,NA,NA
"sporangiospores 3-6.5(11) x 2.5-5 µm,","Absidia corymbifera_29_423","sporangiospores","3-6.5(11) x 2.5-5 µ","6.5","3.75",NA,NA
"Sporangiospores numerous, irregular in size and shape, smooth, mostly small, ovoid to subglobose, 2-3 (rarely 3,5-6,5) µm","Absidia corymbifera_29_13935","Sporangiospores","3,5-6,5) µ","5",NA,NA,NA
"Sporangiospores irregular in shape and size in different isolates, ranging from globose and sub-globose through ovoid and elliptical to oblong elliptical, 3-6,5 (-12,5) x 2,5-5 µm,","Absidia corymbifera_29_14820","Sporangiospores","3-6,5 (-12,5) x 2,5-5 µ","6.5","3.75",NA,NA
"sporangiospores 2.5-5 µm","Absidia glauca_66_322","sporangiospores","2.5-5 µ","3.75",NA,NA,NA
"sporangiospores 3-5 µm","Absidia coerulea_21_326","sporangiospores","3-5 µ","4",NA,NA,NA
"sporangiospore only at the extreme apex (Pl. 7 n), borne singly on numerous ovoid pseudophialides, 6-6.5 µm,","Kickxella alabastrina_13866_34446","sporangiospore","6-6.5 µ","6.25",NA,NA,NA
"sporangiospores 2.5-5 µm","Absidia septata_31173_323","sporangiospores","2.5-5 µ","3.75",NA,NA,NA
"sporangiospores 4.5-6 µm.","Absidia scabra_240820_40216","sporangiospores","4.5-6 µ","5.25",NA,NA,NA
"sporangiospores 6 µm","Absidia reflexa_161375_40215","sporangiospores","6 µ","6",NA,NA,NA
"sporangiospores 3.5-5 x 2-2.5(-3.7) µm,","Absidia spinosa_46500_7569","sporangiospores","3.5-5 x 2-2.5(-3.7) µ","4.25","2.5",NA,NA
"sporangiospores, 3.5-5.0 x 2.0-2.5 µm.","Absidia spinosa_46500_13808","sporangiospores,","3.5-5.0 x 2.0-2.5 µ","4.25","2.25",NA,NA
"sporangiospores 3-6.5(11) x 2.5-5 µm,","Mucor corymbifer_35523_423","sporangiospores","3-6.5(11) x 2.5-5 µ","6.5","3.75",NA,NA
"Sporangiospores numerous, irregular in size and shape, smooth, mostly small, ovoid to subglobose, 2-3 (rarely 3,5-6,5) µm","Mucor corymbifer_35523_13935","Sporangiospores","3,5-6,5) µ","5",NA,NA,NA
"Sporangiospores irregular in shape and size in different isolates, ranging from globose and sub-globose through ovoid and elliptical to oblong elliptical, 3-6,5 (-12,5) x 2,5-5 µm,","Mucor corymbifer_35523_14820","Sporangiospores","3-6,5 (-12,5) x 2,5-5 µ","6.5","3.75",NA,NA
"sporangiospores mainly cylindrical-ellipsoidal, 4.7-6.8 x 2.7-3.3 (8.1 x 3.7) µm;","Mucor corticola_16276_7897","sporangiospores","4.7-6.8 x 2.7-3.3 (8.1 x 3.7) µ","5.75","3.3",3.7,NA
"sporangiospores cylindrical-ellipsoidal, broadly ellipsoidal, 10.5-13.5 x 5.7-7.5 µm,","Mucor mucedo_16394_15865","sporangiospores","10.5-13.5 x 5.7-7.5 µ","12","6.6",NA,NA
"Sporangiospores ovoid to ellipsoid or reniform, less commonly irregular in shape, (7-)8-10(-12.5) µm","Pirella circinans_21852_34462","Sporangiospores","(7-)8-10(-12.5) µ","9",NA,NA,NA
"sporangiospores 5-11.5 x 2.5-5 µm.","Hydrogera crystallina_163837_23383","sporangiospores","5-11.5 x 2.5-5 µ","8.25","3.75",NA,NA
"sporangiospores cylindrical-ellipsoidal, 3.4-5.4 x 2-3 µm;","Mucor microsporus_164235_15770","sporangiospores","3.4-5.4 x 2-3 µ","4.4","2.5",NA,NA
"sporangiospores rather uniform in shape, oblong ellipsoidal, infrequently slightly reniform, with more or less granular ('cloudy') contents, yellowish, 17.5-24.5 x 9.5-12.5 µm,","Mucor plasmaticus_16425_15869","sporangiospores","17.5-24.5 x 9.5-12.5 µ","21","11",NA,NA
"sporangiospores were found up to 30 x 14 µm.","Mucor plasmaticus_16425_15869","sporangiospores","30 x 14 µ","30","14",NA,NA
"sporangiospores 21-32 X 13-15 µm,","Mucor plasmaticus_16425_15869","sporangiospores","21-32 x 13-15 µ","26.5","14",NA,NA
"sporangiospores up to 33.5 x 17 µm","Mucor plasmaticus_16425_15869","sporangiospores","33.5 x 17 µ","33.5","17",NA,NA
"sporangiospores globose, a few el­lipsoidal or irregularly shaped, (5) 7-8 (10) µm","Mucor plumbeus_16433_14987","sporangiospores","(5) 7-8 (10) µ","7.5",NA,NA,NA
"sporangiospores and columella; columella up to 50 x 25 µm,","Mucor plumbeus_16433_18593","sporangiospores","50 x 25 µ","50","25",NA,NA
"Sporangiospores (5-) 7-9 (-10) µm","Mucor plumbeus_16433_18593","Sporangiospores","(5-) 7-9 (-10) µ","8",NA,NA,NA
"Sporangiospores in terminal sporangia and multispored sporangiola alike, mostly subglobose, (6.8-)8-13(-14.5) x (6.4-)7.6-13(-14) µm","Mucor lamprosporus_2981_34587","Sporangiospores","(6.8-)8-13(-14.5) x (6.4-)7.6-13(-14) µ","10.5","10.3",NA,NA
"sporangiospores. Sporangiospores ovoid, rounded, some ellipsoidal, or irregular, greyish, pale olive green to greyish chestnut, with homogeneous or granular content, 4.0-24.6(-29) x 3.5-21.2 µm.","Mucor lamprosporus_2981_52497","sporangiospores.","4.0-24.6(-29) x 3.5-21.2 µ","24.6","12.35",NA,NA
"Sporangiospores ovoid, rounded, some ellipsoidal, or irregular, greyish, pale olive green to greyish chestnut, with homogeneous or granular content, 4.0-24.6(-29) x 3.5-21.2 µm.","Mucor lamprosporus_2981_52497","Sporangiospores","4.0-24.6(-29) x 3.5-21.2 µ","24.6","12.35",NA,NA
"sporangiospores sub-globose, (3) 3.5-5.5 (6) µm","Mucor janssenii_16364_14984","sporangiospores","(3) 3.5-5.5 (6) µ","4.5",NA,NA,NA
"sporangiospores smooth, hyaline, with contents faintly yellow-orange (especially in the center), mostly oblong-elliptical to oval in shape but a few globose and a few nearly reniform, 10.5-30 x 6.517 µm,","Phycomyces nitens_21437_255","sporangiospores","10.5-30 x 6.517 µ","20.25","6.517",NA,NA
"sporangiospores held together by an interstitial hyaline substance, spherical, a little irregular [""inégales""], individually uncolored, en masse lightly yellowish, averaging 8 µm","Phycomyces microsporus_58728_257","sporangiospores","8 µ","8",NA,NA,NA
"sporangiospores narrow ellipsoidal, sometimes flattened at one side, 4-8 x 2.5-3.5 µm;","Parasitella parasitica_18490_15808","sporangiospores","4-8 x 2.5-3.5 µ","6","3",NA,NA
"sporangiospores smooth, hyaline, with contents faintly yellow-orange (especially in the center), mostly oblong-elliptical to oval in shape but a few globose and a few nearly reniform, 10.5-30 x 6.517 µm,","Mucor nitens_150609_255","sporangiospores","10.5-30 x 6.517 µ","20.25","6.517",NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, reddish-brown, longitudinally striate, (6-) 8-18 (-22) µm","Blakeslea trispora_3144_405","Sporangiospores","(6-) 8-18 (-22) µ","13",NA,NA,NA
"sporangiospores, with a fragile but persistent wall, minutely spinescent, hyaline, breaking along preformed sutures at maturity into 2-3 segments, attached to the spherical enlargements by a smafi spherical pedicel 3-5 µm","Blakeslea trispora_3144_405","sporangiospores,","3-5 µ","4",NA,NA,NA
"Sporangiospores from sporangiola ellipsoid to broadly ellipsoid, reddishbrown, longitudinally striate, (8-) 10-16 (-20) µm","Blakeslea trispora_3144_405","Sporangiospores","(8-) 10-16 (-20) µ","13",NA,NA,NA
"sporangiospores globose, sometimes short oval, variable in diam., from 3-7 µm,","Helicostylum muscae_167216_23370","sporangiospores","3-7 µ","5",NA,NA,NA
"sporangiospores globose, sometimes short oval, variable in diam., 3-7, mostly 5-6 µm,","Helicostylum muscae_167216_38435","sporangiospores","5-6 µ","5.5",NA,NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, (3.6-)4.8-6.4(-6.8) x (2-) 2.4-3.2 µm","Helicostylum nigricans_167287_34494","Sporangiospores","(3.6-)4.8-6.4(-6.8) x (2-) 2.4-3.2 µ","5.6","2.4",NA,NA
"Sporangiospores alike in sporangia and sporangiola, ovoid to ellipsoid, (4-)5.2-7.2(-9.2) x (3.2-)4-5.6(-6) pin (av. 6.5 x 4.5 sm); 5-32 per sporangiole, Zygospores on MEYE globose to subglobose, 70-175 µm","Helicostylum piriforme_12670_34492","Sporangiospores","70-175 µ","6.5","4.5",NA,NA
"sporangiospores 3.5-6(7) x 2.5-4.5 µm,","Mucor ramosus_167356_422","sporangiospores","3.5-6(7) x 2.5-4.5 µ","6","3.5",NA,NA
"Sporangiospores oblong to elliptical, smooth, grey in mass. Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Mucor ramosus_167356_13936","Sporangiospores",". 30-38 µ","34",NA,NA,NA
"Sporangiospores globose to subglobose, occasionally oval, 2,5-4 µm,","Mucor pusillus_24315_13940","Sporangiospores","2,5-4 µ","3.25",NA,NA,NA
"Sporangiospores 3-5 (-5,5) µm","Mucor pusillus_24315_14826","Sporangiospores","3-5 (-5,5) µ","5",NA,NA,NA
"sporangiospores subglobose, a few ellipsoidal, 3-4 µm","Mucor pusillus_24315_15805","sporangiospores","3-4 µ","3.5",NA,NA,NA
"Sporangiospores oval to elliptical, (5-) 5,5-7,5 x 4,5-5 (-9) µm,","Mucor racemosus_37917_13941","Sporangiospores","(5-) 5,5-7,5 x 4,5-5 (-9) µ","5.5","5",NA,NA
"Sporangiospores smooth, broadly ellipsoidal and 6-9,5 x 5-6,5 µm","Mucor racemosus_37917_14828","Sporangiospores","6-9,5 x 5-6,5 µ","7.75","5.75",NA,NA
"sporangiospores broadly ellipsoidal to subglobose, 5.5-8.5 (10) x 4-7 µm,","Mucor racemosus_37917_14990","sporangiospores","5.5-8.5 (10) x 4-7 µ","8.5","5.5",NA,NA
"sporangiospores, bluish gray, often with globose or dorsiventrally flattened eolumellae up to 10 µm","Thamnidium fresenii_141647_259","sporangiospores,","10 µ","10",NA,NA,NA
"sporangiospores oval to elliptical, often somewhat irregular in shape, smoothwalled, uncolored, equal in size from sporangia and sporangiola, 7.5-15 x 5.5-8.5 µm,","Thamnidium fresenii_141647_259","sporangiospores","7.5-15 x 5.5-8.5 µ","11.25","7",NA,NA
"sporangiospores smooth, colourless, not over 9.5 µm","Mucor hiemalis_46607_7896","sporangiospores","9.5 µ","9.5",NA,NA,NA
"sporangiospores 6-13 µm","Circinella angarensis_5342_139","sporangiospores","6-13 µ","9.5",NA,NA,NA
"sporangiospores 2.2-4.5 x 1.6-2.5 µm,","Tieghemella butleri_168902_7557","sporangiospores","2.2-4.5 x 1.6-2.5 µ","3.35","2.05",NA,NA
"Sporangiospores 2,5-4,5 x 1,5-2,5 µm,","Tieghemella butleri_168902_18584","Sporangiospores","2,5-4,5 x 1,5-2,5 µ","3.5","2",NA,NA
"sporangiospores 3-5 µm","Tieghemella coerulea_160697_326","sporangiospores","3-5 µ","4",NA,NA,NA
"sporangiospores 3.3-5.5 x 2.2-3.5 µm,","Tieghemella cylindrospora_203242_7570","sporangiospores","3.3-5.5 x 2.2-3.5 µ","4.4","2.85",NA,NA
"sporangiospores 3.3-4.5 x 1.8-3.5 µm,","Absidia fusca_63_7564","sporangiospores","3.3-4.5 x 1.8-3.5 µ","3.9","2.65",NA,NA
"sporangiospores globose, 3.8-7.7 µm","Absidia heterospora_82_7571","sporangiospores","3.8-7.7 µ","5.75",NA,NA,NA
"sporangiospores, sometimes with aerial mycelium mixed in with sporangiophores; colony reverse Deep Olive-Buff, Light Olive-Gray, Olive-Buff, Tea Green or Vetiver Green, in age Dark Olive-Buff; sporangiophores arising mostly from substrate mycelium, often covered with droplets of exudate, hyaline below, light brown to grayish blue above, not septate, enlarging gradually above to the region of the curvature and then reduced in diameter just below the sporangium, often minutely roughened below sporangium, typically unbranched, erect although in age sometimes appearing collapsed, up to 40-50 µm","Choanephora persicaria_11593_428","sporangiospores,","40-50 µ","45",NA,NA,NA
"sporangiospores (figs. 5, 6, 7) 5-13 x 4.5-11 µm,","Choanephora persicaria_11593_428","sporangiospores",". 567) 5-13 x 4.5-11 µ","5","7.75",NA,NA
"Sporangiospores numerous, variable in shape, globose to short oval or rather irregular with a papilla at each end, 5-13 x 5-11 (up to 8,5-17) µm;","Choanephora persicaria_11593_13938","Sporangiospores","8,5-17) µ","12.75",NA,NA,NA
"sporangiospores exceedingly variable in size and shape, ellipsoidal or, rather frequently, bizarre and large, 5.5-17.6 X 3.4-12.8 µm;","Mucor racemosus var. lusitanicus_143547_14982","sporangiospores","5.5-17.6 x 3.4-12.8 µ","11.55","8.1",NA,NA
"sporangiospores 1-celled, oval to oblong-elliptical, heavy-walled, smooth, with more-or-1ess granular contents and yellowishorange pigment which often is concentrated centrally, 8-13 x 5-7.5 µm","Phycomyces blakesleeanus_21420_256","sporangiospores","8-13 x 5-7.5 µ","10.5","6.25",NA,NA
"sporangiospores 2.2-4.5 x 1.6-2.5 µm,","Absidia butleri_31153_7557","sporangiospores","2.2-4.5 x 1.6-2.5 µ","3.35","2.05",NA,NA
"Sporangiospores 2,5-4,5 x 1,5-2,5 µm,","Absidia butleri_31153_18584","Sporangiospores","2,5-4,5 x 1,5-2,5 µ","3.5","2",NA,NA
"sporangiospores oval, triangular or irregular in shape, with vacuolate or granular contents, usually with two regions from which appendages are attached, 6.5-14 x 13-25 µm;","Choanephora conjuncta_40009_7555","sporangiospores","6.5-14 x 13-25 µ","10.25","19",NA,NA
"Sporangiospores alike from sporangia and sporangiola, ellipsoid or oblong, hyaline, smooth-walled, 6.9-3.4-5.7 µm","Fennellomyces gigacellylaris_420067_275","Sporangiospores","6.9-3.4-5.7 µ","3.4",NA,NA,NA
"sporangiospores in young cultures ellipsoidal, 4.4-5.4 x 1.7-2 µm,","Mucor guilliermondii_16318_15767","sporangiospores","4.4-5.4 x 1.7-2 µ","4.9","1.85",NA,NA
"sporangiospores up to 8 x 2.7 µm","Mucor guilliermondii_16318_15767","sporangiospores","8 x 2.7 µ","8","2.7",NA,NA
"Sporangiospores numerous in the terminal sporangium, in sporangiola 12-24 only, ellipsoidal hyaline 4.4-7.7 x 2.2-4.4 µm","Kirkomyces cordense_420808_209","Sporangiospores","4.4-7.7 x 2.2-4.4 µ","6.05","3.3",NA,NA
"sporangiospores may germinate within the sporangium; columellae obovoid-pyriform or subglobose, the smaller ones infrequently conical to applanate, up to 83 x 75 µm,","Mucor inaequisporus_16353_15784","sporangiospores","83 x 75 µ","83","75",NA,NA
"sporangiospores extremely variable in size and shape, the smaller ones ellipsoidal, approx. 5-7 x 3-4 µm,","Mucor inaequisporus_16353_15784","sporangiospores",". 5-7 x 3-4 µ","6","3.5",NA,NA
"Sporangiospores hyaline with granular contents, highly variable in shape and size: majority elliptical (sometimes flattened at one side), 5-14(-22.5) x 3.5-10(-15) µm,","Mucor inaequisporus_16353_61514","Sporangiospores",")5-14(-22.5) x 3.5-10(-15) µ","14","10",NA,NA
"sporangiospores subglobose to cylindrical-ellipsoidal, 5.4-5.7 x 4.4. µm,","Mucor indicus_16358_15769","sporangiospores","5.4-5.7 x 4.4. µ","5.55","4.4",NA,NA
"sporangiospores are ellipsoidal to cylindrical-ellipsoidal, 5.4-6.4 x 3.8-4.8 µm,","Mucor indicus_16358_15769","sporangiospores","5.4-6.4 x 3.8-4.8 µ","5.9","4.3",NA,NA
"sporangiospores smooth, orange, mostly ellipsoidal, 5-13(-19) µm","Mucor azygospora_421631_432","sporangiospores","5-13(-19) µ","13",NA,NA,NA
"sporangiospores globose, broadly ellipsoidal, 6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µm,","Mucor azygospora_421631_15800","sporangiospores","6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µ","8.1","8.1",7.1,NA
"sporangiospores globose, broadly ellipsoidal, 6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µm,","Mucor azygospora_421631_15801","sporangiospores","6.7-9.5 x 5.4-8.1 (12.2 x 7.1) µ","8.1","8.1",7.1,NA
"sporangiospores mainly cylindrical-ellipsoidal, 4.7-6.8 x 2.7-3.3 (8.1 x 3.7) µm;","Mucor corticolus_421633_7897","sporangiospores","4.7-6.8 x 2.7-3.3 (8.1 x 3.7) µ","5.75","3.3",3.7,NA
"sporangiospores sub-globose, (3) 3.5-5.5 (6) µm","Mucor janseni_421639_14984","sporangiospores","(3) 3.5-5.5 (6) µ","4.5",NA,NA,NA
"sporangiospores cylindrical-ellipsoidal, 3.4-5.4 x 2-3 µm;","Mucor microsporius_421643_15770","sporangiospores","3.4-5.4 x 2-3 µ","4.4","2.5",NA,NA
"sporangiospores 3-6.5(11) x 2.5-5 µm,","Mycocladus corymbifera_421691_423","sporangiospores","3-6.5(11) x 2.5-5 µ","6.5","3.75",NA,NA
"Sporangiospores numerous, irregular in size and shape, smooth, mostly small, ovoid to subglobose, 2-3 (rarely 3,5-6,5) µm","Mycocladus corymbifera_421691_13935","Sporangiospores","3,5-6,5) µ","5",NA,NA,NA
"Sporangiospores irregular in shape and size in different isolates, ranging from globose and sub-globose through ovoid and elliptical to oblong elliptical, 3-6,5 (-12,5) x 2,5-5 µm,","Mycocladus corymbifera_421691_14820","Sporangiospores","3-6,5 (-12,5) x 2,5-5 µ","6.5","3.75",NA,NA
"sporangiospores 3.5-6(7) x 2.5-4.5 µm,","Mycocladus ramosa_421692_422","sporangiospores","3.5-6(7) x 2.5-4.5 µ","6","3.5",NA,NA
"Sporangiospores oblong to elliptical, smooth, grey in mass. Chlamydospores not seen; giant cells very common with irregularly ramified finger-1ike branches, c. 30-38 µm","Mycocladus ramosa_421692_13936","Sporangiospores",". 30-38 µ","34",NA,NA,NA
"sporangiospores subglobose to broadly ellipsoidal, 4-7 (8) µm","Mucor ramosissimus_16473_14980","sporangiospores","4-7 (8) µ","7",NA,NA,NA
"sporangiospores broadly ellipsoidal, 7 x 4.5 µm.","Mucor ramosissimus_16473_14980","sporangiospores","7 x 4.5 µ","7","4.5",NA,NA
"sporangiospores 4.5-11 µm","Mucor sexualis_58711_142","sporangiospores","4.5-11 µ","7.75",NA,NA,NA
"Sporangiospores.-Globose, subglobose, polygonal or irregular in shape; striated; 5-13 µm","Mucor sexualis_58711_232","Sporangiospores.-Globose,","; 5-13 µ","9",NA,NA,NA
"Sporangiospores mainly 5-12 µm","Mucor sexualis_58711_14824","Sporangiospores","5-12 µ","8.5",NA,NA,NA
"sporangiospores 2.2-4.5 x 1.6-2.5 µm,","Gongronella butleri_12139_7557","sporangiospores","2.2-4.5 x 1.6-2.5 µ","3.35","2.05",NA,NA
"Sporangiospores 2,5-4,5 x 1,5-2,5 µm,","Gongronella butleri_12139_18584","Sporangiospores","2,5-4,5 x 1,5-2,5 µ","3.5","2",NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, reddish-brown, longitudinally striate, (12-) 16-22 (-26) µm","Choanephora monospora_182390_408","Sporangiospores","(12-) 16-22 (-26) µ","19",NA,NA,NA
"sporangiospore, with a persistent wall, minutely spinescent, hyaline, breaking along a performed suture at maturity into 1-2 segments, attached to the spherical enlargements by a small, cylindrical pedicel, 2-5 µm","Choanephora monospora_182390_408","sporangiospore,","2-5 µ","3.5",NA,NA,NA
"Sporangiospores from sporangiota ellipsoid to broadly ellipsoid, reddish brown, longitudinally striate, (14-) 20-26 (-32) µm","Choanephora monospora_182390_408","Sporangiospores","(14-) 20-26 (-32) µ","23",NA,NA,NA
"Sporangiospores from sporangia ellipsoid to broadly ellipsoid, reddish-brown, longitudinally striate, (6-) 8-18 (-22) µm","Choanephora trispora_3145_405","Sporangiospores","(6-) 8-18 (-22) µ","13",NA,NA,NA
"sporangiospores, with a fragile but persistent wall, minutely spinescent, hyaline, breaking along preformed sutures at maturity into 2-3 segments, attached to the spherical enlargements by a smafi spherical pedicel 3-5 µm","Choanephora trispora_3145_405","sporangiospores,","3-5 µ","4",NA,NA,NA
"Sporangiospores from sporangiola ellipsoid to broadly ellipsoid, reddishbrown, longitudinally striate, (8-) 10-16 (-20) µm","Choanephora trispora_3145_405","Sporangiospores","(8-) 10-16 (-20) µ","13",NA,NA,NA
"Sporangiospores 14-23 µm","Coemansia aciculifera_5832_34439","Sporangiospores","14-23 µ","18.5",NA,NA,NA
"sporangiospores ellipsoidal or plano-convexly ellipsoidal (7.8-) 9.5-17.5 (21.6) x (3.7-) 4-9.8 (-13.5) µm,","Mucor odoratus_16408_15799","sporangiospores","(7.8-) 9.5-17.5 (21.6) x (3.7-) 4-9.8 (-13.5) µ","13.5","6.9",NA,NA
"sporangiospores larger (11.8-25.6 x 6.7-14.8 µm).","Mucor odoratus_16408_15799","sporangiospores","(11.8-25.6 x 6.7-14.8 µ","18.7","10.75",NA,NA
"sporangiospores 4.5-11 µm","Rhizopus sexualis_46666_142","sporangiospores","4.5-11 µ","7.75",NA,NA,NA
"Sporangiospores.-Globose, subglobose, polygonal or irregular in shape; striated; 5-13 µm","Rhizopus sexualis_46666_232","Sporangiospores.-Globose,","; 5-13 µ","9",NA,NA,NA
"Sporangiospores mainly 5-12 µm","Rhizopus sexualis_46666_14824","Sporangiospores","5-12 µ","8.5",NA,NA,NA
"sporangiospores 2.4-2.8 x 1.7-1.8 µm,","Absidia parricida_174884_7565","sporangiospores","2.4-2.8 x 1.7-1.8 µ","2.6","1.75",NA,NA
"sporangiospores 2.4-2.8 x 1.7-1.8 µm,","Absidia parricida_90_7565","sporangiospores","2.4-2.8 x 1.7-1.8 µ","2.6","1.75",NA,NA
"sporangiospores globose, mostly 6-8 µm","Actinomucor elegans_678_23375","sporangiospores","6-8 µ","7",NA,NA,NA
"Sporangiospores ellipsoid to broadly ellipsoid, pale olivaceous brown, longitudinally striate, (5-) 7-12 (-14) µm","Blakeslea circinans_32373_412","Sporangiospores","(5-) 7-12 (-14) µ","9.5",NA,NA,NA
"sporangiospores  very irregular in shape, roughly oval, with striations visible at high magnifications, smoothwalled, hyaline, with 6 or more stiss appendages from either end up to 16.5 µm","Blakeslea circinans_32373_429","sporangiospores","16.5 µ","16.5",NA,NA,NA
"sporangiospores 4.5-7.5 x 7-13.5 µm","Blakeslea circinans_32373_429","sporangiospores","4.5-7.5 x 7-13.5 µ","6","10.25",NA,NA
"Sporangiospores ellipsoid to broadly ellipsoid, pale olivaceous brown, longitudinally striate, (5-) 7-12 (-14) µm","Choanephora circinans_40011_412","Sporangiospores","(5-) 7-12 (-14) µ","9.5",NA,NA,NA
"sporangiospores  very irregular in shape, roughly oval, with striations visible at high magnifications, smoothwalled, hyaline, with 6 or more stiss appendages from either end up to 16.5 µm","Choanephora circinans_40011_429","sporangiospores","16.5 µ","16.5",NA,NA,NA
"sporangiospores 4.5-7.5 x 7-13.5 µm","Choanephora circinans_40011_429","sporangiospores","4.5-7.5 x 7-13.5 µ","6","10.25",NA,NA
"Sporangiospores simple or sympodially branched, arising directly from the substrate mycelium, rarely from stolons, erect or ascending, of two kinds: (1) tall sporophores reaching 1.5 cm or more in height, 6-18 µm","Circinella linderi_10326_34591","Sporangiospores","6-18 µ","8","6.25",NA,NA
"Sporangiospores from sporangia and multispored sporangiola alike, ovoid to ellipsoid, (5-) 610(-12.5) x (4-)5-7.5 µm,","Circinella linderi_10326_34591","Sporangiospores","(5-) 610(-12.5) x (4-)5-7.5 µ","8","6.25",NA,NA
"Sporangiospores 8.8-13 µm)","Coemansia mojavensis_5840_34443","Sporangiospores","8.8-13 µ","10.9",NA,NA,NA
"sporangiospores, bluish gray, often with globose or dorsiventrally flattened eolumellae up to 10 µm","Helicostylum fresenii_12668_259","sporangiospores,","10 µ","10",NA,NA,NA
"sporangiospores oval to elliptical, often somewhat irregular in shape, smoothwalled, uncolored, equal in size from sporangia and sporangiola, 7.5-15 x 5.5-8.5 µm,","Helicostylum fresenii_12668_259","sporangiospores","7.5-15 x 5.5-8.5 µ","11.25","7",NA,NA
"Sporangiospores (5-) 10-16 (-10) x 5-8 (-9,5) µm,","Mortierella elongata_15941_18586","Sporangiospores","(5-) 10-16 (-10) x 5-8 (-9,5) µ","13","8",NA,NA
"Sporangiospores (5-) 7-10 (-11) µm","Mortierella mutabilis_16069_18589","Sporangiospores","(5-) 7-10 (-11) µ","8.5",NA,NA,NA
"sporangiospores bacilliform, usually slightly recurved to reniform, 4-4.7 x 1-1.3 (6.5 x 1.6) µm,","Mucor bacilliformis_16221_15766","sporangiospores","4-4.7 x 1-1.3 (6.5 x 1.6) µ","4.35","1.3",1.6,NA
"sporangiospores uniform in size and shape, very small, bacterium-1ike, elliptical, fusiform, reniform or flat-tened on one side, regularly with a dark granule at each end, 3-5.5 x 1.25 µm;","Mucor bacilliformis_16221_47548","sporangiospores","3-5.5 x 1.25 µ","4.25","1.25",NA,NA
"sporangiospores ellipsoidal, sometimes flattened at one side, (12.2-) 15.2-20.9 (-27) x (5.4-) 6.4-8.4 (-11) µm,","Mucor recurvus_46608_15787","sporangiospores","(12.2-) 15.2-20.9 (-27) x (5.4-) 6.4-8.4 (-11) µ","18.05","7.4",NA,NA
"sporangiospores. Sporangiospores smooth-walled, colorless, reniform to oblong elliptical, 3.5-4.5 µm","Radiomyces spectabilis_23780_7572","sporangiospores.","3.5-4.5 µ","4",NA,NA,NA
"Sporangiospores smooth-walled, colorless, reniform to oblong elliptical, 3.5-4.5 µm","Radiomyces spectabilis_23780_7572","Sporangiospores","3.5-4.5 µ","4",NA,NA,NA
"Sporangiospores.-Elliptical or polygonal; striated; 5-13 µm","Rhizopus arrhizus var. delemar_427242_221","Sporangiospores.-Elliptical","; 5-13 µ","9",NA,NA,NA
