"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"Basidiospores ellipsoid, gold yellow to brownish-yellow, 8,5-13,5  x 4,5-7  µm,","Ganoderma boninense_76243_14409","Basidiospores","8,5-13,5 x 4,5-7",11,5.75,NA,NA
"Basidiospores truncate to oblong ellipsoid, 10-12 x 7-8 µm,","Ganoderma boninense_76243_44921","Basidiospores","10-12 x 7-8",11,7.5,NA,NA
"basidiospores ellipsoid to subglobose, 3.5-4.5(-5) x 2.5-3 µm,","Peniophora pallidula_68243_12653","basidiospores","3.5-4.5(-5) x 2.5-3",4.5,2.75,NA,NA
"Basidiospores ellipsoid, 3.5-4.5 x 2-2.5(-3) µm,","Peniophora pallidula_68243_50851","Basidiospores","3.5-4.5 x 2-2.5(-3)",4,2.5,NA,NA
"Basidiospores ellipsoid, 14-18 x 8-10(-12) µm,","Peniophora aurantiaca_461644_50979","Basidiospores","14-18 x 8-10(-12)",16,10,NA,NA
"basidiospores narrowly cylindrical or narrowly fusiform, usually sigmoid, 9.5-16 x 2-3 µm,","Peniophora longispora_70022_12665","basidiospores","9.5-16 x 2-3",12.75,2.5,NA,NA
"Basidiospores 12-18 x 8-12 lam","Uslaria morchellaeformis_143897_37145","Basidiospores","12-18 x 8-12",15,10,NA,NA
"basidiospores broadly ellipsoid, pale yellowish in KOH, smooth, thick-walled, negative in Melzer's reagent, 6-7 x 4.5-5 µm.","Serpula mollusca_77067_4574","basidiospores","6-7 x 4.5-5",6.5,4.75,NA,NA
"basidiospores ellipsoid, slightly flattened on one side, smooth, pale yellowish in KOH, weakly to strongly dextrinoid in Melzer's reagent, 4-5 x 3-4 µm","Serpula mollusca_77067_35305","basidiospores","4-5 x 3-4",4.5,3.5,NA,NA
"Basidiospores ellipsoid, 6-7 x 4-4.5 µm,","Serpula mollusca_77067_50918","Basidiospores","6-7 x 4-4.5",6.5,4.25,NA,NA
"Basidiospores ellipsoid to ovoid, 4-5 x 3-3.5 µm,","Peniophora nivea_70023_50952","Basidiospores","4-5 x 3-3.5",4.5,3.25,NA,NA
"basidiospores narrowly cylindrical or narrowly fusiform, usually sigmoid, 9.5-16 x 2-3 µm,","Kneiffia longispora_70005_12665","basidiospores","9.5-16 x 2-3",12.75,2.5,NA,NA
"basidiospores  7-8.5(-9) µm","Hypochnus olivascens_72109_856","basidiospores","7-8.5(-9)",8.5,NA,NA,NA
"Basidiospores 6-8 µm","Hypochnus olivascens_72109_932","Basidiospores","6-8",7,NA,NA,NA
"basidiospores  5-6(-6.5) µm","Hypochnus aurantiacus_72024_810","basidiospores","5-6(-6.5)",6,NA,NA,NA
"Basidiospores 6-7.5 µm","Hypochnus zygodesmoides_72324_911","Basidiospores","6-7.5",6.75,NA,NA,NA
"basidiospores ovoid or broadly ellipsoid, smooth, hyaline, 3-4 x 2-3 µm","Peniophora tomentella_68241_35301","basidiospores","3-4 x 2-3",3.5,2.5,NA,NA
"basidiospores ellipsoid to globose, 3-4.5 x 2.5-3.5 µm,","Grandinia muscicola_69923_12490","basidiospores","3-4.5 x 2.5-3.5",3.75,3,NA,NA
"Basidiospores subglobose to ellipsoid or broadly ovate, smooth, hyaline, negative in Melzer's reagent, 3.5-5.5 x 2.5-3.5 µm.","Grandinia muscicola_69923_44603","Basidiospores","3.5-5.5 x 2.5-3.5",4.5,3,NA,NA
"Basidiospores subglobose to broadly ellipsoid, 3-5 x 2.5-3.5 µm,","Grandinia muscicola_69923_53901","Basidiospores","3-5 x 2.5-3.5",4,3,NA,NA
"Basidiospores cylindrical to slightly allantoid, smooth-walled, hyaline, 5.0-8.0 (-8.5) x (1.5) 2.0-2.5 (-3.0) µm,","Trametes carnea_68988_2020","Basidiospores","5.0-8.0 (-8.5) x (1.5) 2.0-2.5 (-3.0)",8,2.25,NA,NA
"basidiospores ellipsoid with adaxial side, 6.5-8.5 x 4-5 µm,","Peniophora polonensis_414873_12661","basidiospores","6.5-8.5 x 4-5",7.5,4.5,NA,NA
"Basidiospores ellipsoid, variable in shape and size, usually 6.5-9(10) x 4-5 µm,","Peniophora polonensis_414873_49981","Basidiospores","6.5-9(10) x 4-5",9,4.5,NA,NA
"basidiospores  6.5--8.5(-9) µm","Tomentella rubiginosa_72054_817","basidiospores","6.5--8.5(-9)",8.5,NA,NA,NA
"basidiospores narrowly ellipsoid, 3.5-5 x 1.5-2.5 µm,","Serpula serpens_70084_12588","basidiospores","3.5-5 x 1.5-2.5",4.25,2,NA,NA
"basidiospores ellipsoid, adaxially flattened, 4.5-6 x 2.5-3 µm,","Kneiffia sanguinea_70004_11973","basidiospores","4.5-6 x 2.5-3",5.25,2.75,NA,NA
"basidiospores ellipsoid to subcylindrical, 5-6 x 2.5-3 µm,","Kneiffia sanguinea_70004_12445","basidiospores","5-6 x 2.5-3",5.5,2.75,NA,NA
"Basidiospores ellipsoid, 5.5-6(7) x 2.5-3 µm,","Kneiffia sanguinea_70004_51054","Basidiospores","5.5-6(7) x 2.5-3",6,2.75,NA,NA
"Basidiospores 4.5-6 x 1.5-2.3 µm,","Lysurus cruciatus_122170_37127","Basidiospores","4.5-6 x 1.5-2.3",5.25,1.9,NA,NA
"Basidiospores 4-4.5 x 1.5-2 µm,","Lysurus cruciatus_122170_58796","Basidiospores","4-4.5 x 1.5-2",4.25,1.75,NA,NA
"Basidiospores cylindrical to ellipsoid, (3.3-)3.8-4.0(-4.5) x (1.4-)1.7-2.2 µm,","Lysurus cruciatus_122170_65537","Basidiospores","(3.3-)3.8-4.0(-4.5) x (1.4-)1.7-2.2",3.9,1.7,NA,NA
"basidiospores  6-8(-9) µm","Hypochnus atroruber_72032_809","basidiospores","6-8(-9)",8,NA,NA,NA
"Basidiospores 7.5-8.5 µm","Hypochnus atroruber_72032_918","Basidiospores","7.5-8.5",8,NA,NA,NA
"basidiospores  (5-)6-7(-8.5) µm","Hypochnus botryoides_72034_811","basidiospores","(5-)6-7(-8.5)",6.5,NA,NA,NA
"Basidiospores 6-7 µm","Hypochnus botryoides_72034_919","Basidiospores","6-7",6.5,NA,NA,NA
"Basidiospores cylindrical, somewhat curved, 4-4.5(-5) x 1.2-1.5 µm,","Serpula aurea_70076_51125","Basidiospores","4-4.5(-5) x 1.2-1.5",4.5,1.35,NA,NA
"Basidiospores ellipsoid, hyaline. thin-walled, smooth, negative in Melzer's reagent, 2.5-3.5 x 2-3 µm,","Tyromyces semisupinus_29728_43908","Basidiospores","2.5-3.5 x 2-3",3,2.5,NA,NA
"Basidiospores (Fig. 6c) 4.8-6.0 x 2.4-3.2 µm","Lentinula cubensis_70009_7042","Basidiospores",") 4.8-6.0 x 2.4-3.2",5.4,2.8,NA,NA
"Basidiospores 5-7 µm","Hypochnus echinosporus_72170_909","Basidiospores","5-7",6,NA,NA,NA
"Microcharacters-basidiospores olivaceous-brown (4D7-4E7-5E6-5F6) in medium to heavy deposit, 17.5-22.2 x 6.4-8 µm","Boletellus ananas_150626_29341","Microcharacters-basidiospores","17.5-22.2 x 6.4-8",19.85,7.2,NA,NA
"Basidiospores cylindric, slightly curved, 9-12 x 2.5-4 µm.","Melanopus varius_70012_7490","Basidiospores","9-12 x 2.5-4",10.5,3.25,NA,NA
"Basidiospores (fig. 3 ) ovoid, with a rounded or truncate apex, pale brown in KOH, 5.5-6.8 x 8.8-9.5 µm.","Ganoderma australe_11213_4711","Basidiospores","5.5-6.8 x 8.8-9.5",6.15,9.15,NA,NA
"Basidiospores ovoid, pale brown, apiculate, with ganodermoid wall, perisporium at apex often fully expanded in spores from a spore print, otherwise typically collapsed, (11-)11.5-14.3 x 6.7-9 µm","Ganoderma australe_11213_34148","Basidiospores","(11-)11.5-14.3 x 6.7-9",11.5,7.85,NA,NA
"Basidiospores 8.4-12 x 6-7.2 µm,","Ganoderma australe_11213_58050","Basidiospores","8.4-12 x 6-7.2",10.2,6.6,NA,NA
"Basidiospores broadly ellipsoid, thin-walled and smooth, often uniguttulate, hyaline to pale yellow with age and then somewhat thick-walled, 4.5-6 x 3.5-5 µm.","Xanthochrous senex_71365_44955","Basidiospores","4.5-6 x 3.5-5",5.25,4.25,NA,NA
"Basidiospores oblong ellipsoid to cylindrical, thin-walled to slightly thick-walled, hyaline, I KI-, 9-14 x 4.5-6 µm.","Trametes byrsina_69868_45187","Basidiospores","-9-14 x 4.5-6",11.5,5.25,NA,NA
"basidiospores  7-9(-10) µm","Acia crinalis_69766_827","basidiospores","7-9(-10)",9,NA,NA,NA
"Basidiospores 7-8 µm","Acia crinalis_69766_922","Basidiospores","7-8",7.5,NA,NA,NA
"Basidiospores thin-walled, ellipsoid to broad ellipsoid, CB-, IKI-, (6.2-) 7.3-13.4 (-14.4) x (2.9-) 3.1-5.4 (-5.8) µm,","Antrodia serpens_69799_63035","Basidiospores","-(6.2-) 7.3-13.4 (-14.4) x (2.9-) 3.1-5.4 (-5.8)",10.35,4.25,NA,NA
"basidiospores hyaline, even, cylindric, 4.6 x 1.8-2.0 µm.","Hansenia hirsuta_69931_735","basidiospores","4.6 x 1.8-2.0",4.6,1.9,NA,NA
"basidiospores hyaline, even, cylindric, 4.6 x 1.8-2.0;a. Submerged mycelium: (a) hyphae as in advancing zone; (b) in old cultures one to two-celled fragments of hyphae present, less common, thin to slightly thick-walled, often swollen and rounded to irregular in shape, appearing like chlamydospores, 3.0-7.4 µm","Hansenia hirsuta_69931_7311","basidiospores","3.0-7.4",5.2,NA,NA,NA
"Basidiospores cylindric; hyaline, smooth, negative in Melzer' s reagent, 6-9 x 2-2.5 µm.","Hansenia hirsuta_69931_43841","Basidiospores","6-9 x 2-2.5",7.5,2.25,NA,NA
"basidiospores hyaline, even allantoid, 4.0 x 1.5 µm.","Bjerkandera amorpha_69887_708","basidiospores","4.0 x 1.5",4,1.5,NA,NA
"basidiospores hyaline, even, allantoid, guttulate, 3-4 x 1.0-1.5 µm.","Bjerkandera amorpha_69887_7289","basidiospores","3-4 x 1.0-1.5",3.5,1.25,NA,NA
"Basidiospores allantoid, hyaline, smooth, negative in Melzer's reagent, 3-4.5 x 1.3-1.8 µm.","Bjerkandera amorpha_69887_44607","Basidiospores","3-4.5 x 1.3-1.8",3.75,1.55,NA,NA
"Basidiospores cylindric, slightly curved, 6-7 x 2-2.5 µm.","Polyporellus brumalis_36967_7464","Basidiospores","6-7 x 2-2.5",6.5,2.25,NA,NA
"basidiospores hyaline, even, elongate-ellipsoid, slightly curved, 4.5-6.0 x 1.5-2.7 µm.","Fomitopsis rosea_10470_685","basidiospores","4.5-6.0 x 1.5-2.7",5.25,2.1,NA,NA
"Basidiospores elliptical, hyaline, smooth-walled, apiculate, 5.0-12.0 x 2.5-5.0 µm,","Fomitopsis rosea_10470_2024","Basidiospores","5.0-12.0 x 2.5-5.0",8.5,3.75,NA,NA
"basidiospores hyaline, smooth, elongate-ellipsoid, 3.0-4.6 x 1.5-2.0 µm.","Fomitopsis rosea_10470_7395","basidiospores","3.0-4.6 x 1.5-2.0",3.8,1.75,NA,NA
"Basidiospores 4,5-7 x 2-2,8 (av. 5,8 x 2,3) µm,","Fomitopsis rosea_10470_14016","Basidiospores",". 5,8 x 2,3)",5.8,2.3,NA,NA
"Basidiospores subcylindric to slightly ovoid. hyaline, smooth. negative in Melzer's reagent, 5.5-7.5 x 2-2.5 µm.","Fomitopsis rosea_10470_44035","Basidiospores","5.5-7.5 x 2-2.5",6.5,2.25,NA,NA
"basidiospores ovate to ellipsoid, hyaline, finely but distinctly verrucose, negative in Melzer's reagent, 3.5-4.5 x 2.5-3 µm.","Acia farinacea_73378_4463","basidiospores","3.5-4.5 x 2.5-3",4,2.75,NA,NA
"Basidiospores subglobose to broadly ellipsoidal, aculeate, 3.5-4 x 3-3.5 µm","Acia farinacea_73378_4793","Basidiospores","3.5-4 x 3-3.5",3.75,3.25,NA,NA
"basidiospores broadly ellipsoid to ovoid. 3.5-4.5 x 2.5-3.5 µm","Acia farinacea_73378_12502","basidiospores",". 3.5-4.5 x 2.5-3.5",4,3,NA,NA
"Basidiospores subglobose to broadly ellipsoid, 4-5 x 3.5-4 µm,","Acia farinacea_73378_53995","Basidiospores","4-5 x 3.5-4",4.5,3.75,NA,NA
"Basidiospores ellipsoid to cylindrical, flattened on adaxial side, 4-5.5(-8) x (2-)2.5-3 µm,","Corticium galactinum_25267_34294","Basidiospores","4-5.5(-8) x (2-)2.5-3",5.5,2.5,NA,NA
"Basidiospores narrowly ellipsoid to subcylindrical, 4-5.5 x 2-3 µm,","Corticium galactinum_25267_53875","Basidiospores","4-5.5 x 2-3",4.75,2.5,NA,NA
"Basidiospores cylindrical, hyaline. thin-walled, negative in Melzer's reagent, 13-19 x 4-5.5 µm.","Antrodia campestris_69798_44015","Basidiospores","13-19 x 4-5.5",16,4.75,NA,NA
"Basidiospores ellipsoid; hyaline; smooth; thin-walled; amyloid; 2-nucleate; 3.5-6 (-7) x 2.5-3 (-3.5) µm.","Xylobolus frustulosus_70097_19852","Basidiospores","; 3.5-6 (-7) x 2.5-3 (-3.5)",6,3,NA,NA
"Basidiospores ellipsoid, 4.5-5(-6) x 2.5-3.5 µm,","Xylobolus frustulosus_70097_54075","Basidiospores","4.5-5(-6) x 2.5-3.5",5,3,NA,NA
"Basidiospores cylindrical, fusiform, tapering to the apex, usually characteristically bent close to the base, hyaline, smooth, thin-walled, negative in Melzer's reagent, 6-8 x 2.5-3.5 µm.","Piptoporus quercinus_3468_44573","Basidiospores","6-8 x 2.5-3.5",7,3,NA,NA
"Basidiospores 4.5-6 µm","Acia viridis_69779_885","Basidiospores","4.5-6",5.25,NA,NA,NA
"Basidiospores broadly ellipsoid to ovoid, pale to dark yellowish brown, 6-8 x 4.5-5.5 µm.","Inonotus cuticularis_13673_26802","Basidiospores","6-8 x 4.5-5.5",7,5,NA,NA
"Basidiospores ellipsoid, hyaline, smooth, negative in Melzer' s reagent, 4.5-6 x 3-4 µm.","Ischnoderma soloniense_70001_44574","Basidiospores","4.5-6 x 3-4",5.25,3.5,NA,NA
"Basidiospores cylindrical, hyaline, smooth. thin-walled, negative in Melzer's reagent. 5-7 x 1.5-2 µm.","Ischnoderma resinosum_13766_44084","Basidiospores",". 5-7 x 1.5-2",6,1.75,NA,NA
"Basidiospores oblong ellipsoid to subellipsoid, (4.5)6-8(10) x 2.5-3 µm,","Polyporellus grammocephalus_70053_7472","Basidiospores","(4.5)6-8(10) x 2.5-3",7,2.75,NA,NA
"Basidiospores cylindrical to subfusiform, 14-23(-26) x 5-8(-8.7) µm,","Mycobonia flava_79242_70242","Basidiospores","14-23(-26) x 5-8(-8.7)",23,8,NA,NA
"Basidiospores cylindric or short-oblong, hyaline, smooth, negative in Melzer's reagent, 5-7 x 3-3.5 µm.","Acia ferruginosa_69787_4083","Basidiospores","5-7 x 3-3.5",6,3.25,NA,NA
"Basidiospores hyaline, cylindric or short-oblong, smooth, negative in Melzer's reagent, 5-7 x 3-3.5 µm.","Acia ferruginosa_69787_26762","Basidiospores","5-7 x 3-3.5",6,3.25,NA,NA
"Basidiospores cylindric or short-oblong, hyaline, smooth, negative in Melzer' s reagent, 5-7 x 3-3.5 µm.","Acia ferruginosa_69787_44534","Basidiospores","5-7 x 3-3.5",6,3.25,NA,NA
"Basidiospores 5.5-8 (9.3) x 5.5-6.5 (7) µm","Hydnellum aurantiacum_74470_7416","Basidiospores","5.5-8 (9.3) x 5.5-6.5 (7)",8,6.5,NA,NA
"Basidiospores ellipsoid to subglobose, 3.5-4.5 x 2.5-3.5 µm,","Creolophus cirrhatus_7002_49988","Basidiospores","3.5-4.5 x 2.5-3.5",4,3,NA,NA
"Basidiospores subglobose hyaline, becoming thick-walled, dextrinoid in Meltzer's reagent, 6-8 x 5-7 µm.","Ischnoderma dryadeum_69998_26804","Basidiospores","6-8 x 5-7",7,6,NA,NA
"Basidiospores allantoid to cylindrical, hyaline, thin-walled, smooth. negative in Melzer's reagent, 3.5-5.5 x 0.7-1.5 µm.","Bjerkandera dichroa_69889_44065","Basidiospores","3.5-5.5 x 0.7-1.5",4.5,1.1,NA,NA
"Basidiospores cylindric, slightly curved, 9-12 x 2.5-4 µm.","Polyporellus varius_70044_7490","Basidiospores","9-12 x 2.5-4",10.5,3.25,NA,NA
"Basidiospores cylindric, straight or slightly curved, 7-9 x 2.5-3 µm.","Polyporellus arcularius_70035_7461","Basidiospores","7-9 x 2.5-3",8,2.75,NA,NA
"Basidiospores suballantoid, 3.5-5 x 1.5-2 µm,","Acia aurea_69765_51061","Basidiospores","3.5-5 x 1.5-2",4.25,1.75,NA,NA
"Basidiospores subglobose in frontal face, ellipsoid in lateral face, tuberculate, yellowish brown in 3% KOH, cyanophilous CB+, 3.1-4.3 µm","Hydnellum gracilipes_69950_1030","Basidiospores","+3.1-4.3",3.7,NA,NA,NA
"basidiospores broadly ellipsoid, 4.5-5 x (3-)3.5-4 µm,","Acia arguta_69764_12645","basidiospores","4.5-5 x (3-)3.5-4",4.75,3.5,NA,NA
"Basidiospores ellipsoid, 4.5-6 x 3.5-4 µm,","Acia arguta_69764_50850","Basidiospores","4.5-6 x 3.5-4",5.25,3.75,NA,NA
"basidiospores allantoid, 6-7 x 1.5(-2) µm,","Acia alutacea_69763_12644","basidiospores","6-7 x 1.5(-2)",6.5,1.75,NA,NA
"Basidiospores allantoid, 6-8 x 1.5-1.8 µm,","Acia alutacea_69763_48103","Basidiospores","6-8 x 1.5-1.8",7,1.65,NA,NA
"Basidiospores ellipsoid, 5-6 x 3.5-4.5 µm","Acia pinastri_69770_49998","Basidiospores","5-6 x 3.5-4.5",5.5,4,NA,NA
"Basidiospores ellipsoid to subglobose, hyaline to pale brown in old parts of the basidiocarp, 4.5-5 x 3.5-4 µm,","Inoderma nodulosum_69986_26833","Basidiospores","4.5-5 x 3.5-4",4.75,3.75,NA,NA
"Basidiospores hyaline, thin-walled , smooth, cylindric-ellipsoid, apiculate, 5.0-7.5 x 3.5-4.0 µm","Hansenia rubida_69934_4488","Basidiospores","5.0-7.5 x 3.5-4.0",6.25,3.75,NA,NA
"Basidiospores short-cylindric, hyaline, smooth, negative in Melzer's reagent, 4.5-6 x 2.5-3.5 µm.","Bjerkandera adusta_3129_43956","Basidiospores","4.5-6 x 2.5-3.5",5.25,3,NA,NA
"Basidiospores narrowly ellipsoid, with straight sides, 6-7 x 2.5-3.5 µm,","Peniophora mollis_70018_48112","Basidiospores","6-7 x 2.5-3.5",6.5,3,NA,NA
"Basidiospores cylindric, 7-9(10) x 3-4 µm.","Polyporellus melanopus_70046_7475","Basidiospores","7-9(10) x 3-4",9,3.5,NA,NA
"basidiospores subcylindrical to subal­lantoid, 5-6.5 x 2-2.5 µm,","Acia fuscoatra_69768_12462","basidiospores","5-6.5 x 2-2.5",5.75,2.25,NA,NA
"Basidiospores cylindrical, slightly curved, 5-6 x 2-2.5 µm,","Acia fuscoatra_69768_51067","Basidiospores","5-6 x 2-2.5",5.5,2.25,NA,NA
"basidiospores narrowly ellipsoid to cylindrical, 4.5-8 x 2.5-3.5 µm,","Acia bicolor_69778_12476","basidiospores","4.5-8 x 2.5-3.5",6.25,3,NA,NA
"Basidiospores narrowly ellipsoid to cylindrical, slightly curved, 5-8 x 2.5-3.5 µm,","Acia bicolor_69778_51148","Basidiospores","5-8 x 2.5-3.5",6.5,3,NA,NA
"Basidiospores cylindric, hyaline, smooth, negative in Melzer's reagent, 10-12 x 3-4 µm.","Antrodia mollis_31864_44011","Basidiospores","10-12 x 3-4",11,3.5,NA,NA
"Basidiospores cylindric, slightly curved, hyaline, smooth, negative in Melzer' s reagent, 5-6.5 x 2-2.5 µm.","Hansenia versicolor_69937_43847","Basidiospores","5-6.5 x 2-2.5",5.75,2.25,NA,NA
"Basidiospores cylindric to ellipsoid, thin-walled, hyaline, smooth, (7-) 8-10 (-11) x 3-4 µm.","Polyporellus infernalis_70054_4443","Basidiospores","(7-) 8-10 (-11) x 3-4",9,3.5,NA,NA
"Basidiospores subellipsoid to fusiform, 12-15 x 6-8 µm.","Polyporellus radicatus_70059_7481","Basidiospores","12-15 x 6-8",13.5,7,NA,NA
"Basidiospores subglobose to broadly ellipsoidal, ventrally flattened, verrucose with low to medium-sized warts, 3-4 x 2.5-3.5 µm","Acia nivea_73608_4794","Basidiospores","3-4 x 2.5-3.5",3.5,3,NA,NA
"basidiospores broadly ellipsoid to subglobose. adaxially flattened, 3.5-4 x 2.5-3 µm,","Acia nivea_73608_12540","basidiospores","3.5-4 x 2.5-3",3.75,2.75,NA,NA
"Basidiospores broadly ellipsoid to subglobose with a slight curved apiculus, 3.5-4 x 2.5-3 µm,","Acia nivea_73608_54003","Basidiospores","3.5-4 x 2.5-3",3.75,2.75,NA,NA
"Basidiospores cylindric-ellipsoid to ellipsoid, hyaline, smooth. negative in Melzer's reagent, 6-9(11) x 2.5-4 µm.","Creolophus fulgens_69904_44585","Basidiospores","6-9(11) x 2.5-4",9,3.25,NA,NA
"Basidiospores ellipsoid, hyaline to yellowish by age, slightly thick-walled at maturity, 5-6(6.5) x 4-4.5 µm.","Inoderma radiatum_69994_26855","Basidiospores","5-6(6.5) x 4-4.5",6,4.25,NA,NA
"Basidiospores narrowly ellipsoid, hyaline to pale yellow, thin-walled, 5.5-7 x 3-4.5 µm.","Inoderma leporinum_69987_26823","Basidiospores","5.5-7 x 3-4.5",6.25,3.75,NA,NA
"basidiospores from A. areolatum and A. chailletii showed a distinct différence in size. The spores of A. areolatum were within the range 3,6-5,6 x 2-3,2 µm,","Xylobolus areolatus_70096_4616","basidiospores","3,6-5,6 x 2-3,2",4.6,2.6,NA,NA
"basidiospores of A. areolatum are noticably smaller that those of A. chailletii, and the différence can be recognized by visual observation of spore prints without measuring. Storing the basidiospore prints caused the spores to shrink slightly. The length of the basidiospores in fresh prints did not approach the lower limits of the range seen in stored prints. Thus fresh basidiospores were never less than 4 µm","Xylobolus areolatus_70096_4616","basidiospores","4",4,NA,NA,NA
"basidiospores in fresh prints did not approach the lower limits of the range seen in stored prints. Thus fresh basidiospores were never less than 4 µm","Xylobolus areolatus_70096_4616","basidiospores","4",4,NA,NA,NA
"basidiospores were never less than 4 µm","Xylobolus areolatus_70096_4616","basidiospores","4",4,NA,NA,NA
"basidiospores stayed at or above 2,4 µm.","Xylobolus areolatus_70096_4616","basidiospores","2,4",2.4,NA,NA,NA
"basidiospores and always for the average basidiospore size. In stored sporeprints, many spores of A. areolatum conformed to the ratio associated with A. chailletii, i.e. spore length twice the width or longer. However, in average the length was less than two times the width in all cases except one (Table 2). In stored sporeprints of A. chailletii the average basidiospore length was generally twice the width, but some notable exceptions occured (Table 2) which is reflected in the length/width ratio for stored spores (Table 1).  Table 1 Summary of basidiospore sizes (fresh and preserved prints) for A. areolatum and A. chailletii measured in lactophenol. A. areolatum A. chailletii Average, fresh 4,6 x 2,6 µm,","Xylobolus areolatus_70096_4616","basidiospores","4,6 x 2,6",4.6,2.6,NA,NA
"basidiospores were consistently smaller than A. chailletii-spores. A. chailletii spores were more variable in size, although their average length did not vary much. The average spore width of A. chailletii was much more variable than the average spore length . Single basidiospores of A. chailletii might approach the smaller size of A. areolatum spores, but in average (of 25 spores) they were always longer and wider . As a rule, Amylostereum chailletii spores are nearly always 5 µm,","Xylobolus areolatus_70096_4616","basidiospores","5",5,NA,NA,NA
"basidiospores of A. chailletii might approach the smaller size of A. areolatum spores, but in average (of 25 spores) they were always longer and wider . As a rule, Amylostereum chailletii spores are nearly always 5 µm,","Xylobolus areolatus_70096_4616","basidiospores","5",5,NA,NA,NA
"basidiospores hyaline, even, allantoid, 4.5 x 1.5 µm.","Piptoporus betulinus_21844_713","basidiospores","4.5 x 1.5",4.5,1.5,NA,NA
"Basidiospores cylindric, slightly allantoid, hyaline, smooth, negative in Melzer's reagent, 5-6 x 1.5-1.7 µm.","Piptoporus betulinus_21844_44572","Basidiospores","5-6 x 1.5-1.7",5.5,1.6,NA,NA
"Basidiospores allantoid to cylindrical, 5-7 x 2 µm.","Polyporellus ciliatus_70050_7467","Basidiospores","5-7 x 2",6,2,NA,NA
"Basidiospores 8,3-11 x 7-9 (av. 9,6 x 8) µm,","Inonotus hispidus_13687_14018","Basidiospores",". 9,6 x 8)",9.6,8,NA,NA
"Basidiospores brown, becoming thick-walled, subglobose to ovoid, 8-11 x 6-8 µm.","Inonotus hispidus_13687_26819","Basidiospores","8-11 x 6-8",9.5,7,NA,NA
"Basidiospores cylindrical, (8.5)9-12 x 3-3.7 µm.","Inoderma strumosum_69985_45189","Basidiospores","(8.5)9-12 x 3-3.7",9,3.35,NA,NA
"basidiospores hyaline, globose to subglobose, apiculate, uniguttulate, 3.7-4.8 µm","Hansenia zonalis_69936_7336","basidiospores","3.7-4.8",4.25,NA,NA,NA
"Basidiospores 4,5-6 x 4-5 (av. 5 x 4,5) µm,","Hansenia zonalis_69936_14025","Basidiospores",". 5 x 4,5)",5,4.5,NA,NA
"basidiospores hyaline, even, ellipsoid, or oblong, 3.6-4.5 x 2.7 µm.","Bjerkandera fumosa_3139_729","basidiospores","3.6-4.5 x 2.7",4.05,2.7,NA,NA
"Basidiospores short-cylindrical, straight. hyaline, smooth, negative in Melzers reagent, 5.5-7 x 2.5-3.5 µm.","Bjerkandera fumosa_3139_43963","Basidiospores","5.5-7 x 2.5-3.5",6.25,3,NA,NA
"Basidiospores ellipsoid, truncate at the apex, wall with two layers separated by interwall pillars, pale brown, 8-9.5 x 5-6 µm.","Polyporellus annularis_70034_4437","Basidiospores","8-9.5 x 5-6",8.75,5.5,NA,NA
"Basidiospores ellipsoid, truncate at the apex, pale brown in KOH, negative in Melzer's reagent, wall with two layers separated by interwall pillars, 11-14 x 7-8 µm.","Polyporellus annularis_70034_48358","Basidiospores","11-14 x 7-8",12.5,7.5,NA,NA
"Basidiospores hyaline, broadly elliptical or oval, apiculate, thin-walled, smooth, 4.62-6.16 x 2.31-3.85 µm.","Podoscypha elegans_22187_20011","Basidiospores","4.62-6.16 x 2.31-3.85",5.39,3.08,NA,NA
"Basidiospores subellipsoid, 14-17 x 5-6 µm.","Polyporellus squamosus_70064_7483","Basidiospores","14-17 x 5-6",15.5,5.5,NA,NA
"Basidiospores pyriform-pedicellate in face view (resembling the perigynia of some Carex spp.), unilaterally flattened and strongly biumbonate in side view, smooth, lacking germ pores, Moderate Yellow (87) in mass, nearly hyaline singly, unchanging in Melzer's Reagent, 5.3-8.0 x 3.2-4.9 µm","Lepiota rhombospora_124719_13371","Basidiospores","5.3-8.0 x 3.2-4.9",6.65,4.05,NA,NA
"Basidiospores cylindrical; hyaline; smooth; thin-walled; negative in Melzer's; 4-6 x 2-3 µm.","Hymenochaete borealis_72571_19926","Basidiospores","; 4-6 x 2-3",5,2.5,NA,NA
"Basidiospores broadly ellipsoid, hyaline, thin-walled, smooth, usually bearing a large guttule, IKI-, CB-, (4.8-)5-6 x 3.5-4 µm,","Hymenochaete fulva_69963_55133","Basidiospores","-(4.8-)5-6 x 3.5-4",5,3.75,NA,NA
"Basidiospores ellipsoid, 4.5-5.5 x 3.5-4.5 µm,","Auriscalpium vulgare_2928_48180","Basidiospores","4.5-5.5 x 3.5-4.5",5,4,NA,NA
"basidiospores long ellipsoid, hyaline, IKI-, thin walled, 2.2-3 x 1.0-1.5 µm","Polystictus gypseus_70067_4306","basidiospores","2.2-3 x 1.0-1.5",2.6,1.25,NA,NA
"Basidiospores are scanty in most of the Chinese collections and the isotype, they are hyaline, and can sometimes be found only in phase-contrast illumination. The spores are oblong-ellipsoid, (2.5-) 2.6-3(-3.1) x 1.2-1.7(-1.8) µm","Polystictus gypseus_70067_4505","Basidiospores","(2.5-) 2.6-3(-3.1) x 1.2-1.7(-1.8)",2.8,1.7,NA,NA
