"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3","Dim4"
"Basidiospores 7-8 µm","Tomentella crinalis var. umbrinospora_89313_930","Basidiospores","7-8",7.5,NA,NA,NA
"BASIDIOSPORES rust brown, irregularly globose or slightly elongated along one axis, less frequently lobed, aculeolate-echinulate to echinulate, rarely with bifurcate warts, 5.5-9 µm","Tomentella crinalis var. umbrinospora_89313_4530","BASIDIOSPORES","5.5-9",7.25,NA,NA,NA
"Basidiospores (5.5-)6-7.5(-8.5) x (5.5-)6-7(-8) µm","Tomentella crinalis var. umbrinospora_89313_25818","Basidiospores","(5.5-)6-7.5(-8.5) x (5.5-)6-7(-8)",6.75,6.5,NA,NA
"Basidiospores allantoid, 15-20 x 4-5.5(6) µm,","Vuilleminia coryli var. alni_89319_54059","Basidiospores","15-20 x 4-5.5(6)",17.5,5.5,NA,NA
"Basidiospores hyaline, long-ellipsoidal to almost cylindrical, thin-walled, smooth, 5-11 x 3-5 µm,","Laetiporus baudonii_87383_14407","Basidiospores","5-11 x 3-5",8,4,NA,NA
"Basidiospores broadly ellipsoid, smooth, golden yellow, slightly thick-walled, 3-4 x 2-3 µm.","Phylloporia spathulata_87381_44963","Basidiospores","3-4 x 2-3",3.5,2.5,NA,NA
"Basidiospores normally abundantly present, subglobose, hyaline to very pale yellowish, often partly collapsed, thin-to slightly thick-walled, 3-3.5(4) x 3 µm.","Phylloporia pectinata_87382_44950","Basidiospores","3-3.5(4) x 3",3.5,3,NA,NA
"Basidiospores allantoid, hyaline, smooth, negative in Melzer's reagent, 5.5-7 x 2-2.5 µm.","Protomerulius caryae_87385_44582","Basidiospores","5.5-7 x 2-2.5",6.25,2.25,NA,NA
"Basidiospores  11-14 x 8-12 µm","Xerula hispida_209796_23803","Basidiospores","11-14 x 8-12",12.5,10,NA,NA
"Basidiospores allantoid to cylindrical, hyaline, negative in Melzer's reagent, 4-4.5 x 1-1.3 µm.","Antrodiella duracina_87845_4639","Basidiospores","4-4.5 x 1-1.3",4.25,1.15,NA,NA
"Basidiospores ellipsoid, hyaline, smooth, negative in Melzer's reagent, 4-4.5 x 2 µm.","Diplomitoporus costaricensis_87800_4644","Basidiospores","4-4.5 x 2",4.25,2,NA,NA
"Basidiospores subglobose to broadly ellipsoid, hyaline, smooth, thinwalled, many with oil drops, negative in Melzer's reagent, 2-3 x 2.5-4 µm.","Hapalopilus tropicus_87806_4646","Basidiospores","2-3 x 2.5-4",2.5,3.25,NA,NA
"Basidiospores oblong ellipsoid, hyaline with large shiny oil drop, negative in Melzer's reagent, 4-5 x 3-3.5 µm.","Inonotus xanthoporus_87807_4649","Basidiospores","4-5 x 3-3.5",4.5,3.25,NA,NA
"Basidiospores ellipsoid to subglobose, hyaline, smooth, thin-walled, negative in Melzer's reagent, 2.5-3 x 2-2.5 µm.","Junghuhnia minuta_87801_4651","Basidiospores","2.5-3 x 2-2.5",2.75,2.25,NA,NA
"Basidiospores ellipsoid to subglobose, hyaline, smooth, thin-walled, negative in Melzer's reagent, 2.5-3 x 2-2.5 µm.","Junghuhnia neotropica_87802_4653","Basidiospores","2.5-3 x 2-2.5",2.75,2.25,NA,NA
"Basidiospores globose, hyaline, thin-walled, negative in Melzer's reagent, 3-4 µm","Rigidoporus mutabilis_87804_4656","Basidiospores","3-4",3.5,NA,NA,NA
"Basidiospores cylindric to oblong ellipsoid, hyaline, negative in Melzer's reagent, 4.5-5 x 2-2.5 µm.","Trametes cystidiata_87808_4658","Basidiospores","4.5-5 x 2-2.5",4.75,2.25,NA,NA
"Basidiospores globose, hyaline, very finely asperulate, thin-walled, amyloid, 3-3.5 µm","Wrightoporia efibulata_87803_4660","Basidiospores","3-3.5",3.25,NA,NA,NA
"Basidiospores globose, hyaline, very finely asperulate, thin-walled, amyloid, 33.5 µm","Wrightoporia efibulata_87803_33566","Basidiospores","33.5",33.5,NA,NA,NA
"Basidiospores broadly ellipsoid to subglobose, slightly asperulate, thin-to slightly thickwalled, 3-3.5 x 2.5 µm,","Wrightoporia bracei_87853_33561","Basidiospores","3-3.5 x 2.5",3.25,2.5,NA,NA
"Basidiospores ellipsoid, hyaline, smooth, negative in Melzer's reagent, 3.5-4 (4.3) x 2.5-3 µm.","Antrodiella reflexa_87797_4661","Basidiospores","3.5-4 (4.3) x 2.5-3",4,2.75,NA,NA
"Basidiospores ellipsoid to subglobose, hyaline, smooth, thin-walled, negative in Melzer's reagent, 5-6 x 4-4.5 µm.","Macrohyporia pileata_87798_4663","Basidiospores","5-6 x 4-4.5",5.5,4.25,NA,NA
"Basidiospores cylindrical, hyaline, thin-walled and negative in Melzer's reagent, (10-)12-16 x 5-7 µm.","Dichomitus cavernulosus_87877_32374","Basidiospores","(10-)12-16 x 5-7",12,6,NA,NA
"Basidiospores cylindrical, 15-17 x 5-7 µm,","Dichomitus citricremeus_87834_32377","Basidiospores","15-17 x 5-7",16,6,NA,NA
"Basidiospores first ellipsoid, then cylindrical and 18-20 x 5-6 µm,","Dichomitus delicatulus_87862_32379","Basidiospores","18-20 x 5-6",19,5.5,NA,NA
"Basidiospores broadly cylindrical, 20-24 x 6.5-9 µm,","Dichomitus kirkii_87839_32381","Basidiospores","20-24 x 6.5-9",22,7.75,NA,NA
"Basidiospores cy1indric, apiculated, hyaline, with large oil drops, thin walled, 10-14,0 x 4,2-5,7 µm,","Dichomitus setulosus_87861_3773","Basidiospores","10-14,0 x 4,2-5,7",12,4.95,NA,NA
"Basidiospores cylindrical to oblong ellipsoid, length rather variable even in the same collection, 11-17 x 4-6 µm,","Dichomitus setulosus_87861_32383","Basidiospores","11-17 x 4-6",14,5,NA,NA
"Basidiospores ellipsoid to slightly ovoid, with a truncate apex, apiculate, thick-walled, with a apical ""germ pore"", hyaline, cyanophilic, not to slightly dextrinoid, (3.8)-4.2-5.8-(6.5) x (3.0)-3.2-4.2-(4.7) µm","Perenniporia xantha_87667_649","Basidiospores","(3.8)-4.2-5.8-(6.5) x (3.0)-3.2-4.2-(4.7)",5,3.7,NA,NA
"Basidiospores sub-globose to broadly ovoid, apicaly truncate, thick-walled with an apical ""germ pore"", hyaline, dextrinoid, cyanophilic, (5)-5.5-7.0-(7.0) x (4.0)-4.1-5.9-(6.1) µm,","Perenniporia chromatica_87668_647","Basidiospores","(5)-5.5-7.0-(7.0) x (4.0)-4.1-5.9-(6.1)",6.25,5,NA,NA
"Basidiospores hyaline, thin-walled, smooth, IkI-, cylindric to fusoidcylindric, to navicular 7-8.4 x 2-2.2 µm","Fomitopsis labyrinthica_87796_5216","Basidiospores","7-8.4 x 2-2.2",7.7,2.1,NA,NA
