"taxon","simplified_disease","simplified_disease_1","simplified_disease_2"
"Schiffnerula braunii","black mildew","black_mildew","black_mildew"
"Schiffnerula brideliae","black mildew","black_mildew","black_mildew"
"Schiffnerula camelliae","black mildew","black_mildew","black_mildew"
"Schiffnerula canthii","black mildew","black_mildew","black_mildew"
"Schiffnerula cassiae","black mildew","black_mildew","black_mildew"
"Schiffnerula catharanthi","black mildew","black_mildew","black_mildew"
"Schiffnerula celastri","black mildew","black_mildew","black_mildew"
"Schiffnerula cryptolepidis","black mildew","black_mildew","black_mildew"
"Schiffnerula ecliptae","black mildew","black_mildew","black_mildew"
"Schiffnerula fici","black mildew","black_mildew","black_mildew"
"Schiffnerula girijae","black mildew","black_mildew","black_mildew"
"Schiffnerula glochidii","black mildew","black_mildew","black_mildew"
"Schiffnerula hughesii","black mildew","black_mildew","black_mildew"
"Schiffnerula lagerstroemiae","black mildew","black_mildew","black_mildew"
"Schiffnerula meliosmatis","black mildew","black_mildew","black_mildew"
"Schiffnerula palodensis","black mildew","black_mildew","black_mildew"
"Schiffnerula ricini","black mildew","black_mildew","black_mildew"
"Schiffnerula spilanthi","black mildew","black_mildew","black_mildew"
"Schiffnerula tectonae","black mildew","black_mildew","black_mildew"
"Schiffnerula terminaliae","black mildew","black_mildew","black_mildew"
"Schiffnerula theissenii","black mildew","black_mildew","black_mildew"
"Schiffnerula triumfetticola","black mildew","black_mildew","black_mildew"
"Schiffnerula vernoniae","black mildew","black_mildew","black_mildew"
"Schiffnerula wedeliae","black mildew","black_mildew","black_mildew"
"Schiffnerula ziziphi","black mildew","black_mildew","black_mildew"
"Sporidesmium arengae","black mildew","black_mildew","black_mildew"
"Batistinula gallesiae","black mildew; superficial","black_mildew","black_mildew"
"Appendiculella eupatorii","black mildew: a weak pathogen","black_mildew","black_mildew"
"Meliola mutisiae","black mildew: a weak pathogen","black_mildew","black_mildew"
"Gyrocerus celtidis","dark mildew","black_mildew","black_mildew"
"Helicoceras celtidis","dark mildew","black_mildew","black_mildew"
