Species,spore_type,Primers.name,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Abundisporus_fuscopurpureus,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,NA,0.31075865699864064,0.3010299956639812,7,422,24.65659721881624,2563.3690476190486,50.150598824800156,28.76582270819237,18871.21428571427,2.480000027588436,345.82991966186694,2.224977798219271,294.13961103602315,14.597206356912356,8.614956576189753,1144.5747338765527,0.2490426052427471,5224849.030936507,0.26124245154682535,387374847591.5286,0.0026116449414905585
Abundisporus_fuscopurpureus,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,NA,0.31075865699864064,0.3010299956639812,4,659.5,21.433142404423798,2830.9541666666673,259.69252244284024,77.62731887646217,23448.4375,1.6583749905228624,414.95742753524326,2.0212904291775424,209.5965796012814,12.589322451970459,2.567029055680606,71.01830016505136,0.2351550482617238,112061.26270595643,0.005603063135297822,1509969374.694158,1.0180072102626362e-5
Abundisporus_fuscopurpureus,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,NA,0.31075865699864064,0.3010299956639812,8,923.125,21.897482669187912,3036.385416666666,105.24729628698634,36.550937375511666,19638.125,2.0018749907612805,833.7369296469617,4.61333549458697,769.4571781992432,132.5444028636684,22.632026025585102,1790.8402645614656,0.6312985483532899,7629963.521600767,0.38149817608003833,1573416078705.027,0.010607823838740522
Abundisporus_pubertatis,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,NA,1.3016300618001266,0.15126767533064914,2,895.5,20.39375000695385,2627,264.255276020835,83.93768806494865,23428.25,1.5412500053644198,258.0939751330898,0.8558939019010569,70.35712472806148,9.750706822233186,4.837526244280386,91.21677477306463,0.037123133829209835,NA,NA,NA,NA
Abundisporus_pubertatis,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA,NA,1.3016300618001266,0.15126767533064914,17,628.1176470588235,5.16960786085065,928.9088235294117,1223.022797194152,97.79788768812244,20079.814705882352,0.13164705826955722,149.76643580628354,1.6731309502810534,291.89656945745253,106.92709131522192,14.152215169513266,522.508035453973,0.0823171772528226,1256163.2242779087,0.06280816121389543,NA,NA
Acanthobasidium_delicatum,Meiospores,ITS1F/ITS4,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,2.615249184772128,0.27106677228653797,1,614,11.6319444254041,1428.33333333333,398.548101628321,23.0627327665436,24638.8333333333,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthobasidium_penicillatum,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,3.4136038212440587,0.10424239402918742,1,77,26.3250000476837,2622.25,69.995735320361,62.2125120105559,22562.25,2.6049998998642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthophysellum_lividocoeruleum,Meiospores,ITS1F/ITS2,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,1.6821959744027415,0.3010299956639812,1,127,26.3510416944822,2472.25,74.5472563703277,62.9730519696723,22682,2.59249991178513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthophysellum_lividocoeruleum,Meiospores,ITS3/ITS4,Basidiomycota,Agaricomycetes,Russulales,NA,NA,NA,NA,1.6821959744027415,0.3010299956639812,2,1053.5,3.74895832116405,534.6,823.3105306520636,30.1944136174658,21238.25,0.2908333266774815,6.363961030678928,0.010311972136180566,0.8485281374238892,1.1563859142228023,0.01042236864287136,1.7677669529663689,0.0011785136902988248,NA,NA,NA,NA
Acaulium_acremonium,Mitospores,ITS1F/ITS4,Ascomycota,Sordariomycetes,Microascales,NA,NA,NA,NA,2.241116686457203,0.3010299956639812,2,1390,5.166180535317915,699.2166666666665,643.3127874251729,33.64591203674315,23005.61666666665,0.351999993622303,830.1433611130068,4.503582701242039,164.59088843418894,129.3435667178269,4.620191429474021,3105.9193959098056,0.13859292127324943,NA,NA,NA,NA
Acaulium_acremonium,Mitospores,ITS3/ITS4,Ascomycota,Sordariomycetes,Microascales,NA,NA,NA,NA,2.241116686457203,0.3010299956639812,135,212.5185185185185,13.328015964380112,619.5020987654322,1021.6853436609031,98.47664758819319,22241.8875308642,0.32097407326378213,779.6018200266298,3.483657155591748,157.9282537056964,72.89404569628192,18.171564686504766,1337.9434963427868,0.08269234336497515,5782114.623346089,0.2891057311673045,467388978690.3368,0.0031510927193501926
Acaulospora_alpina,Azygospores,ITS1F/ITS4,Glomeromycota,Glomeromycetes,Diversisporales,Arbuscular Mycorrhizal,Plant,Plant-AM,yes,5.344182412485591,0,4,2023,3.0250000061312052,852.375,565.5658898759838,32.13989676190605,21197.575,0.2800416705509025,129.12268068262318,0.8167641228065634,83.91203231162183,9.969303780000265,0.8642936888668914,410.91620789088273,0.01644878536731034,30286.630655131532,0.0015143315327565765,363239720.3539081,2.4489281741158532e-6
