"clade","species","value"
"eudicots","Aeschynomene sensitiva var. sensitiva",6.075
"eudicots","Aeschynomene sensitiva Sw.",8.733
"eudicots","Aeschynomene tambacoundensis Berhaut",9.296
"eudicots","Aesculus californica (Spach.) Nutt.",36756.68
"eudicots","Aesculus glabra var. glabra",7975.28
"eudicots","Aesculus glabra var. arguta (Buckley) B.L.Rob.",11351.9
"eudicots","Aesculus glabra Willd.",6701
"eudicots","Aesculus hippocastanum L.",12976
"eudicots","Aesculus indica (Wall. ex Cambess.) Hook.",23994
"eudicots","Aesculus octandra Marshall",12530.9
"eudicots","Aesculus pavia L.",4346.66
"eudicots","Aesculus sylvatica Bartram",11351.9
"eudicots","Aesculus turbinata Bl.",9304
"eudicots","Aethionema arabicum (L.) A.DC.",0.3248
"eudicots","Aethionema carneum (Banks & Sol.) B.Fedts.",0.3214
"eudicots","Aethionema cordatum Boiss.",3.068
"eudicots","Aethionema cordifolium DC.",2.5244
"eudicots","Aethionema heterocarpum J.Gay",0.5372
"eudicots","Aethionema oppositifolium (Pers.) Boiss.",1.8712
"eudicots","Aethionema saxatile (L.) R.Br.",0.4676
"eudicots","Aethusa cynapium L. subsp. elata (Hoffm.) Schübl. & G.Martens",0.992
"eudicots","Aethusa cynapium L.",1.57
"eudicots","Aextoxicon punctatum Ruiz & Pavon",280.9
"eudicots","Afraegle paniculata (Schumach. & Thonn.) Engl.",240.44
"eudicots","Afrocarum imbricatum (Schinz) Rauschert",0.5664
"eudicots","Afroligusticum aculeolatum (Engl.) P.J.D.Winter",7.35816
"eudicots","Afroligusticum claessensii (C.Norman) P.J.D.Winter",7.754
"eudicots","Afzelia africana Sm.",2573
"eudicots","Afzelia quanzensis Welw.",6802
"eudicots","Afzelia xylocarpa (Kurz) Craib",5556
"eudicots","Agalinis aphylla (Nutt.) Raf.",0.1136
"eudicots","Agalinis aspera (Douglas ex Benth.) Britton",0.2404
"eudicots","Agalinis densiflora (Benth.) S.F.Blake",0.966
"eudicots","Agalinis edwardsiana Pennell",0.0344
"eudicots","Agalinis fasciculata (Elliot) Raf.",0.0516
"eudicots","Agalinis heterophylla (Nutt.) Small ex Britton",0.1168
"eudicots","Agalinis maritima (Raf.) Raf.",0.0668
"eudicots","Agalinis paupercula (A.Gray) Britton",0.07408
"eudicots","Agalinis purpurea (L.) Pennell",0.0712
"eudicots","Agalinis tenuifolia (Vahl) Raf.",0.048
"eudicots","Aganope thyrsiflora (Benth.) Polh.",480
"eudicots","Agarista buxifolia (Comm. ex Lam.) G.Don",0.0496
"eudicots","Agarista mexicana (Hemsl.) Judd var. mexicana",0.2116
"eudicots","Agarista salicifolia (Comm. ex Lam.) G.Don",0.07
"eudicots","Agarista salicifolia (Comm. ex Lam.) G.Don var. salicifolia",0.038
"eudicots","Agarista salicifolia (Comm. ex Lam.) G.Don var. buxifolia (Comm. ex Lam.) Sleumer",0.15856
"eudicots","Agastache foeniculum (Pursh) Kuntze",0.3
"eudicots","Agastache micrantha (A. Gray) Wooton & Standl.",0.0944
"eudicots","Agastache nepetoides (L.) Kuntze",0.335
"eudicots","Agastache palmeri (B.L.Rob.) Standl.",0.4748
"eudicots","Agastache palmeri (B.L.Rob.) Standl. var. palmeri",0.390106
"eudicots","Agastache rugosa (Fisch. & C.A.Mey.) Kuntze",0.4848
"eudicots","Agastache scrophulariifolia (Willd.) Kuntze",0.4672
"eudicots","Agastache urticifolia (Benth.) Kuntze",0.5
"eudicots","Agastachys odorata R.Br.",1.2444
"eudicots","Agathisanthemum bojeri Klotzsch",0.017
"eudicots","Agathisanthemum globosum (Hochst. ex A.Rich.) Klotzsch",0.1492
"eudicots","Agathophora alopecuroides (Moq.) Bunge",0.404
"eudicots","Agathosma aemula Schltr.",0.968
"eudicots","Agathosma apiculata E.Mey. ex Bartl. & H.L.Wendl.",3.536
"eudicots","Agathosma betulina (P.J.Bergius) Pillans",12.1283019
"eudicots","Agathosma bisulca (Thunb.) Bartl. & H.L. Wendl.",2.2112
"eudicots","Agathosma capensis (L.) Dümmer",2.364
"eudicots","Agathosma ciliaris (L.) Druce",3.2092
"eudicots","Agathosma corymbosa (Montin) G.Don",1.3475352
"eudicots","Agathosma crenulata Pillans",11.02204
"eudicots","Agathosma distans Pillans",7.9014793
"eudicots","Agathosma foetidissima (Bartl. & H.L.Wendl.) Steud.",0.8756
"eudicots","Agathosma imbricata Willd.",10.566116
"eudicots","Agathosma mucronulata Sond.",3.886
"eudicots","Agathosma orbicularis (Thunb.) Bartl. & H.L.Wendl.",1.176
"eudicots","Agathosma ovata (Thunb.) Pillans",6.8596
"eudicots","Agathosma serpyllacea Licht. ex Roem. & Schult.",2.5476
"eudicots","Agathosma spinescens Dümmer",5.082
"eudicots","Agathosma stenopetala (Steud.) Steud.",1.4316
"eudicots","Agathosma tabularis Sond.",1.56
"eudicots","Agelaea pentagyna (Lam.) Baill.",500
"eudicots","Ageratina adenophora (Spreng.) R.M.King & H.Rob.",0.055
"eudicots","Ageratina altissima (L.) R.M.King & H.Rob.",0.1668
"eudicots","Ageratina areolaris (DC.) Gage ex B.L.Turner",0.075
"eudicots","Ageratina aromatica (L.) Spach",0.2248
"eudicots","Ageratina brandegeeana (B.L.Rob.) R.M.King & H.Rob.",0.2872
"eudicots","Ageratina brevipes (DC.) R.M.King & H.Rob.",2.937
"eudicots","Ageratina bustamenta (DC.) R.M.King & H.Rob.",0.0816
"eudicots","Ageratina calaminthifolia",0.1788
"eudicots","Ageratina espinosarum (A.Gray) R.M.King & H.Rob.",0.27
"eudicots","Ageratina glechonophylla (Less.) R.M.King & H.Rob.",0.1625
"eudicots","Ageratina havanensis (Kunth) R.M.King & H.Rob.",0.2616
"eudicots","Ageratina hebes (B.L.Rob.) R.M.King & H.Rob.",0.90596
"eudicots","Ageratina herbacea (A.Gray) R.M.King & H.Rob.",0.286
"eudicots","Ageratina ligustrina (DC.) R.M.King & H.Rob.",0.1872
"eudicots","Ageratina mairetiana (DC.) R.M.King & H.Rob.",0.417
"eudicots","Ageratina occidentalis (Hook.) R.M.King & H.Rob.",0.197
"eudicots","Ageratina pazcuarensis (Kunth) R.M.King & H.Rob.",0.0612
"eudicots","Ageratina petiolaris (Moc. ex DC.) R.M.King & H.Rob.",0.21
"eudicots","Ageratina scorodonioides (A.Gray) R.M.King & H.Rob.",0.1308
"eudicots","Ageratinastrum polyphyllum (Baker) Mattf.",0.584
"eudicots","Ageratum conyzoides subsp. conyzoides",0.1476
"eudicots","Ageratum conyzoides L.",0.11
"eudicots","Ageratum corymbosum Zuccagni",0.25
"eudicots","Ageratum houstonianum var. houstonianum",0.1448
"eudicots","Ageratum houstonianum Mill.",0.1
"eudicots","Ageratum mexicanum subsp. nana",0.12
"eudicots","Ageratum mexicanum Sims",0.14
"eudicots","Ageratum paleaceum (Gay ex DC.) Hemsl.",0.3116
"eudicots","Ageratum tehuacanum R.M.King & H.Robert",0.1612
"eudicots","Ageratum tomentosum f. bracteatum M.F. Johnson",0.1444
"eudicots","Ageratum tomentosum (Benth.) Hemsl.",0.118
"eudicots","Aglaia elaeagnoidea (A.Juss.) Benth.",454.55
"eudicots","Aglaia pachyphylla Miq.",2700
"eudicots","Aglaia sapindina Harms",246
"eudicots","Aglaia tomentosa Teijsm. & Binn.",298
"eudicots","Agonandra obtusifolia Standl. subsp. conzattii (Standl.) Hiepko",279.29
"eudicots","Agonandra sp.",2250
"eudicots","Agonis baxteri",0.7216
"eudicots","Agonis flexuosa var. flexuosa",0.3956
"eudicots","Agonis flexuosa (Muhl. ex Wild.)",119.07
"eudicots","Agonis theiformis Schauer",0.6564
"eudicots","Agoseris apargioides (Less.) Greene",0.6
"eudicots","Agoseris aurantiaca (Hook.) Greene",1.613
"eudicots","Agoseris aurantiaca (Hook.) Greene var. aurantica",1.4984
"eudicots","Agoseris coronopifolium (D'Urv.) Chambers ex D.M.Moore",0.6
"eudicots","Agoseris cuspidata (Pursh) Steud.",2.09
"eudicots","Agoseris glauca var. dasycephala (Torr. & A.Gray) Jeps.",1.3492
"eudicots","Agoseris glauca (Pursh) Raf.",1.534
"eudicots","Agoseris grandiflora (Nutt.) Greene",1.232
"eudicots","Agoseris heterophylla (Nutt.) Greene",0.73
"eudicots","Agoseris retrorsa (Benth.) Greene",1.84
"eudicots","Agrimonia eupatoria L.",14
"eudicots","Agrimonia gryposepala Wallr.",19.1
"eudicots","Agrimonia parviflora Aiton",7.176
"eudicots","Agrimonia procera Wallr.",38.216
"eudicots","Agrimonia pubescens Wallr.",11.2124
"eudicots","Agrocharis incognita (Norman) Heywood & Jury",3.687
"eudicots","Agrostemma githago L.",11.7
"eudicots","Aichryson bollei Webb ex Bolle",0.019
"eudicots","Aichryson dumosum (Lowe) Praeger",0.0396
"eudicots","Aichryson laxum (Haw.) Bramwell",0.0113
"eudicots","Aichryson punctatum Webb & Berthel.",0.0088
"eudicots","Aidia micrantha (K.Schum.) Bullock ex F.White var. msonju (K. Krause) E.M.A.Petit",113.372403
"eudicots","Ailanthus altissima (Mill.) Swingle",29.4
"eudicots","Ailanthus excelsa Roxb.",89
"eudicots","Ailanthus grandis Prain",555.56
"eudicots","Ailanthus malabarica DC.",77
"eudicots","Ailanthus peregrina (Buc'hoz) F.A.Barkley",26.04
"eudicots","Ainsliaea spicata Vaniot",0.856
"eudicots","Aizoanthemum dinteri Friedr.",13.59
"eudicots","Aizoanthemum galenioides Friedr.",0.07152
"eudicots","Aizoanthemum hispanicum (L.) H.E.K.Hartmann",7.9221
"eudicots","Aizoanthemum rehmannii (Schinz) H.E.K.Hartmann",0.08268
"eudicots","Aizoon canariense L.",6.053
"eudicots","Aizoon hispanicum L.",0.127
"eudicots","Aizoon paniculatum L.",0.5344
"eudicots","Aizoon rigidum L.f.",0.297
"eudicots","Aizoon virgatum Welw. ex Oliv.",4.4276
"eudicots","Ajuga australis R.Br.",3.733
"eudicots","Ajuga chamaepitys (L.) Schreb. subsp. chamaepitys",1.766
"eudicots","Ajuga chamaepitys (L.) Schreb. subsp. chia (Schreb.) Arcang.",1.8
"eudicots","Ajuga chamaepitys (L.) Schreb. subsp. libanotica P.H.Davis",1.6068
"eudicots","Ajuga chamaepitys (L.) Schreb.",1.316
"eudicots","Ajuga chia (Poir.) Schreb.",1.7
"eudicots","Ajuga genevensis L.",1.5672
"eudicots","Ajuga integrifolia Buch.-Ham.",1.9592
"eudicots","Ajuga iva (L.) Schreb.",1.4
"eudicots","Ajuga orientalis L.",2.392
"eudicots","Ajuga pyramidalis L.",1.45
"eudicots","Ajuga reptans L.",1.4
"eudicots","Ajuga salicifolia (L.) Schreb.",3.0576
"eudicots","Ajuga sinuata R.Br.",1.7772
"eudicots","Ajuga sp.",1.33
"eudicots","Akebia quinata (Houtt.) Decne.",20.5
"eudicots","Akebia trifoliata (Thunb.) Koidz.",17.5
"eudicots","Alangium ridleyi King",580
"eudicots","Alantsilodendron decaryanum (R.Vig.) Villiers",10.142
"eudicots","Alantsilodendron alluaudianum (R.Vig.) J.-F.Villiers",14.0408
"eudicots","Alantsilodendron pilosum Villiers",27.0948
"eudicots","Alberta magna E.Mey.",23.31
"eudicots","Alberta minor Baill.",4.096
"eudicots","Albizia adianthifolia (Schum.) W.Wight",67.562
"eudicots","Albizia amara subsp. sericocephala",112.4676
"eudicots","Albizia amara (Roxb.) Boivin",68.7
"eudicots","Albizia anthelmintica Brongn.",136
"eudicots","Albizia antunesiana Harms",75.5716
"eudicots","Albizia arenicola R.Vig.",405.1
"eudicots","Albizia atakataka Capuron",131.188
"eudicots","Albizia aurisparsa R.Vig.",83.64
"eudicots","Albizia balabaka Capuron",61.2628
"eudicots","Albizia bernieri Villiers",102.629
"eudicots","Albizia boinensis R.Vig.",226.1536
"eudicots","Albizia boivinii E. Fourn.",146.66
"eudicots","Albizia bracteata Dunn",123.4996
"eudicots","Albizia brevifolia Schinz",122.60488
"eudicots","Albizia canescens Benth.",160.8156
"eudicots","Albizia chevalieri Harms",69.6
"eudicots","Albizia chinensis (Osb.) Merr.",30
"eudicots","Albizia commiphoroides Capuron",71.7748
"eudicots","Albizia coriaria Oliv.",95.4472
"eudicots","Albizia divaricata Capuron",198.76
"eudicots","Albizia ferruginea (Guill. & Perrott) Benth.",105
"eudicots","Albizia forbesii Benth.",161.5462
"eudicots","Albizia glaberrima (Schumach. & Thonn.) Benth. var. glaberrima",150.0066038
"eudicots","Albizia glaberrima (Schumach. & Thonn.) Benth. var. glabrescens (Oliv.) Brenan",85.6555844
"eudicots","Albizia greveana (Baill.) R.Baron",160.0072
"eudicots","Albizia guachapele (Humb., Bonpl. & Kunth) Dugand",32
"eudicots","Albizia gummifera (J.F.Gmel.) C.A.Sm",67.386
"eudicots","Albizia harveyi E.Fourn.",87
"eudicots","Albizia inundata (Mart.) Barneby & J.W.Grimes",54.7028
"eudicots","Albizia julibrissin var. mollis",38.2192
"eudicots","Albizia julibrissin Durazz.",37
"eudicots","Albizia lebbeck (L.) Benth.",123
"eudicots","Albizia lophantha (Willd.) Benth.",46
"eudicots","Albizia mahalao Capuron",67.232
"eudicots","Albizia masikororum R.Vig.",335.77
"eudicots","Albizia moluccana Miq.",25.6
"eudicots","Albizia niopoides (Spuce ex Benth.) Burkart",25
"eudicots","Albizia odorata R. Vig.",228.0628
"eudicots","Albizia odoratissima (L.f.) Benth.",71.3
"eudicots","Albizia petersiana (Bolle) Oliv.",125
"eudicots","Albizia polyphylla E.Fourn.",50.119
"eudicots","Albizia procera (Roxb.) Benth.",36
"eudicots","Albizia saman (Jacq.) Merr.",178.396
"eudicots","Albizia schimperiana Oliv.",113
"eudicots","Albizia tanganyicensis Baker f.",226
"eudicots","Albizia tomentosa (Micheli) Standl.",29.546
"eudicots","Albizia tulearensis R.Vig.",92.29
"eudicots","Albizia versicolor Welw. ex Oliv.",117.83
"eudicots","Albizia viridis E.Fourn. var. viridis",133.5884
"eudicots","Alcea acaulis (Cav.) Alef.",17.4
"eudicots","Alcea digitata Alef.",13.5912
"eudicots","Alcea dissecta (Baker f.) Zohary",10.5
"eudicots","Alcea kurdica (Schltr.) Alef.",12.3612
"eudicots","Alcea lineariloba I.Riedl",3.36
"eudicots","Alcea nudiflora (Lindl.) Boiss.",7.3561
"eudicots","Alcea pallida (Waldst. & Kit. ex Willd.) Waldst. & Kit.",6.7
"eudicots","Alcea rosea L.",9.5
"eudicots","Alcea rugosa Alef.",5.7184
"eudicots","Alcea setosa (Boiff.) Alef.",12.3
"eudicots","Alcea sosnovskyi Iljin",5.6884
"eudicots","Alcea striata subsp. rufescens",15.36
"eudicots","Alcea striata (DC.) Alef.",14.4245
"eudicots","Alchemilla acutiloba Opiz",0.3712
"eudicots","Alchemilla alpina L.",0.4404
"eudicots","Alchemilla erythropoda Juz.",0.46
"eudicots","Alchemilla filicaulis subsp. vestita (Buser) M.E.Bradshaw",0.4432
"eudicots","Alchemilla fluminea Frohner",0.22
"eudicots","Alchemilla glabra Neygenf.",0.51
"eudicots","Alchemilla glaucescens Wallr.",0.46
"eudicots","Alchemilla kiwuensis Engl.",0.3584
"eudicots","Alchemilla micans Buser",0.576
"eudicots","Alchemilla monticola Opiz",0.5004
"eudicots","Alchemilla pinnata Ruiz & Pav.",0.2
"eudicots","Alchemilla plicatula Gand.",0.5076
"eudicots","Alchemilla retropilosa Juz.",0.5508475
"eudicots","Alchemilla sericata Rchb.",0.37
"eudicots","Alchemilla sp.",0.46
"eudicots","Alchemilla vestita (Buser) Raunk.",0.47
"eudicots","Alchemilla xanthochlora Rothm.",0.4476
"eudicots","Alchornea alnifolia (Bojer ex Baill.) Pax & K.Hoffm.",37.6324
"eudicots","Alchornea cordifolia (Schumach. & Thonn.) Müll.Arg.",53
"eudicots","Alchornea costaricensis Pax & K.Hoffm.",37
"eudicots","Alchornea humbertii Leandri",19.312
"eudicots","Alchornea ilicifolia (J.Sm.) Müll.Arg.",19.5
"eudicots","Alchornea latifolia Sw.",34
"eudicots","Alchornea perrieri Leandri",26.0616
"eudicots","Aldama dentata La Llave var. dentata",1.156
"eudicots","Aldina latifolia Spruce ex Benth.",69355
"eudicots","Alectra avensis (Benth.) Merr.",8e-04
"eudicots","Alectra ibityensis Eb. Fisch.",0.0172
"eudicots","Alectra orobanchoides Benth.",0.0112
"eudicots","Alectra pseudobarleriae Dinter",0.1506
"eudicots","Alectra rigida (Hiern) Hemsl. subsp. paludosa (A.Chev.) Hepper",0.0304
"eudicots","Alectra sessiliflora (Vahl) Kuntze",0.007
"eudicots","Alectra sessiliflora (Vahl) Kuntze var. sessilifolia",0.0046
"eudicots","Alectra vogelii Benth.",3e-04
"eudicots","Alectryon connatus (F.Muell.) Radlk.",26.23
"eudicots","Alectryon excelsus Gaertn.",201
"eudicots","Alectryon oleifolius subsp. canescens S.T.Reynolds",50.762
"eudicots","Alectryon oleifolius (Desf.) S.T.Reynolds",65.522
"eudicots","Alectryon semicinereus (F.Muell.) Radlk.",48.16
"eudicots","Alectryon subcinereus (A.Gray) Radlk.",104.9606061
"eudicots","Alectryon tomentosus (F.Muell.) Radlk.",33.89
"eudicots","Alepidea cordifolia B.-E.van Wyk",2.2912
"eudicots","Alepidea peduncularis A.Rich.",0.8312
"eudicots","Aleurites fordii Hemsl.",1136
"eudicots","Aleurites moluccana var. rockinghamens Baill.",2748.41
"eudicots","Aleurites moluccana (L.) Willd.",6345
"eudicots","Alhagi kirghisorum Schrenk",5.175
"eudicots","Alhagi maurorum Medik.",5.7
"eudicots","Alhagi pseudalhagi Desv.",4.6316
"eudicots","Alibertia curviflora K.Schum.",190
"eudicots","Alibertia edulis (Rich.) A.Rich. ex DC.",15
"eudicots","Alkanna strigosa Boiss. & Hohen.",4.098913
"eudicots","Alkanna tinctoria Tausch",3.6306
"eudicots","Allanblackia stuhlmannii (Engl.) Engl.",7500
"eudicots","Allenrolfea occidentalis (S.Watson) Kuntze",0.107
"eudicots","Alliaria petiolata (M.Bieb) Cavara & Grande",3.04
"eudicots","Allionia choisyi Standl.",4.4864
"eudicots","Allionia incarnata L.",3.027
"eudicots","Allionia nyctaginea Michx.",6.35
"eudicots","Allocasuarina acutivalvis subsp. acutivalvis",2.6792
"eudicots","Allocasuarina acutivalvis (F.Muell.) L.A.S.Johnson",2.3176
"eudicots","Allocasuarina brachystachya L.A.S.Johnson",0.6676
"eudicots","Allocasuarina campestris (Diels) L.A.S.Johnson",1.48
"eudicots","Allocasuarina corniculata (F.Muell.) L.A.S.Johnson",1.2512
"eudicots","Allocasuarina crassa L.A.S.Johnson",4.1146
"eudicots","Allocasuarina decaisneana (F.Muell.) L.A.S.Johnson",14.07
"eudicots","Allocasuarina decussata (Benth.) L.A.S.Johnson",4.1115
"eudicots","Allocasuarina defungens L.A.S.Johnson",1.7272
"eudicots","Allocasuarina dielsiana (C.A.Gardner) L.A.S.Johnson",2.471
"eudicots","Allocasuarina diminuta subsp. annectens",0.7996
"eudicots","Allocasuarina diminuta subsp. mimica L.A.S.Johnson",1.2168
"eudicots","Allocasuarina distyla (Vent.) L.A.S.Johnson",2.62
"eudicots","Allocasuarina duncanii L.A.S.Johnson & D.I.Morris",2.928
"eudicots","Allocasuarina emuina L.A.S.Johnson",2.6008
"eudicots","Allocasuarina eriochlamys subsp. grossa (L.A.S.Johnson) L.A.S.Johnson",2.3528
"eudicots","Allocasuarina fibrosa (C.A.Gardner) L.A.S.Johnson",4.628
"eudicots","Allocasuarina fraseriana (Lodhi) L.A.S.Johnson",4.41
"eudicots","Allocasuarina glareicola L.A.S.Johnson",0.9552
"eudicots","Allocasuarina globosa L.A.S.Johnson",1.692
"eudicots","Allocasuarina grampiana L.A.S.Johnson",2.0308
"eudicots","Allocasuarina grevilleoides (Diels) L.A.S.Johnson",8.17
"eudicots","Allocasuarina gymnanthera L.A.S.Johnson",0.7612
"eudicots","Allocasuarina helmsii (Ewart & M.Gordon) L.A.S.Johnson",1.7588
"eudicots","Allocasuarina huegeliana (Miq.) L.A.S.Johnson",2.16
"eudicots","Allocasuarina humilis (Otto & Dietr.) L.A.S.Johnson",2.7
"eudicots","Allocasuarina hystricosa Wege",1.5292
"eudicots","Allocasuarina inophloia (F.Muell. & Bailey) L.A.S.Johnson",2.1875
"eudicots","Allocasuarina littoralis (Salisb.) L.A.S.Johnson",2.26
"eudicots","Allocasuarina luehmannii (R.T.Baker) L.A.S.Johnson",1.622
"eudicots","Allocasuarina mackliniana subsp. hirtilinea L.A.S.Johnson",3.9516
"eudicots","Allocasuarina mackliniana subsp. mackliniana",2.1804
"eudicots","Allocasuarina media L.A.S.Johnson",2.4312
"eudicots","Allocasuarina microstachya (Miq.) L.A.S.Johnson",3.6
"eudicots","Allocasuarina misera L.A.S.Johnson",1.7368
"eudicots","Allocasuarina monilifera (L.A.S.Johnson) L.A.S.Johnson",2.49
"eudicots","Allocasuarina muelleriana subsp. muelleriana",1.572
"eudicots","Allocasuarina muelleriana subsp. notocolpica",1.8508
"eudicots","Allocasuarina nana (Sieber ex Spreng.) L.A.S.Johnson",1.2308
"eudicots","Allocasuarina ophiolitica L.A.S.Johnson",1.2308
"eudicots","Allocasuarina paludosa (Sieber) L.A.S.Johnson",1.022
"eudicots","Allocasuarina paradoxa (Macklin) L.A.S.Johnson",2.6084
"eudicots","Allocasuarina pinaster (C.A.Gardner) L.A.S.Johnson",9.2052
"eudicots","Allocasuarina portuensis L.A.S.Johnson",1.17
"eudicots","Allocasuarina pusilla (Macklin) L.A.S.Johnson",1.6748
"eudicots","Allocasuarina ramosissima (C.A.Gardner) L.A.S.Johnson",2.5844
"eudicots","Allocasuarina rigida subsp. rigida",1.2812
"eudicots","Allocasuarina robusta (Macklin) L.A.S.Johnson",1.7856
"eudicots","Allocasuarina rupicola L.A.S.Johnson",0.7648
"eudicots","Allocasuarina simulans L.A.S.Johnson",1.8572
"eudicots","Allocasuarina spinosissima (C.A.Gardner) L.A.S.Johnson",1.4444
"eudicots","Allocasuarina striata (Macklin) L.A.S.Johnson",2.2172
"eudicots","Allocasuarina tessellata (C.A.Gardner) L.A.S.Johnson",2.05956
"eudicots","Allocasuarina thalassoscopica L.A.S.Johnson",2.4012
"eudicots","Allocasuarina thuyoides (Miq.) L.A.S.Johnson",1.1708
"eudicots","Allocasuarina tortiramula E.M.Benn.",1.3856
"eudicots","Allocasuarina torulosa (Ait.) L.A.S.Johnson",3.5428
"eudicots","Allocasuarina trichodon (Miq.) L.A.S.Johnson",2.8932
"eudicots","Allocasuarina verticillata (Lam.) L.A.S.Johnson",4.19
"eudicots","Allocasuarina zephyrea L.A.S.Johnson",1.4832
"eudicots","Allochrusa gypsophiloides (Regel) Schischk.",2.2736
"eudicots","Allochrusa paniculata (Regel & Herder) Ovcz. & Czuk.",1.3672
"eudicots","Allophyllum gilioides (Benth.) A.D.Grant & V.E.Grant",1.952
"eudicots","Allophylus africanus P.Beauv.",34.168
"eudicots","Allophylus amazonicus (Baker) Radlk.",113
"eudicots","Allophylus bojerianus (Cambess.) Blume",24.4816
"eudicots","Allophylus borbonicus (J.F.Gmel.) F.Friedmann",114.2666667
"eudicots","Allophylus camptostachys Radlk.",120
"eudicots","Allophylus chirindensis Baker f.",102.2
"eudicots","Allophylus cobbe Bl.",63.31
"eudicots","Allophylus decipiens (Sond.) Radlk.",52.8
"eudicots","Allophylus glabratus Radlk.",186
"eudicots","Allophylus natalensis De Winter",66.9828
"eudicots","Allophylus occidentalis (Sw.) Radlk.",18.55
"eudicots","Allophylus psilospermus Radlk.",56.2
"eudicots","Allophylus rubifolius (Hochst. ex A.Rich.) Engl.",32.7
"eudicots","Allophylus salignus Blume",64.2888
"eudicots","Allophylus sp.",100
"eudicots","Allophylus spicatus (Poir.) Radlk.",36.0765306
"eudicots","Allopterigeron filifolius (F.Muell.) Dunlop",3.7496
"eudicots","Allowissadula holosericea (Scheele) D.M.Bates",7.578
"eudicots","Allowissadula pringlei (Rose) D.M.Bates",4.9628
"eudicots","Allowissadula rosei (R.E.Fr.) D.M.Bates",18.6788
"eudicots","Almaleea capitata (J.H.Willis) Crisp & P.H.Weston",1.4964
"eudicots","Almaleea incurvata (A.Cunn.) Crisp & P.H.Weston",1.3
"eudicots","Almaleea subumbellata (Hook.) Crisp & P.H.Weston",1.9824
"eudicots","Alnus alnobetula (Ehrh.) K.Koch subsp. sinuata (Regel) Raus",0.4268
"eudicots","Alnus cordata (Loisel.) Loisel.",4.9
"eudicots","Alnus crispa (Ait.) Pursh",0.354
"eudicots","Alnus crispa (Aiton) Pursh subsp. tenufolia",0.4216
"eudicots","Alnus firma Sieber & Zucc.",0.7
"eudicots","Alnus glutinosa (L.) Gaertn. subsp. barbata (C.A.Mey.) Yalt.",1.048
"eudicots","Alnus glutinosa (L.) Gaertn.",2
"eudicots","Alnus hirsuta var. glabra",0.7
"eudicots","Alnus hirsuta Turcz. ex Rupr.",0.68
"eudicots","Alnus incana subsp. rugosa",0.5176
"eudicots","Alnus incana subsp. tenuifolia (Nutt.) Breitung",0.615
"eudicots","Alnus incana (L.) Moench",1.5
"eudicots","Alnus inokumae Murai & Kusaka",0.52
"eudicots","Alnus japonica (Thunb.) Steud.",1.33
"eudicots","Alnus jorullensis Kunth",0.51
"eudicots","Alnus maximowiczii Callier ex C.K.Schneid.",0.6
"eudicots","Alnus nepalensis D.Don",1.79
"eudicots","Alnus oblongifolia Torr.",2.066
"eudicots","Alnus orientalis Decne.",4.09
"eudicots","Alnus rhombifolia Nutt.",0.74
"eudicots","Alnus rubra Bong.",1.1
"eudicots","Alnus rugosa (Du Roi) Spreng.",1.51
"eudicots","Alnus subcordata C.A.Mey.",1.2664
"eudicots","Alnus tenuifolia Nutt.",0.671
"eudicots","Alnus viridis subsp. crispa (Aiton) Turrill",0.35
"eudicots","Alnus viridis subsp. sinuata (Regel) A.Löve & D.Löve",0.213
"eudicots","Alnus viridis (Vill.) DC.",25.6
"eudicots","Alonsoa acutifolia Ruiz & Pav.",0.5088
"eudicots","Alonsoa honoraria Grau",0.272
"eudicots","Alonsoa meridionalis (L.f.) Kuntze",0.2632
"eudicots","Alonsoa warscewiczii Regel",0.8
"eudicots","Aloysia wrightii (A.Gray) A.Heller",0.2468
"eudicots","Alphitonia excelsa Reissek ex Endl.",22.0593
"eudicots","Alphitonia neocaledonica (Schltr.) Guillaumin",20.6224
"eudicots","Alphitonia petrei Braid & C.T.White ex Braid",24.6524
"eudicots","Alphitonia petriei Braid & C.T.White",8.389
"eudicots","Alphitonia philippinensis Braid.",18
"eudicots","Alphitonia pomaderroides (Fenzl) A.R.Bean",40.3524
"eudicots","Alphitonia whitei Braid",96
"eudicots","Alseis blackiana Hemsl.",0.1
"eudicots","Alseuosmia macrophylla A.Cunn.",4.1
"eudicots","Alseuosmia pusilla Colenso",2.7
"eudicots","Alsinidendron obovatum Sherff",0.5432
"eudicots","Alsinidendron trinerve H.Mann",0.773
"eudicots","Alstonia angustiloba Miq.",1.8
"eudicots","Alstonia constricta F.Muell.",1.488
"eudicots","Alstonia muelleriana Domin",2.9
"eudicots","Alstonia scholaris (L.) R.Br.",5.6
"eudicots","Alstonia spectabilis R.Br.",2.5
"eudicots","Alternanthera angustifolia R.Br.",0.449
"eudicots","Alternanthera brasiliana (L.) Kuntze",2.942
"eudicots","Alternanthera denticulata R.Br.",0.2238
"eudicots","Alternanthera micrantha R.E.Fr.",0.448
"eudicots","Alternanthera nana R.Br.",0.5
"eudicots","Alternanthera nodiflora R.Br.",0.2729
"eudicots","Alternanthera pumila O.Stützer",0.6
"eudicots","Alternanthera pungens Kunth",0.4864
"eudicots","Alternanthera sessilis (L.) R.Br.",0.3
"eudicots","Althaea armeniaca Ten.",3.042
"eudicots","Althaea cannabina L.",3.8961
"eudicots","Althaea hirsuta L.",2.5
