"clade","species","value"
"basal_dicots","Cryptocarya pleurosperma C.T.White & W.D.Francis",11000
"basal_dicots","Cryptocarya putida B.Hyland",428
"basal_dicots","Cryptocarya sp.",2100
"basal_dicots","Cryptocarya triplinervis R.Br.",281.281
"basal_dicots","Cyathocalyx ramuliflorus (Maingay ex Hook.f. & Thomson) Scheff.",110
"basal_dicots","Cymbopetalum baillonii R.E.Fr.",333.5
"basal_dicots","Daphnandra repandula F.Muell.",4.7
"basal_dicots","Doryphora aromatica (Bailey) L.S.Sm.",10
"basal_dicots","Doryphora sassafras Endl.",12.7428
"basal_dicots","Drimys andina (Reiche) R.A.Rodr. & Quezada",4.8332
"basal_dicots","Drimys winteri var. chilensis (DC.) A.Gray",3.5172
"basal_dicots","Drimys winteri J.R. & G.Forst.",11.4
"basal_dicots","Drimys xerophila Parm.",28.85
"basal_dicots","Duguetia neglecta Sandwith",310
"basal_dicots","Duguetia quitarensis Benth.",425
"basal_dicots","Endiandra bessaphila Hyland",1100
"basal_dicots","Endiandra insignis (Bailey) Bailey",15763
"basal_dicots","Endiandra longipedicellata C.T.White & W.D.Francis",2004
"basal_dicots","Endiandra monothyra Hyland",1900
"basal_dicots","Endiandra montana C.T.White",7550
"basal_dicots","Endiandra palmerstonii (Bailey) C.T.White & W.D.Francis",21945
"basal_dicots","Endiandra sankeyana Bailey",5600
"basal_dicots","Endiandra sideroxylon Hyland",4000
"basal_dicots","Endiandra xanthocarpa Hyland",9800
"basal_dicots","Endlicheria dysodantha Mez",1230
"basal_dicots","Endlicheria punctulata (Mez) C.K.Allen",800
"basal_dicots","Ephedranthus guianensis R.E.Fr.",2450
"basal_dicots","Euryale ferox Salisb.",60.35
"basal_dicots","Eusideroxylon zwageri Teijsm. & Binn.",28571
"basal_dicots","Fissistigma sp.",310
"basal_dicots","Friesodielsia obovata Benth.) Verdc.",315.9677
"basal_dicots","Friesodielsia sp.",220
"basal_dicots","Galbulimima belgraveana (F.Muell.) Sprague",0.9
"basal_dicots","Guatteria acutissima R.E.Fr.",150
"basal_dicots","Gymnacranthera eugeniifolia (A.DC.) J.Sincl.",200
"basal_dicots","Gymnacranthera farquhariana (Hook.f. & Thomson) Warb.",700
"basal_dicots","Gyrocarpus americanus subsp. africanus Kubitzki",371.64
"basal_dicots","Gyrocarpus americanus subsp. capuronianus Kubitzki",289.28096
"basal_dicots","Gyrocarpus americanus Jacq.",361
"basal_dicots","Gyrocarpus mocinoi Espejo",360.43
"basal_dicots","Hedycarya angustifolia A.Cunn.",1.82
"basal_dicots","Hedycarya arborea J.R. & G.Forst.",232
"basal_dicots","Hedycarya loxocarya (Benth.) W.D.Francis",35
"basal_dicots","Hedyosmum bonplandianum Kunth",1.832
"basal_dicots","Hedyosmum brasiliense Miq.",1.132
"basal_dicots","Hedyosmum mexicanum C.Cordem.",0.939
"basal_dicots","Hedyosmum nutans Sw.",0.635
"basal_dicots","Hernandia sonora L.",2506.6666667
"basal_dicots","Hexalobus monopetalus Engl. & Diels",6014
"basal_dicots","Horsfieldia punctatifolia J.Sincl.",1600
"basal_dicots","Houttuynia cordata Thunb.",0.05
"basal_dicots","Idiospermum australiense (Diels) S.T.Blake",82000
"basal_dicots","Illicium anisatum L.",37.24
"basal_dicots","Illicium floridanum J.Ellis",6.1877
"basal_dicots","Illicium henryi Diels",4.2373
"basal_dicots","Illicium parviflorum Michx. ex Vent.",8.084
"basal_dicots","Illicium simonsii Maxim.",36.1163
"basal_dicots","Illicium verum Hook.f.",47.6
"basal_dicots","Illigera madagascariensis H.Perrier",90.5989045
"basal_dicots","Iryanthera aff. elliptica Ducke",500
"basal_dicots","Iryanthera cf. ulei Warb.",1600
"basal_dicots","Iryanthera juruensis Warb.",4000
"basal_dicots","Kadsura coccinea (Lem.) A.C.Sm.",61.676
"basal_dicots","Kadsura heteroclita (Roxb.) Craib",9.14
"basal_dicots","Kadsura interior A.C.Sm.",134.242
"basal_dicots","Kadsura japonica (L.) Dunal",4.471
"basal_dicots","Kadsura longipedunculata Finet & Gagnep.",3.018
"basal_dicots","Kadsura oblongifolia Merr.",3.038
"basal_dicots","Knema latericia Elmer",1670
"basal_dicots","Knema laurina (Bl.) Warb.",1100
"basal_dicots","Laurelia novae-zelandiae A.Cunn.",12
"basal_dicots","Laurelia philippiana Looser",2
"basal_dicots","Laurelia sempervirens (Ruiz & Pav.) Tul.",4.902
"basal_dicots","Laureliopsis philippiana (Looser) Schodde",1.3
"basal_dicots","Laurus nobilis L.",508.4
"basal_dicots","Licaria rigida (Kosterm.) Kosterm.",1237
"basal_dicots","Licaria sp.",630
"basal_dicots","Licaria velutina van der Werff",3550
