"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"teliospores (21-25 x 16-19 µm).","Uredo dianthi_120329_14005","teliospores","(21-25 x 16-19",23,17.5,NA
"Teliospores obovoid or ellipsoid, rounded at both ends, not or hardly constricted at septum, dark brown to chestnut brown, 25-30.4 x 31-39 µm","Puccinia swertiae_388898_60466","Teliospores","25-30.4 x 31-39",27.7,35,NA
"teliospores catenulate, cylindrical, thin-walled (<1 µm),","Chrysomyxa dietelii_348974_19059","teliospores","(<1",1,NA,NA
"Teliospores ellipsoid, oblong or oblong-clavate, the upper cell broader, rounded or slightly attenuate, 41-58 x 20-26 µm,","Puccinia pedunculata_161144_56730","Teliospores","41-58 x 20-26",49.5,23,NA
"Teliospores narrowly to broadly ellipsoid with rounded ends, not or slightly constricted at septum, 29-43.2(-51.5) x 19.2-27.2 µm;","Uredo balsamorrhizae_359684_13271","Teliospores","29-43.2(-51.5) x 19.2-27.2",43.2,23.2,NA
"Teliospores ellipsoid, oblong 28-60 x 15-25 µm,","Puccinia cynodontis_161411_14262","Teliospores","28-60 x 15-25",44,20,NA
"Teliospores germinating on maturity, 19-29 x 17-21 µm","Uromyces guraniae_161478_59774","Teliospores","19-29 x 17-21",24,19,NA
"Teliospores ellipsoid or oblong, 37-47 x 19-23 µm,","Puccinia stachydis_161479_56731","Teliospores","37-47 x 19-23",42,21,NA
"Teliospores +- globose or transverse-ellipsoid, umbonate above, 19-25 x 22-26 µm;","Uromyces mucunae_161857_14260","Teliospores","19-25 x 22-26",22,24,NA
"Teliospores twocelled by transverse septum, cylindrical to ellipsoid, not or very slightly constricted at the septum, 30-39 x 20-27 µm","Puccinia winteri_350677_44905","Teliospores","30-39 x 20-27",34.5,23.5,NA
"Teliospores occasionally 1-celled (28-34 x 11-15.5 µm)","Puccinia striiformis_123761_13552","Teliospores","(28-34 x 11-15.5",31,13.25,NA
"Teliospores clavoid, truncate or obliquely conical above, slightly constricted, attenuate below, 30-70 x 16-24 µm;","Puccinia striiformis_123761_14261","Teliospores","30-70 x 16-24",50,20,NA
"Teliospores narrowly ellipsoid to ellipsoid-turbinate, often rather distorted because of the prominent pores, 32-50 x 22-30 µm;","Caeoma nitens_224285_14026","Teliospores","32-50 x 22-30",41,26,NA
"Teliospores very variable in size both between and within sori, cylindric to irregular in shape, (28-) 30-51 (-57) x 7.5-17(-18) µm;","Melampsora hirculi_162490_13367","Teliospores","(28-) 30-51 (-57) x 7.5-17(-18)",40.5,17,NA
"Teliospores ellipsoid or oblong, cinnamon brown to dark brown, 16-26 x 39-64 µm","Puccinia linosyridis-caricis_162508_54266","Teliospores","16-26 x 39-64",21,51.5,NA
"Teliospores ellipsoid, ends obtuse, constricted at septum, 23-45 x 12-22 µm;","Puccinia lobeliae_162654_13517","Teliospores","23-45 x 12-22",34,17,NA
"Teliospores globose, oblong or ellipsoid; 16-19 x 20-29 µm;","Uromyces hedysari-obscuri_154976_49764","Teliospores","; 16-19 x 20-29",17.5,24.5,NA
"Teliospores 3-50 x 19-26 µm,","Puccinia asparagi_119016_13888","Teliospores","3-50 x 19-26",26.5,22.5,NA
"Teliospores ellipsoid or oblong, cinnamon brown to dark brown, not or slightly constricted at septum, rounded at both ends, sometimes attenuated below, (12-)16-22 x (22-)26-35 µm","Puccinia aegopodii_117408_60460","Teliospores","(12-)16-22 x (22-)26-35",16,26,NA
"Teliospores ellipsoid to obovate, 18-22 x 26-30 µm;","Uredo betae_120169_14002","Teliospores","18-22 x 26-30",20,28,NA
"Teliospores ellipsoid, mainly rounded at both ends occasionally tapering to base, slightly constricted at septum, 34-67 x 18-28.5 µm;","Puccinia areolata_163334_13572","Teliospores","34-67 x 18-28.5",50.5,23.25,NA
"teliospores two-celled, occasionally one-celled, broadly ellipsoid, not or hardly constricted at septum, rarely more conspicuously constricted, basally or more rarely laterally stalked by hyaline, thin-walled, up to 180 µm","Puccinia stobeae_352677_43817","teliospores","180",180,NA,NA
"Teliospores two-celled by transverse septum, ellipsoid, constricted at the septum, 30-44 x 21-30 µm","Dasyspora gregaria_380927_56742","Teliospores","30-44 x 21-30",37,25.5,NA
"Teliospores (fully cleared) 23-42(-44) µm","Puccinia parnassiae_163439_12994","Teliospores",") 23-42(-44)",42,NA,NA
"Teliospores ellipsoid, slightly constricted at septum, apex obtuse to acute, base often narrowing to pedicel, (30-)35-56 x 16-24 µm;","Puccinia dayi_163510_13453","Teliospores","(30-)35-56 x 16-24",35,20,NA
"Teliospores oblong, fusiform, truncate or obliquely attenuated and with papillae at each end, aseptate, hyaline, 17-40 µm","Chrysomyxa weirii_163703_14047","Teliospores","17-40",28.5,NA,NA
"Teliospores (19-)20-43((-45)) x 12-22.5((-24)) µm,","Puccinia syngenesiarum_163758_13294","Teliospores","(19-)20-43((-45)) x 12-22.5((-24))",31.5,22.5,NA
"Teliospores ellipsoidal, obtuse above, usually with slightly projecting caps, usually slightly constricted at septum, 22-30 x 17-24 µm;","Puccinia menthae_118969_13774","Teliospores","22-30 x 17-24",26,20.5,NA
"Teliospores clavate-cylindric, truncate, rounded or acute above, slightly constricted at the septum, base somewhat attenuate, 3-50 x 13-21 µm;","Puccinia iridis_164055_14253","Teliospores","3-50 x 13-21",26.5,17,NA
"Teliospores ellipsoid to clavate, apex acute to obtuse; slightly constricted at septum, tapering slightly toward pedicel, (30-)35-65(-70) x 15-26(-30) µm;","Puccinia distichydis_353927_13454","Teliospores","(30-)35-65(-70) x 15-26(-30)",50,26,NA
"Teliospores catenate, firmly adherent, fairly short ellipsoid at apex of telial column, longer and more cylindrical below, ends rounded or truncate, 28-65 x 8-18 µm","Cronartium comandrae_164885_14904","Teliospores","28-65 x 8-18",46.5,13,NA
"Teliospores oblong to ellipsoid or narrowly obovoid, 1-3-celled, (12-)14-21(-25) x (29-)32-47 µm;","Puccinia crandallii_164901_33370","Teliospores","(12-)14-21(-25) x (29-)32-47",17.5,32,NA
"Teliospores catenate, firmly adherent, fairly short ellipsoid at apex of telial columns, longer and more cylindrical below, ends rounded or truncate, 20-64 x 10-16 µm","Cronartium flaccidum_117373_14906","Teliospores","20-64 x 10-16",42,13,NA
"Teliospores catenate, firmly adherent, fairly short ellipsoid at apex of telial column, longer and cylindrical to fusoid below, ends rounded or truncate, 25-75 x 9-18 µm","Cronartium comptoniae_164972_14905","Teliospores","25-75 x 9-18",50,13.5,NA
"Teliospores narrowly ellipsoid, not constricted at septum, 45-85 x 14-22 µm;","Podisoma juniperi-communis_355153_13338","Teliospores","45-85 x 14-22",65,18,NA
"Teliospores cylindric-fusoid, sometimes shorter and more ellipsoid, 2-celled, rounded, 45-100 x 12-20 µm;","Podisoma juniperi-communis_355153_14857","Teliospores","45-100 x 12-20",72.5,16,NA
"teliospores 2-celled, narrowly fusiform, 38-99 x 13-23 µm,","Podisoma juniperi-communis_355153_37297","teliospores","38-99 x 13-23",68.5,18,NA
"Teliospores ellipsoid to oblong or clavate, rounded at both ends or sometimes attenuated downwards, not or slightly constricted at septum, base roundish or narrowed, 16-26 x (25-)31-50 µm;","Puccinia alpina_164995_49766","Teliospores","16-26 x (25-)31-50",21,31,NA
"Teliospores pale brown to chestnut brown, ellipsoid, broadly ellipsoid or obovoid, rounded or attenuated at base, slightly or not constricted at septum, chestnut brown at septum, 16-25(-31) x 24-37 µm","Puccinia cortusae_165011_54448","Teliospores","16-25(-31) x 24-37",25,30.5,NA
"Teliospores catenate, firmly adherent, fairly short ellipsoid at apex of telial column, longer and more cylindrical below, ends rounded or truncate, 30-62 x 7-18 µm","Cronartium coleosporioides_165029_14903","Teliospores","30-62 x 7-18",46,12.5,NA
"Teliospores clavate, apex round, spore tapering to base and slightly constricted at septum, 30-50(53) x 12-22(-24)µm;","Puccinia karelica_165047_13455","Teliospores","30-50(53) x 12-22(-24)",50,22,NA
"Teliospores 1-celled, ellipsoid to obovoid, apex round, obtuse, to somewhat flattened, 26-45 x (14.3-)16-27(-32) µm;","Uromyces acuminatus_165082_13452","Teliospores","26-45 x (14.3-)16-27(-32)",35.5,21.5,NA
"Teliospores cylindric, not constricted at the septa, apex rounded and usually with a small umbo or +- tapered to an apiculus up to 20 µm","Puccinia rubi-idaei_165335_14032","Teliospores","20",20,NA,NA
"Teliospores 5-9(-10)-celled, 65-140(-155) x (22-)23-28(-30) µm,","Phragmidium arcticum_165341_13261","Teliospores","65-140(-155) x (22-)23-28(-30)",140,25.5,NA
"teliospores pedicellate, in clavate or elongate-cuneate chains of 2-4 probasidial cells, oblong or ellipsoid, upper part ending in digital or crown-1ike projections or attenuate or flat, each cell 24-60 x 17-24 µm,","Uredo loeseneriana_355926_17599","teliospores","24-60 x 17-24",42,20.5,NA
"Teliospores predominantly 2-celled, with a single, horizontal, occasionally oblique or vertical septum, rarely 3-celled or 4-celled, slightly constricted at septum, cinnamon to dark brown, smooth, pedicellate, broadly ellipsoidal, (22-)24-35(-37) x (13-)14-19(-20) µm","Puccinia boroniae_355936_15008","Teliospores","(22-)24-35(-37) x (13-)14-19(-20)",29.5,16.5,NA
"Teliospores oblong to oblong-clavate, 32-45 x 12-18 µm,","Puccinia horiana_165478_14001","Teliospores","32-45 x 12-18",38.5,15,NA
"teliospores (40-70 x 14-24 µm)","Puccinia horiana_165478_14001","teliospores","(40-70 x 14-24",55,19,NA
"Teliospores cylindric, clavate, rounded or truncate above, 60-140 x 15-28 µm;","Coleosporium ipomoeae_156281_14250","Teliospores","60-140 x 15-28",100,21.5,NA
"Teliospores unicellular, hyaline to subhyaline, smooth, thin-walled, guttulate, globose to ovoid (15-)17-23(-25) x (13-)15-19 µm;","Cronartium portoricense_380792_15337","Teliospores","(15-)17-23(-25) x (13-)15-19",20,15,NA
"Teliospores narrowly ellipsoid, ends slightly tapered especially toward base, slightly constricted at septum, 38-70 x 14-26(-30) µm;","Puccinia malvacearum_118970_13408","Teliospores","38-70 x 14-26(-30)",54,26,NA
"Teliospores oblong to subfusoid, attenuate at both ends or rarely rounded above, slightly or not constricted at the septum, 35-75 x 12-26 µm;","Puccinia malvacearum_118970_14233","Teliospores","35-75 x 12-26",55,19,NA
"Teliospores ellipsoid, oblong, 38-59 x 14-17 µm,","Puccinia majoricensis_245710_56729","Teliospores","38-59 x 14-17",48.5,15.5,NA
"Teliospores elliptical, dark brown, slightly constricted at septum, apex round, base obtuse or slightly narrowing, 21-37.5 x 17.5-25 µm;","Puccinia schedonnardii_165998_13409","Teliospores","21-37.5 x 17.5-25",29.25,21.25,NA
"Teliospores broadly ellipsoid to oblong, 27-45 x 15-24 µm,","Puccinia schedonnardii_165998_14263","Teliospores","27-45 x 15-24",36,19.5,NA
"Teliospores oblong-clavate, apex rounded or truncate, not or slightly constricted, base attenuated, 10-18 x 25-40 µm;","Puccinia kuehnii_222667_13777","Teliospores","10-18 x 25-40",14,32.5,NA
"Teliospores 2-celled, cells readily separating, upper cell +- globose, lower cell globose or elongated, 28-40 x 17-23 µm;","Puccinia discolor_123695_14255","Teliospores","28-40 x 17-23",34,20,NA
"teliospores (28-)30-37(-40) x (21-)23-26(-27) µm,","Puccinia destruens_357792_31934","teliospores","(28-)30-37(-40) x (21-)23-26(-27)",33.5,24.5,NA
"Teliospores broadly ellipsoid, rounded at both ends conspicuously constricted at septum, 22-42(-44) x 18-30 µm;","Puccinia mirabilissima_166604_13673","Teliospores","22-42(-44) x 18-30",42,24,NA
"teliospores and few uredospores. Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Puccinia mirabilissima_166604_14077","teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores ellipsoid or oblong ellipsoid, rounded at both ends, constricted at septum, the wall of 4 layers, (1) the innermost, thin and dark coloured, (2) a thick brown warted layer, (3) a hyaline layer, (4) an outer very fine cuticularized layer; with 2 equatorial pores in each cell, 28-36 x 18-25 µm;","Puccinia mirabilissima_166604_14077","Teliospores","28-36 x 18-25",32,21.5,NA
"Teliospores amphigenous, oblong, brown to chestnut brown, 2-celled, (9-)14-24(-27) x (26-)42-56 µm,","Puccinia minuta_166633_62888","Teliospores","(9-)14-24(-27) x (26-)42-56",19,42,NA
"Teliospores ellipsoid to clavate, rounded at both ends, not or slightly constricted at septum, (29-)30-45(-48) x 21-30(-34) µm","Puccinia hieracii_118982_39502","Teliospores","(29-)30-45(-48) x 21-30(-34)",37.5,30,NA
"Teliospores long-cylindric, horizontally multiseptate into 10-32 cells, 150-400 x 15-25 µm;","Phragmidiopsis carbonaria_247756_13696","Teliospores","150-400 x 15-25",275,20,NA
"Teliospores elongate-cylindrical, often curved, 6-15 celled, rounded at the both ends, strongly constricted, smooth but subverruculose at the apex, 97-250 x 24-28 µm,","Phragmidiopsis carbonaria_247756_56726","Teliospores","97-250 x 24-28",173.5,26,NA
"Teliospores narrowly to broadly ellipsoid with rounded ends, not or slightly constricted at septum, 29-43.2(-51.5) x 19.2-27.2 µm;","Puccinia balsamorrhizae_167696_13271","Teliospores","29-43.2(-51.5) x 19.2-27.2",43.2,23.2,NA
"Teliospores long-cylindric, horizontally multiseptate into 10-32 cells, 150-400 x 15-25 µm;","Phragmidium carbonarium_167860_13696","Teliospores","150-400 x 15-25",275,20,NA
"Teliospores elongate-cylindrical, often curved, 6-15 celled, rounded at the both ends, strongly constricted, smooth but subverruculose at the apex, 97-250 x 24-28 µm,","Phragmidium carbonarium_167860_56726","Teliospores","97-250 x 24-28",173.5,26,NA
"teliospores ellipsoidal, oblong-ellipsoidal, 40-50 x 25-32 µm,","Puccinia bougainvilleae_322372_17603","teliospores","40-50 x 25-32",45,28.5,NA
"Teliospores cylindric, not constricted at the septa, apex rounded and with a blunt apiculus up to 13 (-19) long and 5-7 µm","Phragmidium bulbosum_120767_14028","Teliospores","5-7",6,NA,NA
"Teliospores embedded just beneath the epidermis, globose to ellipsoid, 15-22 x 15-30 µm,","Pucciniastrum americanum_123956_14035","Teliospores","15-22 x 15-30",18.5,22.5,NA
"Teliospores clavate, round or obtuse at apex, moderately constricted at septum, tapering slightly to base, 33-50 x (12.5-)15-24.5 µm;","Puccinia caricina var. limosae_160670_13456","Teliospores","33-50 x (12.5-)15-24.5",41.5,15,NA
"Teliospores 2-celled, cells readily separating, upper cell +- globose, lower cell globose or elongated, 28-40 x 17-23 µm;","Tranzschelia discolor_123816_14255","Teliospores","28-40 x 17-23",34,20,NA
"teliospores clavate, 50-65 x 15-17 µm,","Mainsia imperialis_237770_17598","teliospores","50-65 x 15-17",57.5,16,NA
"Teliospores 2-celled, cells readily separating, upper cell +- globose, lower cell globose or elongated, 28-40 x 17-23 µm;","Tranzschelia pruni-spinosae var. discolor_123697_14255","Teliospores","28-40 x 17-23",34,20,NA
"Teliospores 1-2-celled, 1-celled spores less common; 11-20 x 30-58 µm;","Pleomeris agropyrina_234670_52405","Teliospores","; 11-20 x 30-58",15.5,44,NA
"Teliospores ellipsoid to oblong or clavate, rounded at both ends or sometimes attenuated downwards, not or slightly constricted at septum, base roundish or narrowed, 16-26 x (25-)31-50 µm;","Micropuccinia alpina_244558_49766","Teliospores","16-26 x (25-)31-50",21,31,NA
"Teliospores narrowly cylindrical-clavate, usually tapering to basal cell, slightly constricted at septum, apex obtuse, 33-75 x 8-15 µm;","Micropuccinia anemones-virginianae_221150_13565","Teliospores","33-75 x 8-15",54,11.5,NA
"Teliospores 29.5-40 x 22.5-29.5 µm","Uromyces anguriae_250135_59768","Teliospores","29.5-40 x 22.5-29.5",34.75,26,NA
"Teliospores ellipsoidal, sometimes with 3 or 4 cells, slightly constricted at septa, 38-42 x 14-16 µm;","Bullaria arachidis_230389_13887","Teliospores","38-42 x 14-16",40,15,NA
"Teliospores ellipsoid, ends round to obtuse, constricted at septum, 25-40 x 15-23 µm;","Micropuccinia araliae_230448_13516","Teliospores","25-40 x 15-23",32.5,19,NA
"Teliospores (10-)12-17.5 x (8.5-)10-15(-16) µm,","Entylomella arnicalis_218737_13295","Teliospores","(10-)12-17.5 x (8.5-)10-15(-16)",12,12.5,NA
"Teliospores 3-50 x 19-26 µm,","Persooniella asparagi_242553_13888","Teliospores","3-50 x 19-26",26.5,22.5,NA
"Teliospores narrowly to broadly ellipsoid with rounded ends, not or slightly constricted at septum, 29-43.2(-51.5) x 19.2-27.2 µm;","Bullaria balsamorrhizae_247565_13271","Teliospores","29-43.2(-51.5) x 19.2-27.2",43.2,23.2,NA
"Teliospores variable in shape and colour, rounded at both ends or slightly pointed at the apex, 27-39 x 19-26 µm;","Puccinia cacabata_168912_14264","Teliospores","27-39 x 19-26",33,22.5,NA
"Teliospores ellipsoid, slightly or not constricted at septum, lower cell occasionally slightly tapered to base, 25-50(-55) x 15-24 µm;","Persooniella calthae_225509_13573","Teliospores","25-50(-55) x 15-24",50,19.5,NA
"Teliospores ellipsoid to oblong, moderately constricted at septum, apex round to obtuse, base slightly tapered, 27-43 x 13-20 µm;","Micropuccinia campanulae_225415_13514","Teliospores","27-43 x 13-20",35,16.5,NA
"Teliospores (excluding rare 1-celled or teratological spores) 25-54(-58) x 11-17.5 µm,","Micropuccinia canadensis_229391_13147","Teliospores",") 25-54(-58) x 11-17.5",54,14.25,NA
"Teliospores ellipsoid, 36-44 x 24-30 µm,slightly","Bullaria carthami_223906_13999","Teliospores","36-44 x 24-30",40,27,NA
"Teliospores 12-41 x 5-14 µm,","Melampsora chelidonii-pierotii_251585_60399","Teliospores","12-41 x 5-14",26.5,9.5,NA
"Teliospores +- spherical, 20-26 µm","Hemileia coffeicola_169242_13769","Teliospores","20-26",23,NA,NA
"Teliospores (19-)20-43((-45)) x 12-22.5((-24)) µm,","Micropuccinia conglomerata_234642_13294","Teliospores","(19-)20-43((-45)) x 12-22.5((-24))",31.5,22.5,NA
"teliospores ellipsoid, 37-55 x 19-26 µm,","Bullaria cordiae_243109_17604","teliospores","37-55 x 19-26",46,22.5,NA
"Teliospores unicellular, hyaline to subhyaline, smooth, thin-walled, guttulate, globose to ovoid (15-)17-23(-25) x (13-)15-19 µm;","Endophylloides portoricense_419885_15337","Teliospores","(15-)17-23(-25) x (13-)15-19",20,15,NA
"Teliospores ellipsoid, slightly constricted at septum, apex obtuse to acute, base often narrowing to pedicel, (30-)35-56 x 16-24 µm;","Micropuccinia dayi_242992_13453","Teliospores","(30-)35-56 x 16-24",35,20,NA
"Teliospores globose to oblong, 20-32 x 14-20 µm;","Nigredo decorata_236728_14004","Teliospores","20-32 x 14-20",26,17,NA
"teliospores with a bilaminate wall, the inner chestnut brown, 2 µm","Nigredo decorata_236728_14004","teliospores","2",2,NA,NA
"Teliospores in groups, on large, laterally free cells, cylindric, (46-) 50-77-7-11 µm,","Goplana dioscoreae_169553_35602","Teliospores","(46-) 50-77-7-11",77,NA,NA
"Teliospores oblong to obovate, constricted at septum, 45-89  x 23-32  µm;","Dicaeoma evadens_227948_15369","Teliospores","45-89 x 23-32",67,27.5,NA
"Teliospores (24-)26-48(-52) x 10-19 µm,","Micropuccinia fergussonii_223543_13243","Teliospores","(24-)26-48(-52) x 10-19",37,14.5,NA
"Teliospores ellipsoid, lower cell may taper toward base, slightly or not contricted at septum (37-)42-56 x 19-23 µm;","Micropuccinia gemella_221755_13567","Teliospores","(37-)42-56 x 19-23",42,21,NA
"Teliospores obovoid to ellipsoid, 28-38.4 x 19.2-25.6 µm;","Nigredo geranii_416540_13716","Teliospores","28-38.4 x 19.2-25.6",33.2,22.4,NA
"Teliospores subgloboid to ovoid, 22-42 x 13-26 µm;","Nigredo geranii_416540_14238","Teliospores","22-42 x 13-26",32,19.5,NA
"Teliospores clavate, round to flattened at the apex constricted at septum, lower cell tapering to base and much narrower and longer than upper cell, 38-80(-97) x 11-23 µm;","Linkiella gigantispora_229719_13577","Teliospores","38-80(-97) x 11-23",80,17,NA
"Teliospores cylindric-clavate, apex round or truncate, tapering to base, not constricted at septum, 31-63(-65) x 8.0-15.5 µm;","Micropuccinia haleniae_227201_13680","Teliospores","31-63(-65) x 8.0-15.5",63,11.75,NA
"Teliospores usually germinating freely at maturity, (30-)33-55(-64) x (14-)15.5-26(-28) µm,","Leptopuccinia holboelli_220015_13139","Teliospores","(30-)33-55(-64) x (14-)15.5-26(-28)",44,20.75,NA
"Teliospores usually germinating freely at maturity, (30-)33-55(-64) x (14-)15.5-26(-28) µm,","Micropuccinia holboellii_220016_13139","Teliospores","(30-)33-55(-64) x (14-)15.5-26(-28)",44,20.75,NA
"Teliospores oblong or oblong-clavate, 40-45 x 19-23 µm,","Micropuccinia hysteriiformis_221784_56728","Teliospores","40-45 x 19-23",42.5,21,NA
"teliospores 1-celled, laterally free, clavate to cylindrical, sessile and grouped on sporogenous basal cells, 70-140 x 12-20 µm,","Bitzea ingae_148462_17597","teliospores","70-140 x 12-20",105,16,NA
"Teliospores ellipsoid, ends round or slightly tapered toward base, slightly or not constricted at septum, 27.2-41.6 x 14.4-22.4 µm;","Micropuccinia leveillei_159574_13713","Teliospores","27.2-41.6 x 14.4-22.4",34.4,18.4,NA
"Teliospores ellipsoid, 16-22 x 26-34 µm,","Micropuccinia leveillei_159574_14232","Teliospores","16-22 x 26-34",19,30,NA
"Teliospores mostly two-celled, sometimes three-celled; ellipsoid to clavate, not or slightly constricted at septa, 14-23 x 30-44(-47) µm;","Micropuccinia leveillei_159574_49767","Teliospores","14-23 x 30-44(-47)",18.5,44,NA
"Teliospores clavate, round or obtuse at apex, moderately constricted at septum, tapering slightly to base, 33-50 x (12.5-)15-24.5 µm;","Dicaeoma limosae_240201_13456","Teliospores","33-50 x (12.5-)15-24.5",41.5,15,NA
"Teliospores ellipsoid, ends obtuse, constricted at septum, 23-45 x 12-22 µm;","Micropuccinia lobeliae_242148_13517","Teliospores","23-45 x 12-22",34,17,NA
"teliospores pedicellate, in clavate or elongate-cuneate chains of 2-4 probasidial cells, oblong or ellipsoid, upper part ending in digital or crown-1ike projections or attenuate or flat, each cell 24-60 x 17-24 µm,","Kuehneola loeseneriana_165453_17599","teliospores","24-60 x 17-24",42,20.5,NA
"Teliospores 27-47(-51)((-56)) x 15-26.5(-28) µm,","Micropuccinia ornatula_230408_13257","Teliospores","27-47(-51)((-56)) x 15-26.5(-28)",49,26.5,NA
"Teliospores ellipsoid, slightly constricted at septum, 30-45 x 21-27 µm;","Dicaeoma ortonii_218098_13457","Teliospores","30-45 x 21-27",37.5,24,NA
"Teliospores (fully cleared) 23-42(-44) µm","Micropuccinia parnassiae_242916_12994","Teliospores",") 23-42(-44)",42,NA,NA
"Teliospores comparatively rare, mixed with uredospores, ellipsoid orclavate, pale brown, the upper cell darker than the lower, rounded or rarely sub-acute at the apex, somewhat rounded or rarely attenuate at the base, slightly constricted at the septum, 36-50 x 16-23,5 µm;","Puccinia pelargonii-zonalis_171160_14234","Teliospores","36-50 x 16-23,5",43,19.75,NA
"teliospores (30-) 33-37 (-40) x (24-) 25-28 (-30) µm,","Prospodium perornatum_171193_17602","teliospores","(30-) 33-37 (-40) x (24-) 25-28 (-30)",35,26.5,NA
"Teliospores ellipsoid, ends round, slightly constricted at septum, 25-36 x 14-24 µm;","Micropuccinia physalidis_228590_13433","Teliospores","25-36 x 14-24",30.5,19,NA
"Teliospores germinating on maturity, 27.5-55 x 17-25 µm","Uromyces poliotelis_171352_59780","Teliospores","27.5-55 x 17-25",41.25,21,NA
"Teliospores in catenulate chains, ovoid, 20-30 long, 12-15 µm","Phakopsora ampelosidis_422310_13998","Teliospores","12-15",13.5,NA,NA
"Teliospores appearing in the uredia, ellipsoidal to cylindrical, rounded above, slightly constricted at septum, 30-48 x 19-22 µm,","Bullaria psidii_238258_13891","Teliospores","30-48 x 19-22",39,20.5,NA
"Teliospores oblong, clavate or cylindrical, apex rounded, +- truncate or tapered, 38-85 x 10-23(-25) µm;","Micropuccinia pulsatillae_235751_13568","Teliospores","38-85 x 10-23(-25)",61.5,23,NA
"Teliospores germinating on maturity, 29.5-37.5 x 21.5-28.5 µm","Uromyces ratus_258178_59782","Teliospores","29.5-37.5 x 21.5-28.5",33.5,25,NA
"Teliospores narrowly ellipsoid, not constricted at septum, 45-85 x 14-22 µm;","Podisoma clavariaeforme_422701_13338","Teliospores","45-85 x 14-22",65,18,NA
"Teliospores cylindric-fusoid, sometimes shorter and more ellipsoid, 2-celled, rounded, 45-100 x 12-20 µm;","Podisoma clavariaeforme_422701_14857","Teliospores","45-100 x 12-20",72.5,16,NA
"teliospores 2-celled, narrowly fusiform, 38-99 x 13-23 µm,","Podisoma clavariaeforme_422701_37297","teliospores","38-99 x 13-23",68.5,18,NA
"Teliospores (50-)70-115(-122) x (17-)20-27(-31) µm,","Puccinia seorsa_171838_56022","Teliospores","(50-)70-115(-122) x (17-)20-27(-31)",92.5,23.5,NA
"Teliospores ellipsoid, ends obtuse to slightly tapered, not or slightly constricted at septum, (30.6)38-61 x (18.5-)23-32.1 µm;","Micropuccinia sherardiana_232111_13410","Teliospores","(30.6)38-61 x (18.5-)23-32.1",38,23,NA
"Teliospores ellipsoid, ends usually tapered, constricted at septum, 28-57 x 8-17.5 µm;","Leptopuccinia silphii_232463_13280","Teliospores","28-57 x 8-17.5",42.5,12.75,NA
"Teliospores ellipsoid, ends usually tapered, constricted at septum, 28-57 x 8-17.5 µm;","Micropuccinia silphii_232464_13280","Teliospores","28-57 x 8-17.5",42.5,12.75,NA
"Teliospores deep red-brown, 22-34(-38) x 17-24 µm;","Puccinia polygoni-aviculariae_423036_13704","Teliospores","22-34(-38) x 17-24",34,20.5,NA
"Teliospores subglobose, ovate or ellipsoid, 18-24 x 22-31(-35) µm;","Puccinia polygoni-aviculariae_423036_49765","Teliospores","18-24 x 22-31(-35)",21,31,NA
"Teliospores elliptical, dark brown, slightly constricted at septum, apex round, base obtuse or slightly narrowing, 21-37.5 x 17.5-25 µm;","Puccinia schedonnardi_423040_13409","Teliospores","21-37.5 x 17.5-25",29.25,21.25,NA
"Teliospores broadly ellipsoid to oblong, 27-45 x 15-24 µm,","Puccinia schedonnardi_423040_14263","Teliospores","27-45 x 15-24",36,19.5,NA
"Teliospores catenulate, surrounded by a clear matrix, ellipsoidal to subglobose, 16-26 x 8-20 µm.","Chrysomyxa succinea_224573_19060","Teliospores","16-26 x 8-20",21,14,NA
"Teliospores 27-63 x 10-16.5(-18.5) µm,","Sclerotelium trautvetteriae_227866_13569","Teliospores","27-63 x 10-16.5(-18.5)",45,16.5,NA
"Teliospores broadly ellipsoid, barely or not constricted at septum, 32-43 x 21-26(-28) µm;","Micropuccinia treleasiana_222646_13570","Teliospores","32-43 x 21-26(-28)",37.5,26,NA
"Teliospores normally 2-celled, (29-)32-60(-62) x (10-)11-20(-22) µm,","Pleomeris triticina_226652_13698","Teliospores","(29-)32-60(-62) x (10-)11-20(-22)",46,15.5,NA
"Teliospores 32-39 x 26-34 µm,","Puccinia valentula_260343_56023","Teliospores","32-39 x 26-34",35.5,30,NA
"diam.Teliospores ellipsoidal, obovoidal or cylindrical, rounded or subacute above, 25-40 x 18-26 µm;","Uromyces viciae-fabae_117029_13894","diam.Teliospores","25-40 x 18-26",32.5,22,NA
"Teliospores narrowly ellipsoid to obovoid, apex obtuse, base tapered, usually constricted at the septum, 37-72 x 13-24 µm;","Leptopuccinia xanthii_234603_13281","Teliospores","37-72 x 13-24",54.5,18.5,NA
"Teliospores narrowly ellipsoid to obovoid, apex obtuse, base tapered, usually constricted at the septum, 37-72 x 13-24 µm;","Micropuccinia xanthii_234604_13281","Teliospores","37-72 x 13-24",54.5,18.5,NA
