"text_entry","spec","spore_type","measure_orig","Dim1","Dim2","Dim3"
"teliospores ellipsoid, elongate-obovate or subclavate, 30-50(-63)-15-22µm,","Uromyces ormosiae_136700_31605","teliospores","30-50(-63)-15-22",63,NA,NA
"Teliospores usually germinating freely at maturity, (30-)33-55(-64) x (14-)15.5-26(-28) µm,","Aecidium holboelli_220014_13139","Teliospores","(30-)33-55(-64) x (14-)15.5-26(-28)",44,20.75,NA
"Teliospores narrowly ellipsoid, slightly to not constricted at septum, 50-75 x 16-20.5 µm;","Gymnosporangium juniperi-virginianae_141577_13364","Teliospores","50-75 x 16-20.5",62.5,18.25,NA
"Teliospores cylindric-fusoid, 2-celled, not or very slightly constricted, 45-65 x 15-21 µm;","Gymnosporangium juniperi-virginianae_141577_14862","Teliospores","45-65 x 15-21",55,18,NA
"teliospores 25-35 x 19-26 µm,","Uredo cestri_315318_17610","teliospores","25-35 x 19-26",30,22.5,NA
"Teliospores golden to brown, paler basally, 14-19 x 27-47 (-54) µm,","Puccinia coronata var. himalensis_316469_42429","Teliospores","14-19 x 27-47 (-54)",16.5,47,NA
"Teliospores globoid, ellipsoid, 18-23 x 16-18 µm,","Uromyces kochiae_142497_56734","Teliospores","18-23 x 16-18",20.5,17,NA
"Teliospores narrowly cylindrical-clavate, usually tapering to basal cell, slightly constricted at septum, apex obtuse, 33-75 x 8-15 µm;","Puccinia anemones-virginianae_142672_13565","Teliospores","33-75 x 8-15",54,11.5,NA
"Teliospores typically 2-celled, but few 1-celled ones in many collections and 3-celled ones in a few; 2-celled spores (30-)35-78(-85) x (11.5-)13-22(-24) µm,","Puccinia recondita_120772_13697","Teliospores","(30-)35-78(-85) x (11.5-)13-22(-24)",56.5,17.5,NA
"Teliospores light brown to hyaline, clavate, 2-celled, 13-19(-21) x 38-52 µm;","Puccinia recondita_120772_54868","Teliospores","13-19(-21) x 38-52",19,45,NA
"Teliospores narrowly ellipsoid to ellipsoid-turbinate, often rather distorted because of the prominent pores, 32-50 x 22-30 µm;","Uredo nitens_316899_14026","Teliospores","32-50 x 22-30",41,26,NA
"Teliospores narrowly ellipsoid to ellipsoid-turbinate, often rather distorted because of the prominent pores, 32-50 x 22-30 µm;","Aecidium luminatum_316966_14026","Teliospores","32-50 x 22-30",41,26,NA
"Teliospores ellipsoid, ends round or irregularly tapered, slightly but abruptly constricted at septum, 28-48 x 16-30 µm;","Puccinia intermixta_142761_13278","Teliospores","28-48 x 16-30",38,23,NA
"Teliospores chocolate brown, amphigenous, petiolicolous, caulicolous, pulverulent, scattered, becoming confluent. Teliospores ellipsoid, sometimes tapering to base, apex obtuse, slightly or not constricted at septum, (23.5-)25-58 x 12-31(-33) µm;","Puccinia blyttiana_142891_13566","Teliospores","(23.5-)25-58 x 12-31(-33)",25,31,NA
"Teliospores ellipsoid, sometimes tapering to base, apex obtuse, slightly or not constricted at septum, (23.5-)25-58 x 12-31(-33) µm;","Puccinia blyttiana_142891_13566","Teliospores","(23.5-)25-58 x 12-31(-33)",25,31,NA
"Teliospores usually mostly two-celled, sometimes mesospores numerous or all mesospores, clavate to cylindrical, often angular and irregular, 3-65 x 18-28 µm;","Puccinia allii_119023_13886","Teliospores","3-65 x 18-28",34,23,NA
