"Species_names","spore_length","spore_width","SporeArea","spore_type","Phylum","Source"
"Clitocybe_vibecina",5.8,4,48.5899663755221,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Collybia_cookei",5.3,3.3,30.220550531207,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Collybia_tuberosa",5.5,3,25.9181393921158,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_albipes",13,8.5,491.790149980702,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_aurea",11.3,6.5,249.979145440018,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_brunnea",7.3,4.3,70.6737919339316,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_fuscimarginata",11,6.8,266.323281220319,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_macrocephala",9.3,5.3,136.783373340973,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_macrospora",17.3,9.3,783.448805155896,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_moseri",10,6,188.495559215388,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_pilosella",7.5,4.3,72.6100602060941,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_pubescens",16,9.3,724.57692962395,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_rickeniana",8.8,4.8,106.160698950106,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_semiglobata",12.5,7.3,348.782234395417,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_subovalis",11.5,7,295.047910049641,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Conocybe_subpubescens",12.5,7,320.704250053958,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_angulatus",9,6.3,187.034718631468,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_atramentaria",9.5,5.5,150.469198137561,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_bisporus",12,5.7,204.140690630265,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_cinerea",10.3,7,264.260302044461,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_comatus",11.5,7.3,320.879655643784,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_cordisporus",9.3,7.2,252.433252901247,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_disseminatus",8.8,5.1,119.845476549143,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_domesticus",7.5,4.6,83.09512568745,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_echinospora",10.3,7,264.260302044461,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_flocculosus",13,8.3,468.919355462569,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_heterothrix",9.3,5.5,147.301425545191,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_impatiens",11.5,6.8,278.428884912151,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_laanii",10.8,5.5,171.059719987964,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_lagopus",12,7.3,334.8309450196,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_macrocephala",14.5,9,614.966761940202,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_marculentus",12,7.2,325.72032632419,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_martinii",15,8,502.654824574367,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_micaceus",8.8,5.1,119.845476549143,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_nivea",15.5,10.8,946.624698379677,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_picacea",16.5,11.3,1103.16240632642,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_radiata",14.3,8,479.197599427563,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_semitalis",12,6.2,241.525643207983,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_stercorea",7,4,58.6430628670095,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_tigrinella",8,6,150.79644737231,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Coprinus_xanthothrix",8.6,5.3,126.487850616383,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_acutus",8.5,5,111.264739814639,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_albonigrellus",8.5,4.5,90.1244392498572,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_alborufescens",7.5,4.3,72.6100602060941,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_albovariegatus",8,5.3,117.66311685245,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_alboviolaceus",9.3,6.3,193.269209252517,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_alcalinophilus",10.8,6,203.575203952619,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_alnetorum",9.8,5.3,144.137318144251,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_alpinus",12.8,7.8,407.753593694726,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_anglesianus",7.8,5,102.101761241668,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_anomalus",8,6.5,176.976386152225,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_anthracinus",9,5.5,142.549766656637,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_argutus",10,5.8,176.138628111268,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_armeniacus",8.5,5.3,125.017061655728,"Basidiospores","Basidiomycota","Bassler_etal_2015"
"Cortinarius_armillatus",11,6.5,243.342530959309,"Basidiospores","Basidiomycota","Bassler_etal_2015"
