Species,spore_type,phylum,class,order,guild,Life_style,simpleFunct,host.assoc,log10.sporeVolume,log10.sporeAspectRatio,n_samples_env,alt_mean,mat_mean,map_mean,seasonality_t_mean,seasonality_p_mean,maxsrad_mean,minvapr_mean,alt_sd,mat_sd,map_sd,seasonality_t_sd,seasonality_p_sd,maxsrad_sd,minvapr_sd,geo_extent_m,geo_extent_prop,geo_area_m,geo_area_prop
Arthrinium_rasikravindrae,Mitospores,Ascomycota,Sordariomycetes,Notassigned,NA,NA,NA,NA,2.648816532418397,0.1804560644581313,29,950.1034482758621,14.780735140804108,898.1287356321837,725.4504189843391,77.2425860059926,21636.735632183907,0.7847930945969862,1536.1113786075814,8.612718358256362,519.1799074191803,385.75286083445553,25.430771501809783,1321.421045840935,0.671888892848131,19791087.63252641,0.9895543816263205,6754042634938.401,0.04553512287082777
Arthrinium_xenocordella,Mitospores,Ascomycota,Sordariomycetes,Notassigned,Plant Pathogen,Plant,Plant-Pathogen,yes,2.6521694381770335,0,1,350,17.2458333472411,1283,776.411008826459,63.3311199078581,19253,0.71500001847744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arthrobotrys_arthrobotryoides,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.3823225559387025,0.22493982659349826,4,44,13.868437515043976,696.075,1012.2450895776425,91.7960228812163,21775.7125,0.350000001490116,15.513435037626794,1.4152977844113084,166.6566805341648,74.18985294529237,22.625946093692704,1491.4114055568307,0.06683312272477068,636895.1778516005,0.031844758892580025,67221572695.423355,4.5320154723664996e-4
Arthrobotrys_botryospora,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.1510053095800883,0.09017663034908803,8,412.125,17.036614581156126,521.0770833333333,527.0122507319129,66.47082867401414,26784.952083333326,0.9592291579892245,203.76347457635427,0.7289097964670097,41.17848677182614,10.630531274593624,2.626869064258542,96.01479897403291,0.07453308147597437,4908.970776642078,2.454485388321039e-4,35902163.59927503,2.4204902444126465e-7
Arthrobotrys_brochopaga,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,2.9773964264059987,0.7231036840527382,34,401.70588235294116,13.745557610812023,793.8166666666666,445.94671188586955,40.01299488638206,24978.362745098042,0.819117643786412,417.31563008814385,2.459806891583168,322.95688342592814,155.3122981908003,21.35359380090116,1884.6093330224855,0.18625786985953974,16238948.521472162,0.811947426073608,506016351458.8296,0.0034115148487711493
Arthrobotrys_cladodes,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,2.5995264005092955,0.3309932190414244,18,3688.1111111111113,-1.302430553581668,417.15277777777777,874.419424986025,97.58170717581298,20735.944444444445,0.08430555649101736,485.9466067122636,2.9711521775569656,104.39556908591112,74.78589159688815,3.1983090691936864,912.3291159716833,0.006462879811170751,304825.52000113775,0.015241276000056887,73486104213.12604,4.954364320019823e-4
Arthrobotrys_dactyloides,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.2018722059192437,0.7201593034059569,124,759.0483870967741,12.237083909176397,637.049059139785,823.9642351838193,83.19979522682986,23319.12311827957,0.5089717730389088,1212.926514405127,6.075051706371892,317.6807220357059,323.9695883357252,31.212483570777035,2524.21324212149,0.4072544309230565,16240990.494806614,0.8120495247403307,16378460225080.697,0.11042204485444691
Arthrobotrys_eudermata,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.362995657167481,0.3277169868846509,5,238.8,12.974333342909821,585.4,389.8335506020336,24.3352178744109,24690.16,0.8975999784469606,1.0954451150103321,0.0031677599470922475,0.7826237921249264,0.23572975288631628,0.024089033605420637,0.20124611797530645,2.2360658450200834e-4,153.22388616220476,7.661194308110238e-6,202108498.2875312,1.3625965662630365e-6
Arthrobotrys_foliicola,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,1.9277589981195395,0.48666657262589286,13,737.0769230769231,14.94564635131,1208.7397435897435,385.58419383737913,52.215314148690176,22493.098717948717,0.856025648117065,558.4635860314233,3.818663044200281,517.6243191852232,98.54163096432903,28.57493902181942,1928.1650040746072,0.1275209597267565,12112044.286115032,0.6056022143057516,3844044339078.971,0.025916186906401916
Arthrobotrys_javanica,Mitospores,Ascomycota,Orbiliomycetes,Orbiliales,NA,NA,NA,NA,3.08232850119765,0.5006023505691853,15,354.3333333333333,25.179143500769595,2392.5833333333335,116.4122071355635,48.1833211250214,19605.866666666665,2.31800000137753,276.6952079368887,1.3317086214598675,201.86577144860354,83.23621003975178,24.786641117165836,1530.7824290341523,0.2961850321396836,17644988.52873348,0.882249426436674,11059644881237.227,0.07456308995885566
